"Source Issue","Source URL","Target Issue","Target URL","Link Type","Direction","Linked To (Not Migrated)","Linked To URL","Reason","Action Required"
"CAD-4112","https://onemain.atlassian.net/browse/CAD-4112","CAD1-406","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CAD1-406","Cloners","outward","CAD-4111","https://onemain.atlassian.net/browse/CAD-4111","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"CAD-4116","https://onemain.atlassian.net/browse/CAD-4116","CAD1-370","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CAD1-370","Cloners","outward","CAD-4053","https://onemain.atlassian.net/browse/CAD-4053","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"CAD-4117","https://onemain.atlassian.net/browse/CAD-4117","CAD1-400","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CAD1-400","Cloners","outward","CAD-4053","https://onemain.atlassian.net/browse/CAD-4053","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"CAD-4120","https://onemain.atlassian.net/browse/CAD-4120","CAD1-334","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CAD1-334","Cloners","outward","CAD-4119","https://onemain.atlassian.net/browse/CAD-4119","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"CAD-4127","https://onemain.atlassian.net/browse/CAD-4127","CAD1-328","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CAD1-328","Cloners","outward","CAD-4092","https://onemain.atlassian.net/browse/CAD-4092","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"CAD-3675","https://onemain.atlassian.net/browse/CAD-3675","CAD1-310","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CAD1-310","Cloners","outward","CAD-3674","https://onemain.atlassian.net/browse/CAD-3674","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"CAD-3767","https://onemain.atlassian.net/browse/CAD-3767","CAD1-353","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CAD1-353","Cloners","outward","CAD-3766","https://onemain.atlassian.net/browse/CAD-3766","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"CAD-3768","https://onemain.atlassian.net/browse/CAD-3768","CAD1-351","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CAD1-351","Cloners","outward","CAD-3767","https://onemain.atlassian.net/browse/CAD-3767","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"CAD-3769","https://onemain.atlassian.net/browse/CAD-3769","CAD1-350","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CAD1-350","Cloners","outward","CAD-3768","https://onemain.atlassian.net/browse/CAD-3768","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"CAD-3784","https://onemain.atlassian.net/browse/CAD-3784","CAD1-339","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CAD1-339","Cloners","outward","CAD-3674","https://onemain.atlassian.net/browse/CAD-3674","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"CAD-3335","https://onemain.atlassian.net/browse/CAD-3335","CAD1-457","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CAD1-457","Cloners","outward","CAD-3331","https://onemain.atlassian.net/browse/CAD-3331","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"CAD-3143","https://onemain.atlassian.net/browse/CAD-3143","CAD1-301","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CAD1-301","Cloners","outward","CAD-2678","https://onemain.atlassian.net/browse/CAD-2678","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"CAD-3190","https://onemain.atlassian.net/browse/CAD-3190","CAD1-252","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CAD1-252","Cloners","outward","CAD-3189","https://onemain.atlassian.net/browse/CAD-3189","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
