"SourceKey","TargetKey"
"CAPE-1","CAPE1-71"
"CAPE-10","CAPE1-68"
"CAPE-1004","CAPE1-210"
"CAPE-1015","CAPE1-209"
"CAPE-1016","CAPE1-217"
"CAPE-1017","CAPE1-225"
"CAPE-1019","CAPE1-235"
"CAPE-1020","CAPE1-226"
"CAPE-1021","CAPE1-244"
"CAPE-1022","CAPE1-243"
"CAPE-1023","CAPE1-242"
"CAPE-1024","CAPE1-241"
"CAPE-1025","CAPE1-240"
"CAPE-1028","CAPE1-239"
"CAPE-1029","CAPE1-238"
"CAPE-1030","CAPE1-237"
"CAPE-1032","CAPE1-245"
"CAPE-1033","CAPE1-236"
"CAPE-1034","CAPE1-234"
"CAPE-1035","CAPE1-233"
"CAPE-1036","CAPE1-232"
"CAPE-1037","CAPE1-231"
"CAPE-1038","CAPE1-230"
"CAPE-1039","CAPE1-229"
"CAPE-1040","CAPE1-228"
"CAPE-1042","CAPE1-227"
"CAPE-1043","CAPE1-143"
"CAPE-1044","CAPE1-163"
"CAPE-1046","CAPE1-141"
"CAPE-1047","CAPE1-122"
"CAPE-1048","CAPE1-100"
"CAPE-1050","CAPE1-101"
"CAPE-1051","CAPE1-102"
"CAPE-1052","CAPE1-103"
"CAPE-1053","CAPE1-98"
"CAPE-1054","CAPE1-98"
"CAPE-1055","CAPE1-142"
"CAPE-1059","CAPE1-106"
"CAPE-1060","CAPE1-112"
"CAPE-1061","CAPE1-107"
"CAPE-1062","CAPE1-108"
"CAPE-1063","CAPE1-109"
"CAPE-1064","CAPE1-109"
"CAPE-1065","CAPE1-110"
"CAPE-1066","CAPE1-111"
"CAPE-1067","CAPE1-99"
"CAPE-1068","CAPE1-105"
"CAPE-1069","CAPE1-92"
"CAPE-1070","CAPE1-93"
"CAPE-1071","CAPE1-95"
"CAPE-1072","CAPE1-97"
"CAPE-1075","CAPE1-96"
"CAPE-1076","CAPE1-94"
"CAPE-1077","CAPE1-91"
"CAPE-1078","CAPE1-104"
"CAPE-1079","CAPE1-113"
"CAPE-1080","CAPE1-126"
"CAPE-1081","CAPE1-115"
"CAPE-1082","CAPE1-139"
"CAPE-1083","CAPE1-138"
"CAPE-1084","CAPE1-137"
"CAPE-1085","CAPE1-136"
"CAPE-1086","CAPE1-135"
"CAPE-1087","CAPE1-134"
"CAPE-1088","CAPE1-133"
"CAPE-1089","CAPE1-132"
"CAPE-1090","CAPE1-131"
"CAPE-1092","CAPE1-130"
"CAPE-1094","CAPE1-129"
"CAPE-1095","CAPE1-128"
"CAPE-1096","CAPE1-246"
"CAPE-1097","CAPE1-189"
"CAPE-1098","CAPE1-188"
"CAPE-1099","CAPE1-187"
"CAPE-11","CAPE1-70"
"CAPE-1102","CAPE1-186"
"CAPE-1103","CAPE1-186"
"CAPE-1104","CAPE1-183"
"CAPE-1105","CAPE1-183"
"CAPE-1106","CAPE1-185"
"CAPE-1107","CAPE1-183"
"CAPE-1108","CAPE1-182"
"CAPE-1109","CAPE1-181"
"CAPE-1110","CAPE1-180"
"CAPE-1112","CAPE1-179"
"CAPE-1113","CAPE1-178"
"CAPE-1114","CAPE1-184"
"CAPE-1115","CAPE1-191"
"CAPE-1116","CAPE1-191"
"CAPE-1117","CAPE1-192"
"CAPE-1118","CAPE1-204"
"CAPE-1119","CAPE1-203"
"CAPE-1120","CAPE1-202"
"CAPE-1122","CAPE1-201"
"CAPE-1123","CAPE1-201"
"CAPE-1124","CAPE1-200"
"CAPE-1125","CAPE1-205"
"CAPE-1126","CAPE1-199"
"CAPE-1127","CAPE1-198"
"CAPE-1128","CAPE1-197"
"CAPE-1129","CAPE1-196"
"CAPE-1130","CAPE1-195"
"CAPE-1131","CAPE1-194"
"CAPE-1132","CAPE1-193"
"CAPE-1133","CAPE1-177"
"CAPE-1134","CAPE1-176"
"CAPE-1135","CAPE1-175"
"CAPE-1136","CAPE1-166"
"CAPE-1137","CAPE1-144"
"CAPE-1138","CAPE1-145"
"CAPE-1139","CAPE1-146"
"CAPE-1140","CAPE1-147"
"CAPE-1141","CAPE1-148"
"CAPE-1142","CAPE1-149"
"CAPE-1143","CAPE1-150"
"CAPE-1144","CAPE1-151"
"CAPE-1145","CAPE1-152"
"CAPE-1146","CAPE1-153"
"CAPE-1147","CAPE1-154"
"CAPE-1148","CAPE1-155"
"CAPE-1149","CAPE1-156"
"CAPE-1150","CAPE1-157"
"CAPE-1151","CAPE1-158"
"CAPE-1152","CAPE1-159"
"CAPE-1153","CAPE1-159"
"CAPE-1154","CAPE1-173"
"CAPE-1155","CAPE1-172"
"CAPE-1157","CAPE1-171"
"CAPE-1158","CAPE1-170"
"CAPE-1159","CAPE1-169"
"CAPE-1160","CAPE1-168"
"CAPE-1161","CAPE1-174"
"CAPE-1162","CAPE1-167"
"CAPE-1163","CAPE1-165"
"CAPE-1164","CAPE1-164"
"CAPE-1165","CAPE1-207"
"CAPE-1166","CAPE1-162"
"CAPE-1167","CAPE1-161"
"CAPE-1168","CAPE1-160"
"CAPE-1169","CAPE1-190"
"CAPE-1170","CAPE1-206"
"CAPE-1171","CAPE1-223"
"CAPE-1172","CAPE1-208"
"CAPE-1173","CAPE1-249"
"CAPE-1174","CAPE1-250"
"CAPE-1175","CAPE1-255"
"CAPE-1176","CAPE1-254"
"CAPE-1177","CAPE1-253"
"CAPE-1178","CAPE1-251"
"CAPE-1179","CAPE1-251"
"CAPE-1180","CAPE1-252"
"CAPE-1181","CAPE1-247"
"CAPE-1182","CAPE1-248"
"CAPE-1223","CAPE1-18"
"CAPE-1232","CAPE1-3"
"CAPE-1234","CAPE1-18"
"CAPE-1235","CAPE1-5"
"CAPE-1236","CAPE1-5"
"CAPE-1242","CAPE1-6"
"CAPE-1253","CAPE1-259"
"CAPE-1256","CAPE1-7"
"CAPE-1257","CAPE1-14"
"CAPE-1278","CAPE1-260"
"CAPE-1279","CAPE1-261"
"CAPE-1290","CAPE1-23"
"CAPE-1292","CAPE1-23"
"CAPE-1293","CAPE1-52"
"CAPE-1294","CAPE1-53"
"CAPE-1295","CAPE1-53"
"CAPE-1298","CAPE1-262"
"CAPE-1299","CAPE1-266"
"CAPE-13","CAPE1-32"
"CAPE-14","CAPE1-36"
"CAPE-15","CAPE1-75"
"CAPE-156","CAPE1-82"
"CAPE-157","CAPE1-114"
"CAPE-158","CAPE1-116"
"CAPE-16","CAPE1-35"
"CAPE-161","CAPE1-256"
"CAPE-162","CAPE1-257"
"CAPE-17","CAPE1-74"
"CAPE-18","CAPE1-43"
"CAPE-182","CAPE1-258"
"CAPE-185","CAPE1-25"
"CAPE-186","CAPE1-120"
"CAPE-19","CAPE1-72"
"CAPE-194","CAPE1-119"
"CAPE-198","CAPE1-28"
"CAPE-20","CAPE1-42"
"CAPE-21","CAPE1-59"
"CAPE-22","CAPE1-40"
"CAPE-225","CAPE1-29"
"CAPE-23","CAPE1-41"
"CAPE-241","CAPE1-20"
"CAPE-25","CAPE1-58"
"CAPE-27","CAPE1-62"
"CAPE-28","CAPE1-38"
"CAPE-29","CAPE1-39"
"CAPE-296","CAPE1-69"
"CAPE-30","CAPE1-37"
"CAPE-308","CAPE1-90"
"CAPE-31","CAPE1-24"
"CAPE-32","CAPE1-61"
"CAPE-33","CAPE1-63"
"CAPE-337","CAPE1-17"
"CAPE-34","CAPE1-47"
"CAPE-358","CAPE1-83"
"CAPE-36","CAPE1-60"
"CAPE-37","CAPE1-33"
"CAPE-373","CAPE1-118"
"CAPE-375","CAPE1-89"
"CAPE-382","CAPE1-88"
"CAPE-39","CAPE1-44"
"CAPE-397","CAPE1-87"
"CAPE-4","CAPE1-48"
"CAPE-40","CAPE1-9"
"CAPE-41","CAPE1-8"
"CAPE-411","CAPE1-66"
"CAPE-413","CAPE1-80"
"CAPE-419","CAPE1-79"
"CAPE-420","CAPE1-78"
"CAPE-44","CAPE1-15"
"CAPE-45","CAPE1-49"
"CAPE-450","CAPE1-263"
"CAPE-453","CAPE1-222"
"CAPE-46","CAPE1-19"
"CAPE-47","CAPE1-55"
"CAPE-48","CAPE1-30"
"CAPE-486","CAPE1-221"
"CAPE-49","CAPE1-13"
"CAPE-50","CAPE1-12"
"CAPE-501","CAPE1-2"
"CAPE-521","CAPE1-1"
"CAPE-523","CAPE1-57"
"CAPE-527","CAPE1-64"
"CAPE-53","CAPE1-51"
"CAPE-54","CAPE1-65"
"CAPE-55","CAPE1-31"
"CAPE-553","CAPE1-77"
"CAPE-57","CAPE1-11"
"CAPE-58","CAPE1-21"
"CAPE-59","CAPE1-26"
"CAPE-6","CAPE1-45"
"CAPE-61","CAPE1-10"
"CAPE-62","CAPE1-73"
"CAPE-63","CAPE1-56"
"CAPE-631","CAPE1-81"
"CAPE-66","CAPE1-22"
"CAPE-660","CAPE1-54"
"CAPE-68","CAPE1-121"
"CAPE-69","CAPE1-123"
"CAPE-7","CAPE1-67"
"CAPE-70","CAPE1-125"
"CAPE-700","CAPE1-16"
"CAPE-71","CAPE1-127"
"CAPE-73","CAPE1-124"
"CAPE-738","CAPE1-16"
"CAPE-74","CAPE1-140"
"CAPE-75","CAPE1-84"
"CAPE-76","CAPE1-86"
"CAPE-77","CAPE1-85"
"CAPE-78","CAPE1-76"
"CAPE-79","CAPE1-117"
"CAPE-8","CAPE1-46"
"CAPE-823","CAPE1-4"
"CAPE-874","CAPE1-220"
"CAPE-9","CAPE1-34"
"CAPE-914","CAPE1-264"
"CAPE-915","CAPE1-265"
"CAPE-918","CAPE1-27"
"CAPE-919","CAPE1-219"
