"SourceKey","TargetKey"
"CARC-1075","CARC1-68"
"CARC-1083","CARC1-67"
"CARC-1102","CARC1-5"
"CARC-1103","CARC1-3"
"CARC-1104","CARC1-4"
"CARC-1105","CARC1-9"
"CARC-1106","CARC1-66"
"CARC-1107","CARC1-65"
"CARC-1110","CARC1-64"
"CARC-1113","CARC1-63"
"CARC-1114","CARC1-62"
"CARC-1118","CARC1-61"
"CARC-1123","CARC1-2"
"CARC-1124","CARC1-60"
"CARC-1126","CARC1-79"
"CARC-1127","CARC1-80"
"CARC-1128","CARC1-95"
"CARC-1132","CARC1-82"
"CARC-1133","CARC1-98"
"CARC-1134","CARC1-101"
"CARC-1135","CARC1-100"
"CARC-1136","CARC1-99"
"CARC-1142","CARC1-97"
"CARC-1143","CARC1-6"
"CARC-1144","CARC1-7"
"CARC-1145","CARC1-8"
"CARC-1146","CARC1-102"
"CARC-1151","CARC1-96"
"CARC-1152","CARC1-94"
"CARC-1153","CARC1-93"
"CARC-1159","CARC1-92"
"CARC-1160","CARC1-91"
"CARC-1162","CARC1-90"
"CARC-1165","CARC1-89"
"CARC-1170","CARC1-88"
"CARC-1172","CARC1-87"
"CARC-1181","CARC1-86"
"CARC-1182","CARC1-105"
"CARC-1183","CARC1-104"
"CARC-1184","CARC1-85"
"CARC-1188","CARC1-84"
"CARC-1189","CARC1-83"
"CARC-1192","CARC1-58"
"CARC-1193","CARC1-57"
"CARC-1195","CARC1-56"
"CARC-1196","CARC1-52"
"CARC-1197","CARC1-30"
"CARC-1198","CARC1-29"
"CARC-1200","CARC1-28"
"CARC-1201","CARC1-27"
"CARC-1202","CARC1-26"
"CARC-1203","CARC1-25"
"CARC-1205","CARC1-24"
"CARC-1206","CARC1-23"
"CARC-1211","CARC1-21"
"CARC-1213","CARC1-31"
"CARC-1215","CARC1-19"
"CARC-1217","CARC1-16"
"CARC-1218","CARC1-14"
"CARC-1219","CARC1-18"
"CARC-1220","CARC1-13"
"CARC-1221","CARC1-15"
"CARC-1222","CARC1-17"
"CARC-1229","CARC1-22"
"CARC-1241","CARC1-32"
"CARC-1244","CARC1-44"
"CARC-1245","CARC1-34"
"CARC-1246","CARC1-54"
"CARC-1247","CARC1-53"
"CARC-1248","CARC1-33"
"CARC-1249","CARC1-51"
"CARC-1252","CARC1-103"
"CARC-1253","CARC1-112"
"CARC-1255","CARC1-111"
"CARC-1257","CARC1-106"
"CARC-1258","CARC1-107"
"CARC-1259","CARC1-108"
"CARC-1261","CARC1-109"
"CARC-1282","CARC1-110"
"CARC-1283","CARC1-50"
"CARC-1284","CARC1-49"
"CARC-1285","CARC1-48"
"CARC-1286","CARC1-47"
"CARC-1287","CARC1-46"
"CARC-1288","CARC1-55"
"CARC-1289","CARC1-45"
"CARC-1290","CARC1-43"
"CARC-192","CARC1-42"
"CARC-281","CARC1-11"
"CARC-297","CARC1-1"
"CARC-400","CARC1-10"
"CARC-401","CARC1-41"
"CARC-412","CARC1-2"
"CARC-539","CARC1-40"
"CARC-540","CARC1-39"
"CARC-545","CARC1-38"
"CARC-549","CARC1-37"
"CARC-550","CARC1-36"
"CARC-551","CARC1-35"
"CARC-552","CARC1-59"
"CARC-554","CARC1-81"
"CARC-557","CARC1-20"
"CARC-558","CARC1-78"
"CARC-697","CARC1-77"
"CARC-778","CARC1-76"
"CARC-802","CARC1-75"
"CARC-842","CARC1-74"
"CARC-843","CARC1-73"
"CARC-844","CARC1-72"
"CARC-875","CARC1-71"
"CARC-902","CARC1-12"
"CARC-969","CARC1-70"
"CARC-980","CARC1-69"
