"SourceKey","TargetKey"
"CARD-10","CARD1-757"
"CARD-1015","CARD1-797"
"CARD-1029","CARD1-318"
"CARD-1030","CARD1-320"
"CARD-1032","CARD1-341"
"CARD-1041","CARD1-501"
"CARD-1042","CARD1-833"
"CARD-1047","CARD1-397"
"CARD-1048","CARD1-398"
"CARD-1056","CARD1-450"
"CARD-1074","CARD1-44"
"CARD-1083","CARD1-446"
"CARD-1088","CARD1-441"
"CARD-1089","CARD1-794"
"CARD-1095","CARD1-840"
"CARD-1099","CARD1-848"
"CARD-11","CARD1-752"
"CARD-1138","CARD1-60"
"CARD-1142","CARD1-61"
"CARD-1157","CARD1-429"
"CARD-1178","CARD1-464"
"CARD-1185","CARD1-326"
"CARD-1188","CARD1-76"
"CARD-12","CARD1-105"
"CARD-1205","CARD1-861"
"CARD-1210","CARD1-327"
"CARD-1228","CARD1-461"
"CARD-1240","CARD1-343"
"CARD-1249","CARD1-339"
"CARD-1255","CARD1-338"
"CARD-1273","CARD1-336"
"CARD-1288","CARD1-72"
"CARD-1289","CARD1-68"
"CARD-1290","CARD1-67"
"CARD-1292","CARD1-66"
"CARD-1298","CARD1-453"
"CARD-1300","CARD1-350"
"CARD-1301","CARD1-490"
"CARD-1343","CARD1-313"
"CARD-1344","CARD1-220"
"CARD-1345","CARD1-219"
"CARD-1346","CARD1-220"
"CARD-1347","CARD1-219"
"CARD-1349","CARD1-220"
"CARD-1350","CARD1-219"
"CARD-1351","CARD1-218"
"CARD-1352","CARD1-173"
"CARD-1353","CARD1-214"
"CARD-1354","CARD1-213"
"CARD-1355","CARD1-212"
"CARD-1356","CARD1-211"
"CARD-1357","CARD1-209"
"CARD-1359","CARD1-266"
"CARD-1362","CARD1-259"
"CARD-1363","CARD1-258"
"CARD-1365","CARD1-248"
"CARD-1366","CARD1-240"
"CARD-1375","CARD1-241"
"CARD-1376","CARD1-14"
"CARD-1377","CARD1-444"
"CARD-1379","CARD1-22"
"CARD-1385","CARD1-447"
"CARD-1388","CARD1-244"
"CARD-1400","CARD1-249"
"CARD-1407","CARD1-9"
"CARD-1416","CARD1-239"
"CARD-1419","CARD1-503"
"CARD-1421","CARD1-505"
"CARD-1422","CARD1-433"
"CARD-1423","CARD1-21"
"CARD-1431","CARD1-38"
"CARD-1449","CARD1-41"
"CARD-145","CARD1-27"
"CARD-1451","CARD1-223"
"CARD-1472","CARD1-438"
"CARD-1475","CARD1-451"
"CARD-1482","CARD1-462"
"CARD-1499","CARD1-452"
"CARD-150","CARD1-368"
"CARD-1506","CARD1-62"
"CARD-151","CARD1-370"
"CARD-152","CARD1-361"
"CARD-1529","CARD1-471"
"CARD-153","CARD1-379"
"CARD-1530","CARD1-470"
"CARD-1531","CARD1-469"
"CARD-1532","CARD1-468"
"CARD-1533","CARD1-467"
"CARD-1534","CARD1-466"
"CARD-1535","CARD1-465"
"CARD-1536","CARD1-473"
"CARD-1537","CARD1-463"
"CARD-1538","CARD1-460"
"CARD-1539","CARD1-459"
"CARD-1540","CARD1-458"
"CARD-1541","CARD1-457"
"CARD-1542","CARD1-456"
"CARD-1543","CARD1-455"
"CARD-1545","CARD1-454"
"CARD-1584","CARD1-820"
"CARD-1590","CARD1-819"
"CARD-1594","CARD1-220"
"CARD-1595","CARD1-219"
"CARD-1596","CARD1-218"
"CARD-1597","CARD1-173"
"CARD-1598","CARD1-214"
"CARD-1599","CARD1-213"
"CARD-16","CARD1-354"
"CARD-1600","CARD1-212"
"CARD-1601","CARD1-211"
"CARD-1602","CARD1-209"
"CARD-1603","CARD1-236"
"CARD-1604","CARD1-140"
"CARD-1605","CARD1-138"
"CARD-1606","CARD1-136"
"CARD-1607","CARD1-134"
"CARD-1608","CARD1-472"
"CARD-1610","CARD1-430"
"CARD-1611","CARD1-431"
"CARD-1612","CARD1-432"
"CARD-1613","CARD1-434"
"CARD-1614","CARD1-437"
"CARD-1616","CARD1-439"
"CARD-1623","CARD1-132"
"CARD-1624","CARD1-440"
"CARD-1633","CARD1-59"
"CARD-1634","CARD1-443"
"CARD-1635","CARD1-135"
"CARD-1668","CARD1-863"
"CARD-1678","CARD1-862"
"CARD-1683","CARD1-58"
"CARD-1685","CARD1-448"
"CARD-1686","CARD1-170"
"CARD-1688","CARD1-475"
"CARD-1693","CARD1-504"
"CARD-1694","CARD1-521"
"CARD-1695","CARD1-515"
"CARD-17","CARD1-355"
"CARD-1701","CARD1-7"
"CARD-1706","CARD1-518"
"CARD-1707","CARD1-500"
"CARD-1708","CARD1-479"
"CARD-1709","CARD1-480"
"CARD-1710","CARD1-487"
"CARD-1713","CARD1-497"
"CARD-1714","CARD1-426"
"CARD-1718","CARD1-158"
"CARD-1720","CARD1-835"
"CARD-1743","CARD1-369"
"CARD-1752","CARD1-49"
"CARD-1754","CARD1-36"
"CARD-1755","CARD1-420"
"CARD-1788","CARD1-421"
"CARD-1794","CARD1-844"
"CARD-1803","CARD1-422"
"CARD-1822","CARD1-153"
"CARD-1837","CARD1-238"
"CARD-1864","CARD1-385"
"CARD-1887","CARD1-165"
"CARD-1896","CARD1-54"
"CARD-1897","CARD1-391"
"CARD-1899","CARD1-838"
"CARD-1902","CARD1-168"
"CARD-1906","CARD1-403"
"CARD-1908","CARD1-139"
"CARD-1911","CARD1-846"
"CARD-1916","CARD1-823"
"CARD-1919","CARD1-373"
"CARD-1935","CARD1-853"
"CARD-1938","CARD1-852"
"CARD-1944","CARD1-372"
"CARD-1953","CARD1-371"
"CARD-1954","CARD1-860"
"CARD-1955","CARD1-872"
"CARD-1956","CARD1-871"
"CARD-1957","CARD1-870"
"CARD-1969","CARD1-868"
"CARD-1974","CARD1-867"
"CARD-1988","CARD1-866"
"CARD-1996","CARD1-366"
"CARD-20","CARD1-84"
"CARD-2004","CARD1-365"
"CARD-2017","CARD1-200"
"CARD-2020","CARD1-201"
"CARD-2021","CARD1-202"
"CARD-2025","CARD1-216"
"CARD-2028","CARD1-474"
"CARD-2067","CARD1-428"
"CARD-2074","CARD1-172"
"CARD-2075","CARD1-495"
"CARD-2088","CARD1-79"
"CARD-2093","CARD1-43"
"CARD-2095","CARD1-199"
"CARD-21","CARD1-26"
"CARD-2111","CARD1-791"
"CARD-2140","CARD1-491"
"CARD-2141","CARD1-427"
"CARD-2157","CARD1-30"
"CARD-2159","CARD1-488"
"CARD-2197","CARD1-196"
"CARD-22","CARD1-509"
"CARD-2203","CARD1-194"
"CARD-2210","CARD1-485"
"CARD-2238","CARD1-33"
"CARD-2239","CARD1-792"
"CARD-2243","CARD1-793"
"CARD-2259","CARD1-483"
"CARD-2291","CARD1-482"
"CARD-2295","CARD1-193"
"CARD-2296","CARD1-192"
"CARD-2299","CARD1-478"
"CARD-23","CARD1-511"
"CARD-2327","CARD1-34"
"CARD-2339","CARD1-34"
"CARD-2357","CARD1-499"
"CARD-2359","CARD1-189"
"CARD-2360","CARD1-187"
"CARD-2361","CARD1-186"
"CARD-2362","CARD1-185"
"CARD-2369","CARD1-516"
"CARD-2389","CARD1-184"
"CARD-2393","CARD1-183"
"CARD-24","CARD1-492"
"CARD-2410","CARD1-795"
"CARD-2416","CARD1-514"
"CARD-2425","CARD1-37"
"CARD-2427","CARD1-181"
"CARD-2431","CARD1-512"
"CARD-2432","CARD1-837"
"CARD-2446","CARD1-180"
"CARD-246","CARD1-352"
"CARD-2477","CARD1-178"
"CARD-2478","CARD1-796"
"CARD-2498","CARD1-39"
"CARD-25","CARD1-494"
"CARD-2504","CARD1-25"
"CARD-2506","CARD1-506"
"CARD-2515","CARD1-80"
"CARD-2520","CARD1-175"
"CARD-2521","CARD1-16"
"CARD-2523","CARD1-825"
"CARD-2524","CARD1-828"
"CARD-2526","CARD1-10"
"CARD-2529","CARD1-502"
"CARD-2549","CARD1-11"
"CARD-2553","CARD1-476"
"CARD-2555","CARD1-498"
"CARD-2558","CARD1-522"
"CARD-2559","CARD1-12"
"CARD-2565","CARD1-13"
"CARD-2578","CARD1-206"
"CARD-2595","CARD1-15"
"CARD-26","CARD1-363"
"CARD-2606","CARD1-234"
"CARD-2657","CARD1-445"
"CARD-2678","CARD1-233"
"CARD-2685","CARD1-18"
"CARD-2696","CARD1-442"
"CARD-27","CARD1-496"
"CARD-2713","CARD1-856"
"CARD-2748","CARD1-19"
"CARD-2772","CARD1-20"
"CARD-28","CARD1-493"
"CARD-2815","CARD1-449"
"CARD-2816","CARD1-436"
"CARD-2819","CARD1-435"
"CARD-2844","CARD1-226"
"CARD-2858","CARD1-94"
"CARD-2872","CARD1-225"
"CARD-2886","CARD1-731"
"CARD-2888","CARD1-224"
"CARD-2889","CARD1-725"
"CARD-29","CARD1-489"
"CARD-2918","CARD1-726"
"CARD-2934","CARD1-97"
"CARD-2935","CARD1-727"
"CARD-2946","CARD1-98"
"CARD-2957","CARD1-728"
"CARD-2960","CARD1-103"
"CARD-2964","CARD1-729"
"CARD-2969","CARD1-730"
"CARD-2979","CARD1-732"
"CARD-2982","CARD1-739"
"CARD-2984","CARD1-174"
"CARD-3","CARD1-290"
"CARD-30","CARD1-121"
"CARD-3030","CARD1-733"
"CARD-3059","CARD1-734"
"CARD-3060","CARD1-101"
"CARD-3069","CARD1-99"
"CARD-3074","CARD1-735"
"CARD-3086","CARD1-736"
"CARD-3087","CARD1-737"
"CARD-3094","CARD1-738"
"CARD-3095","CARD1-89"
"CARD-3113","CARD1-524"
"CARD-3118","CARD1-157"
"CARD-3119","CARD1-154"
"CARD-3120","CARD1-146"
"CARD-3155","CARD1-155"
"CARD-3171","CARD1-116"
"CARD-3176","CARD1-600"
"CARD-3184","CARD1-133"
"CARD-3189","CARD1-114"
"CARD-3195","CARD1-117"
"CARD-3196","CARD1-142"
"CARD-3197","CARD1-150"
"CARD-3207","CARD1-8"
"CARD-3209","CARD1-166"
"CARD-3210","CARD1-163"
"CARD-3211","CARD1-163"
"CARD-3212","CARD1-147"
"CARD-3213","CARD1-171"
"CARD-3216","CARD1-131"
"CARD-3224","CARD1-100"
"CARD-3227","CARD1-87"
"CARD-3228","CARD1-111"
"CARD-3231","CARD1-207"
"CARD-3246","CARD1-387"
"CARD-3251","CARD1-108"
"CARD-3254","CARD1-107"
"CARD-3269","CARD1-208"
"CARD-3275","CARD1-122"
"CARD-3301","CARD1-405"
"CARD-3315","CARD1-96"
"CARD-3320","CARD1-424"
"CARD-3337","CARD1-95"
"CARD-3346","CARD1-419"
"CARD-3347","CARD1-417"
"CARD-3349","CARD1-425"
"CARD-3356","CARD1-414"
"CARD-3374","CARD1-412"
"CARD-3375","CARD1-411"
"CARD-3376","CARD1-410"
"CARD-3380","CARD1-409"
"CARD-3381","CARD1-408"
"CARD-3387","CARD1-407"
"CARD-3388","CARD1-404"
"CARD-3394","CARD1-235"
"CARD-3398","CARD1-377"
"CARD-3401","CARD1-81"
"CARD-3445","CARD1-205"
"CARD-3450","CARD1-353"
"CARD-3477","CARD1-177"
"CARD-3499","CARD1-109"
"CARD-3500","CARD1-359"
"CARD-3501","CARD1-349"
"CARD-3516","CARD1-179"
"CARD-3529","CARD1-348"
"CARD-3546","CARD1-381"
"CARD-3554","CARD1-362"
"CARD-3589","CARD1-191"
"CARD-3595","CARD1-120"
"CARD-3598","CARD1-119"
"CARD-36","CARD1-5"
"CARD-3618","CARD1-378"
"CARD-3621","CARD1-195"
"CARD-3671","CARD1-118"
"CARD-3678","CARD1-375"
"CARD-3679","CARD1-374"
"CARD-3682","CARD1-765"
"CARD-3684","CARD1-763"
"CARD-3685","CARD1-774"
"CARD-3688","CARD1-758"
