"Source Issue","Source URL","Target Issue","Target URL","Issue Type","Summary","Missing Parent","Status","Reason","Action Required"
"CARD-463","https://onemain.atlassian.net/browse/CARD-463","CARD1-126","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CARD1-126","Epic","OMF Employee Credit Card Policy & Program Implementation","CARD-45","In Progress","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CARD-64","https://onemain.atlassian.net/browse/CARD-64","CARD1-346","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CARD1-346","Story","Milestone 10: Branch Flow Move to Orbit","CARD-655","Blocked","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CARD-67","https://onemain.atlassian.net/browse/CARD-67","CARD1-347","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CARD1-347","Task","Create shared package for Channel Enums","CARD-141","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CARD-66","https://onemain.atlassian.net/browse/CARD-66","CARD1-380","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CARD1-380","Task","Changing sagasqsconfig to sqsconfig in commonConfig - move to stretch","CARD-141","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CARD-851","https://onemain.atlassian.net/browse/CARD-851","CARD1-386","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CARD1-386","Task","Batch Process Implementation on all  NS Queues","CARD-655","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CARD-848","https://onemain.atlassian.net/browse/CARD-848","CARD1-388","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CARD1-388","Task","Milestone 13: North Star Enhancements","CARD-655","In Progress","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CARD-2141","https://onemain.atlassian.net/browse/CARD-2141","CARD1-427","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CARD1-427","Task","ASTRA-lambda : Need to remove error handling call to older flow ","CARD-655","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CARD-1610","https://onemain.atlassian.net/browse/CARD-1610","CARD1-430","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CARD1-430","Task","Onus Api integration with CDS","CARD-655","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CARD-1611","https://onemain.atlassian.net/browse/CARD-1611","CARD1-431","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CARD1-431","Task","Resiliency on Fraud Service","CARD-655","Ready for Work","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CARD-1612","https://onemain.atlassian.net/browse/CARD-1612","CARD1-432","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CARD1-432","Task","Resiliency: Fraud Decision Service","CARD-655","Ready for Work","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CARD-1613","https://onemain.atlassian.net/browse/CARD-1613","CARD1-434","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CARD1-434","Task","Increase message visibility timeout on problematic message in all SQS","CARD-655","Ready for Work","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CARD-1614","https://onemain.atlassian.net/browse/CARD-1614","CARD1-437","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CARD1-437","Task","Integrate AWS X-Ray on Orbit Service","CARD-655","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CARD-1616","https://onemain.atlassian.net/browse/CARD-1616","CARD1-439","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CARD1-439","Task","Add shutdown logic on all services","CARD-655","Ready for Work","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CARD-1298","https://onemain.atlassian.net/browse/CARD-1298","CARD1-453","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CARD1-453","Task","UDF Endpoint on Cards-Management: Refine the active account code with proper block/reclass code","CARD-65","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CARD-1608","https://onemain.atlassian.net/browse/CARD-1608","CARD1-472","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CARD1-472","Task","Resiliency on CDS","CARD-655","Ready for Work","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CARD-1301","https://onemain.atlassian.net/browse/CARD-1301","CARD1-490","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CARD1-490","Task","DevOps ticket for ECM-BFF Swagger","CARD-141","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
