"Source Issue","Source URL","Target Issue","Target URL","Link Type","Direction","Linked To (Not Migrated)","Linked To URL","Reason","Action Required"
"CARD-5128","https://onemain.atlassian.net/browse/CARD-5128","CARD1-285","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CARD1-285","Cloners","outward","CARD-5127","https://onemain.atlassian.net/browse/CARD-5127","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"CARD-5181","https://onemain.atlassian.net/browse/CARD-5181","CARD1-640","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CARD1-640","Cloners","outward","CARD-5180","https://onemain.atlassian.net/browse/CARD-5180","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"CARD-5182","https://onemain.atlassian.net/browse/CARD-5182","CARD1-642","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CARD1-642","Cloners","outward","CARD-5180","https://onemain.atlassian.net/browse/CARD-5180","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"CARD-5184","https://onemain.atlassian.net/browse/CARD-5184","CARD1-651","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CARD1-651","Cloners","outward","CARD-5180","https://onemain.atlassian.net/browse/CARD-5180","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"CARD-5187","https://onemain.atlassian.net/browse/CARD-5187","CARD1-644","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CARD1-644","Cloners","outward","CARD-5186","https://onemain.atlassian.net/browse/CARD-5186","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"CARD-5188","https://onemain.atlassian.net/browse/CARD-5188","CARD1-645","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CARD1-645","Cloners","outward","CARD-5187","https://onemain.atlassian.net/browse/CARD-5187","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"CARD-5189","https://onemain.atlassian.net/browse/CARD-5189","CARD1-86","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CARD1-86","Blocks","outward","CARD-5185","https://onemain.atlassian.net/browse/CARD-5185","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"CARD-5228","https://onemain.atlassian.net/browse/CARD-5228","CARD1-293","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CARD1-293","Cloners","outward","CARD-5227","https://onemain.atlassian.net/browse/CARD-5227","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"CARD-4945","https://onemain.atlassian.net/browse/CARD-4945","CARD1-252","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CARD1-252","Cloners","outward","CARD-4943","https://onemain.atlassian.net/browse/CARD-4943","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"CARD-5065","https://onemain.atlassian.net/browse/CARD-5065","CARD1-662","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CARD1-662","Cloners","outward","CARD-5014","https://onemain.atlassian.net/browse/CARD-5014","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"CARD-5104","https://onemain.atlassian.net/browse/CARD-5104","CARD1-671","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CARD1-671","Blocks","inward","CARD-5219","https://onemain.atlassian.net/browse/CARD-5219","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
