"SourceKey","TargetKey"
"CBRE-1007","CBRE1-40"
"CBRE-1011","CBRE1-88"
"CBRE-1055","CBRE1-1"
"CBRE-1058","CBRE1-4"
"CBRE-1059","CBRE1-20"
"CBRE-1060","CBRE1-66"
"CBRE-1066","CBRE1-16"
"CBRE-1075","CBRE1-94"
"CBRE-1102","CBRE1-12"
"CBRE-1109","CBRE1-56"
"CBRE-1120","CBRE1-9"
"CBRE-1121","CBRE1-9"
"CBRE-1125","CBRE1-19"
"CBRE-1133","CBRE1-54"
"CBRE-1140","CBRE1-2"
"CBRE-1145","CBRE1-21"
"CBRE-1146","CBRE1-21"
"CBRE-1166","CBRE1-77"
"CBRE-1174","CBRE1-58"
"CBRE-1181","CBRE1-57"
"CBRE-1182","CBRE1-91"
"CBRE-1183","CBRE1-92"
"CBRE-1191","CBRE1-37"
"CBRE-1192","CBRE1-78"
"CBRE-1193","CBRE1-23"
"CBRE-1201","CBRE1-93"
"CBRE-1211","CBRE1-80"
"CBRE-1214","CBRE1-81"
"CBRE-1232","CBRE1-24"
"CBRE-1239","CBRE1-25"
"CBRE-1240","CBRE1-89"
"CBRE-1243","CBRE1-22"
"CBRE-1244","CBRE1-84"
"CBRE-1245","CBRE1-85"
"CBRE-1246","CBRE1-86"
"CBRE-1250","CBRE1-75"
"CBRE-1251","CBRE1-90"
"CBRE-1252","CBRE1-26"
"CBRE-1253","CBRE1-26"
"CBRE-1254","CBRE1-76"
"CBRE-1255","CBRE1-27"
"CBRE-1256","CBRE1-74"
"CBRE-1258","CBRE1-73"
"CBRE-1260","CBRE1-92"
"CBRE-1262","CBRE1-28"
"CBRE-1263","CBRE1-60"
"CBRE-1264","CBRE1-29"
"CBRE-1265","CBRE1-62"
"CBRE-1266","CBRE1-63"
"CBRE-1267","CBRE1-64"
"CBRE-1270","CBRE1-91"
"CBRE-1271","CBRE1-92"
"CBRE-1272","CBRE1-91"
"CBRE-1273","CBRE1-92"
"CBRE-13","CBRE1-36"
"CBRE-169","CBRE1-39"
"CBRE-22","CBRE1-35"
"CBRE-371","CBRE1-30"
"CBRE-38","CBRE1-69"
"CBRE-39","CBRE1-71"
"CBRE-40","CBRE1-72"
"CBRE-414","CBRE1-31"
"CBRE-44","CBRE1-70"
"CBRE-45","CBRE1-82"
"CBRE-533","CBRE1-32"
"CBRE-534","CBRE1-33"
"CBRE-576","CBRE1-67"
"CBRE-579","CBRE1-34"
"CBRE-595","CBRE1-38"
"CBRE-635","CBRE1-68"
"CBRE-636","CBRE1-93"
"CBRE-637","CBRE1-91"
"CBRE-665","CBRE1-42"
"CBRE-666","CBRE1-44"
"CBRE-686","CBRE1-46"
"CBRE-687","CBRE1-47"
"CBRE-690","CBRE1-48"
"CBRE-749","CBRE1-49"
"CBRE-750","CBRE1-87"
"CBRE-781","CBRE1-8"
"CBRE-786","CBRE1-7"
"CBRE-804","CBRE1-6"
"CBRE-808","CBRE1-5"
"CBRE-809","CBRE1-51"
"CBRE-812","CBRE1-83"
"CBRE-814","CBRE1-3"
"CBRE-834","CBRE1-52"
"CBRE-835","CBRE1-79"
"CBRE-841","CBRE1-53"
"CBRE-847","CBRE1-55"
"CBRE-873","CBRE1-18"
"CBRE-874","CBRE1-50"
"CBRE-876","CBRE1-59"
"CBRE-877","CBRE1-61"
"CBRE-878","CBRE1-65"
"CBRE-886","CBRE1-10"
"CBRE-893","CBRE1-11"
"CBRE-896","CBRE1-45"
"CBRE-907","CBRE1-13"
"CBRE-917","CBRE1-14"
"CBRE-977","CBRE1-15"
"CBRE-978","CBRE1-43"
"CBRE-994","CBRE1-17"
"CBRE-995","CBRE1-41"
