"SourceKey","TargetKey"
"CCAL-1","CCAL1-75"
"CCAL-104","CCAL1-1"
"CCAL-11","CCAL1-11"
"CCAL-110","CCAL1-78"
"CCAL-111","CCAL1-97"
"CCAL-112","CCAL1-96"
"CCAL-113","CCAL1-101"
"CCAL-114","CCAL1-103"
"CCAL-115","CCAL1-100"
"CCAL-116","CCAL1-94"
"CCAL-117","CCAL1-93"
"CCAL-118","CCAL1-40"
"CCAL-119","CCAL1-71"
"CCAL-12","CCAL1-39"
"CCAL-13","CCAL1-95"
"CCAL-132","CCAL1-40"
"CCAL-135","CCAL1-42"
"CCAL-138","CCAL1-69"
"CCAL-14","CCAL1-90"
"CCAL-143","CCAL1-76"
"CCAL-148","CCAL1-59"
"CCAL-15","CCAL1-89"
"CCAL-155","CCAL1-53"
"CCAL-157","CCAL1-92"
"CCAL-165","CCAL1-65"
"CCAL-166","CCAL1-40"
"CCAL-167","CCAL1-41"
"CCAL-168","CCAL1-38"
"CCAL-17","CCAL1-73"
"CCAL-171","CCAL1-40"
"CCAL-172","CCAL1-62"
"CCAL-174","CCAL1-44"
"CCAL-176","CCAL1-61"
"CCAL-177","CCAL1-36"
"CCAL-18","CCAL1-74"
"CCAL-180","CCAL1-91"
"CCAL-188","CCAL1-82"
"CCAL-19","CCAL1-88"
"CCAL-194","CCAL1-99"
"CCAL-196","CCAL1-86"
"CCAL-197","CCAL1-33"
"CCAL-20","CCAL1-87"
"CCAL-200","CCAL1-64"
"CCAL-203","CCAL1-45"
"CCAL-204","CCAL1-46"
"CCAL-205","CCAL1-50"
"CCAL-206","CCAL1-49"
"CCAL-207","CCAL1-48"
"CCAL-216","CCAL1-66"
"CCAL-217","CCAL1-67"
"CCAL-218","CCAL1-35"
"CCAL-220","CCAL1-102"
"CCAL-223","CCAL1-37"
"CCAL-23","CCAL1-31"
"CCAL-234","CCAL1-60"
"CCAL-24","CCAL1-30"
"CCAL-241","CCAL1-83"
"CCAL-245","CCAL1-63"
"CCAL-249","CCAL1-85"
"CCAL-25","CCAL1-29"
"CCAL-250","CCAL1-43"
"CCAL-251","CCAL1-70"
"CCAL-26","CCAL1-28"
"CCAL-28","CCAL1-27"
"CCAL-29","CCAL1-26"
"CCAL-30","CCAL1-25"
"CCAL-31","CCAL1-24"
"CCAL-32","CCAL1-80"
"CCAL-35","CCAL1-72"
"CCAL-36","CCAL1-23"
"CCAL-37","CCAL1-22"
"CCAL-38","CCAL1-5"
"CCAL-39","CCAL1-8"
"CCAL-40","CCAL1-21"
"CCAL-41","CCAL1-20"
"CCAL-42","CCAL1-19"
"CCAL-43","CCAL1-18"
"CCAL-44","CCAL1-17"
"CCAL-45","CCAL1-3"
"CCAL-46","CCAL1-15"
"CCAL-47","CCAL1-14"
"CCAL-48","CCAL1-13"
"CCAL-49","CCAL1-12"
"CCAL-50","CCAL1-10"
"CCAL-51","CCAL1-9"
"CCAL-52","CCAL1-7"
"CCAL-53","CCAL1-6"
"CCAL-54","CCAL1-4"
"CCAL-55","CCAL1-2"
"CCAL-58","CCAL1-81"
"CCAL-6","CCAL1-84"
"CCAL-61","CCAL1-32"
"CCAL-69","CCAL1-52"
"CCAL-73","CCAL1-16"
"CCAL-77","CCAL1-58"
"CCAL-78","CCAL1-54"
"CCAL-80","CCAL1-55"
"CCAL-83","CCAL1-56"
"CCAL-84","CCAL1-57"
"CCAL-87","CCAL1-47"
"CCAL-89","CCAL1-51"
"CCAL-90","CCAL1-77"
"CCAL-92","CCAL1-98"
"CCAL-93","CCAL1-68"
"CCAL-99","CCAL1-79"
