"SourceKey","TargetKey"
"CCOL-101","CCOL1-11"
"CCOL-116","CCOL1-12"
"CCOL-123","CCOL1-5"
"CCOL-133","CCOL1-60"
"CCOL-134","CCOL1-59"
"CCOL-135","CCOL1-58"
"CCOL-172","CCOL1-57"
"CCOL-173","CCOL1-55"
"CCOL-174","CCOL1-54"
"CCOL-175","CCOL1-53"
"CCOL-176","CCOL1-52"
"CCOL-177","CCOL1-51"
"CCOL-184","CCOL1-4"
"CCOL-243","CCOL1-56"
"CCOL-270","CCOL1-7"
"CCOL-275","CCOL1-55"
"CCOL-276","CCOL1-54"
"CCOL-277","CCOL1-53"
"CCOL-278","CCOL1-52"
"CCOL-279","CCOL1-51"
"CCOL-30","CCOL1-8"
"CCOL-320","CCOL1-1"
"CCOL-321","CCOL1-44"
"CCOL-324","CCOL1-6"
"CCOL-329","CCOL1-50"
"CCOL-330","CCOL1-61"
"CCOL-331","CCOL1-62"
"CCOL-332","CCOL1-63"
"CCOL-333","CCOL1-82"
"CCOL-337","CCOL1-81"
"CCOL-338","CCOL1-80"
"CCOL-339","CCOL1-79"
"CCOL-340","CCOL1-78"
"CCOL-341","CCOL1-77"
"CCOL-342","CCOL1-76"
"CCOL-349","CCOL1-75"
"CCOL-350","CCOL1-83"
"CCOL-351","CCOL1-64"
"CCOL-352","CCOL1-72"
"CCOL-353","CCOL1-71"
"CCOL-358","CCOL1-70"
"CCOL-359","CCOL1-69"
"CCOL-360","CCOL1-68"
"CCOL-361","CCOL1-48"
"CCOL-362","CCOL1-66"
"CCOL-363","CCOL1-65"
"CCOL-391","CCOL1-49"
"CCOL-392","CCOL1-73"
"CCOL-407","CCOL1-44"
"CCOL-408","CCOL1-44"
"CCOL-41","CCOL1-2"
"CCOL-415","CCOL1-25"
"CCOL-416","CCOL1-26"
"CCOL-418","CCOL1-25"
"CCOL-419","CCOL1-25"
"CCOL-420","CCOL1-25"
"CCOL-430","CCOL1-24"
"CCOL-431","CCOL1-23"
"CCOL-434","CCOL1-22"
"CCOL-439","CCOL1-27"
"CCOL-440","CCOL1-20"
"CCOL-446","CCOL1-19"
"CCOL-447","CCOL1-18"
"CCOL-458","CCOL1-17"
"CCOL-459","CCOL1-16"
"CCOL-460","CCOL1-15"
"CCOL-461","CCOL1-14"
"CCOL-471","CCOL1-13"
"CCOL-473","CCOL1-28"
"CCOL-474","CCOL1-84"
"CCOL-480","CCOL1-47"
"CCOL-483","CCOL1-30"
"CCOL-484","CCOL1-29"
"CCOL-485","CCOL1-46"
"CCOL-487","CCOL1-45"
"CCOL-496","CCOL1-43"
"CCOL-497","CCOL1-43"
"CCOL-501","CCOL1-42"
"CCOL-504","CCOL1-41"
"CCOL-505","CCOL1-40"
"CCOL-506","CCOL1-39"
"CCOL-507","CCOL1-38"
"CCOL-508","CCOL1-37"
"CCOL-509","CCOL1-36"
"CCOL-510","CCOL1-35"
"CCOL-511","CCOL1-34"
"CCOL-512","CCOL1-33"
"CCOL-513","CCOL1-32"
"CCOL-517","CCOL1-31"
"CCOL-518","CCOL1-21"
"CCOL-519","CCOL1-67"
"CCOL-520","CCOL1-74"
"CCOL-76","CCOL1-10"
"CCOL-83","CCOL1-9"
"CCOL-84","CCOL1-3"
