"SourceKey","TargetKey"
"CCP-11","CCP1-30"
"CCP-125","CCP1-16"
"CCP-126","CCP1-154"
"CCP-127","CCP1-155"
"CCP-129","CCP1-156"
"CCP-130","CCP1-157"
"CCP-131","CCP1-158"
"CCP-140","CCP1-159"
"CCP-152","CCP1-35"
"CCP-154","CCP1-36"
"CCP-155","CCP1-59"
"CCP-16","CCP1-32"
"CCP-163","CCP1-29"
"CCP-164","CCP1-34"
"CCP-167","CCP1-60"
"CCP-17","CCP1-4"
"CCP-171","CCP1-61"
"CCP-177","CCP1-62"
"CCP-18","CCP1-18"
"CCP-20","CCP1-32"
"CCP-200","CCP1-63"
"CCP-201","CCP1-64"
"CCP-21","CCP1-19"
"CCP-212","CCP1-65"
"CCP-22","CCP1-4"
"CCP-223","CCP1-66"
"CCP-23","CCP1-20"
"CCP-233","CCP1-68"
"CCP-24","CCP1-33"
"CCP-242","CCP1-77"
"CCP-26","CCP1-20"
"CCP-27","CCP1-31"
"CCP-275","CCP1-69"
"CCP-278","CCP1-70"
"CCP-279","CCP1-71"
"CCP-287","CCP1-166"
"CCP-29","CCP1-5"
"CCP-30","CCP1-4"
"CCP-308","CCP1-72"
"CCP-31","CCP1-5"
"CCP-32","CCP1-33"
"CCP-320","CCP1-73"
"CCP-321","CCP1-74"
"CCP-324","CCP1-75"
"CCP-325","CCP1-76"
"CCP-33","CCP1-4"
"CCP-332","CCP1-58"
"CCP-333","CCP1-67"
"CCP-347","CCP1-57"
"CCP-358","CCP1-45"
"CCP-359","CCP1-161"
"CCP-37","CCP1-4"
"CCP-370","CCP1-37"
"CCP-39","CCP1-3"
"CCP-393","CCP1-38"
"CCP-399","CCP1-39"
"CCP-40","CCP1-17"
"CCP-400","CCP1-40"
"CCP-408","CCP1-41"
"CCP-411","CCP1-42"
"CCP-417","CCP1-43"
"CCP-42","CCP1-6"
"CCP-422","CCP1-44"
"CCP-423","CCP1-46"
"CCP-43","CCP1-1"
"CCP-432","CCP1-55"
"CCP-433","CCP1-47"
"CCP-450","CCP1-48"
"CCP-456","CCP1-145"
"CCP-457","CCP1-142"
"CCP-458","CCP1-141"
"CCP-462","CCP1-136"
"CCP-466","CCP1-49"
"CCP-478","CCP1-147"
"CCP-492","CCP1-50"
"CCP-496","CCP1-51"
"CCP-497","CCP1-52"
"CCP-501","CCP1-53"
"CCP-502","CCP1-54"
"CCP-504","CCP1-25"
"CCP-514","CCP1-79"
"CCP-515","CCP1-93"
"CCP-523","CCP1-148"
"CCP-53","CCP1-7"
"CCP-533","CCP1-94"
"CCP-54","CCP1-8"
"CCP-540","CCP1-95"
"CCP-543","CCP1-96"
"CCP-544","CCP1-97"
"CCP-545","CCP1-98"
"CCP-546","CCP1-170"
"CCP-547","CCP1-150"
"CCP-548","CCP1-146"
"CCP-549","CCP1-143"
"CCP-55","CCP1-9"
"CCP-550","CCP1-149"
"CCP-551","CCP1-139"
"CCP-552","CCP1-140"
"CCP-553","CCP1-99"
"CCP-556","CCP1-100"
"CCP-557","CCP1-101"
"CCP-56","CCP1-10"
"CCP-567","CCP1-102"
"CCP-568","CCP1-103"
"CCP-569","CCP1-152"
"CCP-57","CCP1-11"
"CCP-570","CCP1-169"
"CCP-571","CCP1-104"
"CCP-574","CCP1-105"
"CCP-575","CCP1-106"
"CCP-576","CCP1-107"
"CCP-577","CCP1-92"
"CCP-578","CCP1-167"
"CCP-579","CCP1-151"
"CCP-58","CCP1-12"
"CCP-582","CCP1-165"
"CCP-583","CCP1-164"
"CCP-585","CCP1-108"
"CCP-586","CCP1-91"
"CCP-587","CCP1-163"
"CCP-594","CCP1-90"
"CCP-600","CCP1-162"
"CCP-610","CCP1-73"
"CCP-611","CCP1-74"
"CCP-618","CCP1-81"
"CCP-620","CCP1-82"
"CCP-622","CCP1-83"
"CCP-625","CCP1-84"
"CCP-626","CCP1-82"
"CCP-627","CCP1-82"
"CCP-628","CCP1-82"
"CCP-629","CCP1-82"
"CCP-630","CCP1-82"
"CCP-641","CCP1-86"
"CCP-642","CCP1-87"
"CCP-644","CCP1-88"
"CCP-645","CCP1-89"
"CCP-647","CCP1-88"
"CCP-648","CCP1-109"
"CCP-670","CCP1-117"
"CCP-671","CCP1-110"
"CCP-675","CCP1-126"
"CCP-677","CCP1-153"
"CCP-681","CCP1-127"
"CCP-682","CCP1-128"
"CCP-683","CCP1-129"
"CCP-684","CCP1-135"
"CCP-685","CCP1-134"
"CCP-686","CCP1-133"
"CCP-687","CCP1-125"
"CCP-688","CCP1-130"
"CCP-691","CCP1-123"
"CCP-692","CCP1-122"
"CCP-693","CCP1-111"
"CCP-694","CCP1-160"
"CCP-695","CCP1-124"
"CCP-697","CCP1-113"
"CCP-699","CCP1-115"
"CCP-701","CCP1-116"
"CCP-708","CCP1-118"
"CCP-717","CCP1-119"
"CCP-718","CCP1-120"
"CCP-721","CCP1-168"
"CCP-724","CCP1-121"
"CCP-725","CCP1-112"
"CCP-726","CCP1-132"
"CCP-730","CCP1-2"
"CCP-731","CCP1-26"
"CCP-732","CCP1-27"
"CCP-733","CCP1-28"
"CCP-735","CCP1-114"
"CCP-738","CCP1-131"
"CCP-740","CCP1-80"
"CCP-742","CCP1-85"
"CCP-744","CCP1-78"
"CCP-745","CCP1-56"
"CCP-746","CCP1-21"
"CCP-747","CCP1-22"
"CCP-748","CCP1-23"
"CCP-749","CCP1-144"
"CCP-750","CCP1-24"
"CCP-751","CCP1-138"
"CCP-752","CCP1-137"
"CCP-753","CCP1-2"
"CCP-754","CCP1-26"
"CCP-755","CCP1-27"
"CCP-756","CCP1-28"
"CCP-82","CCP1-13"
"CCP-88","CCP1-14"
"CCP-92","CCP1-15"
