"Source Issue","Source URL","Target Issue","Target URL","Link Type","Direction","Linked To (Not Migrated)","Linked To URL","Reason","Action Required"
"CCP-568","https://onemain.atlassian.net/browse/CCP-568","CCP1-103","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CCP1-103","Cloners","outward","CCP-567","https://onemain.atlassian.net/browse/CCP-567","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"CCP-586","https://onemain.atlassian.net/browse/CCP-586","CCP1-91","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CCP1-91","Cloners","outward","CCP-585","https://onemain.atlassian.net/browse/CCP-585","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"CCP-648","https://onemain.atlassian.net/browse/CCP-648","CCP1-109","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CCP1-109","Cloners","outward","CCP-644","https://onemain.atlassian.net/browse/CCP-644","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"CCP-675","https://onemain.atlassian.net/browse/CCP-675","CCP1-126","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CCP1-126","Relates","inward","CCP-670","https://onemain.atlassian.net/browse/CCP-670","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"CCP-681","https://onemain.atlassian.net/browse/CCP-681","CCP1-127","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CCP1-127","Cloners","outward","CCP-675","https://onemain.atlassian.net/browse/CCP-675","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"CCP-681","https://onemain.atlassian.net/browse/CCP-681","CCP1-127","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CCP1-127","Blocks","inward","CCP-675","https://onemain.atlassian.net/browse/CCP-675","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"CCP-682","https://onemain.atlassian.net/browse/CCP-682","CCP1-128","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CCP1-128","Cloners","outward","CCP-681","https://onemain.atlassian.net/browse/CCP-681","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"CCP-682","https://onemain.atlassian.net/browse/CCP-682","CCP1-128","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CCP1-128","Blocks","inward","CCP-681","https://onemain.atlassian.net/browse/CCP-681","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"CCP-683","https://onemain.atlassian.net/browse/CCP-683","CCP1-129","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CCP1-129","Cloners","outward","CCP-682","https://onemain.atlassian.net/browse/CCP-682","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"CCP-683","https://onemain.atlassian.net/browse/CCP-683","CCP1-129","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CCP1-129","Relates","inward","CCP-670","https://onemain.atlassian.net/browse/CCP-670","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"CCP-683","https://onemain.atlassian.net/browse/CCP-683","CCP1-129","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CCP1-129","Blocks","inward","CCP-682","https://onemain.atlassian.net/browse/CCP-682","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"CCP-684","https://onemain.atlassian.net/browse/CCP-684","CCP1-135","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CCP1-135","Cloners","outward","CCP-675","https://onemain.atlassian.net/browse/CCP-675","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"CCP-684","https://onemain.atlassian.net/browse/CCP-684","CCP1-135","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CCP1-135","Blocks","inward","CCP-683","https://onemain.atlassian.net/browse/CCP-683","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"CCP-685","https://onemain.atlassian.net/browse/CCP-685","CCP1-134","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CCP1-134","Cloners","outward","CCP-684","https://onemain.atlassian.net/browse/CCP-684","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"CCP-685","https://onemain.atlassian.net/browse/CCP-685","CCP1-134","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CCP1-134","Blocks","inward","CCP-684","https://onemain.atlassian.net/browse/CCP-684","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"CCP-686","https://onemain.atlassian.net/browse/CCP-686","CCP1-133","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CCP1-133","Cloners","outward","CCP-685","https://onemain.atlassian.net/browse/CCP-685","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"CCP-686","https://onemain.atlassian.net/browse/CCP-686","CCP1-133","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CCP1-133","Blocks","inward","CCP-685","https://onemain.atlassian.net/browse/CCP-685","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"CCP-687","https://onemain.atlassian.net/browse/CCP-687","CCP1-125","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CCP1-125","Cloners","outward","CCP-686","https://onemain.atlassian.net/browse/CCP-686","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
