"SourceKey","TargetKey"
"CCT-1","CCT1-2"
"CCT-10","CCT1-28"
"CCT-100","CCT1-9"
"CCT-102","CCT1-21"
"CCT-103","CCT1-25"
"CCT-104","CCT1-66"
"CCT-105","CCT1-23"
"CCT-106","CCT1-67"
"CCT-107","CCT1-3"
"CCT-108","CCT1-69"
"CCT-109","CCT1-76"
"CCT-11","CCT1-19"
"CCT-111","CCT1-71"
"CCT-112","CCT1-72"
"CCT-114","CCT1-73"
"CCT-115","CCT1-33"
"CCT-116","CCT1-74"
"CCT-117","CCT1-75"
"CCT-12","CCT1-16"
"CCT-122","CCT1-62"
"CCT-123","CCT1-32"
"CCT-124","CCT1-68"
"CCT-127","CCT1-97"
"CCT-128","CCT1-61"
"CCT-129","CCT1-51"
"CCT-130","CCT1-45"
"CCT-131","CCT1-46"
"CCT-132","CCT1-47"
"CCT-133","CCT1-48"
"CCT-134","CCT1-49"
"CCT-135","CCT1-50"
"CCT-136","CCT1-52"
"CCT-137","CCT1-59"
"CCT-138","CCT1-53"
"CCT-139","CCT1-31"
"CCT-140","CCT1-108"
"CCT-141","CCT1-124"
"CCT-142","CCT1-123"
"CCT-143","CCT1-122"
"CCT-144","CCT1-121"
"CCT-145","CCT1-54"
"CCT-146","CCT1-119"
"CCT-148","CCT1-118"
"CCT-149","CCT1-125"
"CCT-15","CCT1-1"
"CCT-152","CCT1-117"
"CCT-156","CCT1-9"
"CCT-157","CCT1-55"
"CCT-158","CCT1-114"
"CCT-16","CCT1-35"
"CCT-160","CCT1-14"
"CCT-161","CCT1-29"
"CCT-166","CCT1-78"
"CCT-167","CCT1-56"
"CCT-169","CCT1-57"
"CCT-17","CCT1-6"
"CCT-170","CCT1-58"
"CCT-171","CCT1-60"
"CCT-172","CCT1-77"
"CCT-173","CCT1-81"
"CCT-174","CCT1-126"
"CCT-175","CCT1-109"
"CCT-176","CCT1-110"
"CCT-178","CCT1-111"
"CCT-18","CCT1-7"
"CCT-180","CCT1-112"
"CCT-181","CCT1-115"
"CCT-182","CCT1-120"
"CCT-183","CCT1-86"
"CCT-184","CCT1-85"
"CCT-185","CCT1-42"
"CCT-186","CCT1-84"
"CCT-187","CCT1-83"
"CCT-188","CCT1-82"
"CCT-19","CCT1-8"
"CCT-193","CCT1-107"
"CCT-194","CCT1-80"
"CCT-196","CCT1-116"
"CCT-197","CCT1-89"
"CCT-198","CCT1-90"
"CCT-199","CCT1-104"
"CCT-20","CCT1-9"
"CCT-200","CCT1-87"
"CCT-201","CCT1-13"
"CCT-209","CCT1-95"
"CCT-21","CCT1-18"
"CCT-210","CCT1-88"
"CCT-211","CCT1-106"
"CCT-212","CCT1-92"
"CCT-214","CCT1-105"
"CCT-215","CCT1-93"
"CCT-216","CCT1-94"
"CCT-217","CCT1-96"
"CCT-219","CCT1-98"
"CCT-22","CCT1-10"
"CCT-220","CCT1-99"
"CCT-221","CCT1-100"
"CCT-222","CCT1-101"
"CCT-223","CCT1-102"
"CCT-224","CCT1-17"
"CCT-225","CCT1-103"
"CCT-226","CCT1-30"
"CCT-227","CCT1-43"
"CCT-228","CCT1-44"
"CCT-229","CCT1-34"
"CCT-23","CCT1-11"
"CCT-230","CCT1-113"
"CCT-231","CCT1-4"
"CCT-232","CCT1-4"
"CCT-24","CCT1-12"
"CCT-3","CCT1-20"
"CCT-4","CCT1-22"
"CCT-44","CCT1-15"
"CCT-6","CCT1-15"
"CCT-69","CCT1-41"
"CCT-7","CCT1-5"
"CCT-78","CCT1-36"
"CCT-8","CCT1-24"
"CCT-82","CCT1-37"
"CCT-85","CCT1-38"
"CCT-86","CCT1-27"
"CCT-87","CCT1-39"
"CCT-88","CCT1-40"
"CCT-9","CCT1-26"
"CCT-95","CCT1-91"
"CCT-96","CCT1-79"
"CCT-97","CCT1-63"
"CCT-98","CCT1-64"
"CCT-99","CCT1-65"
