"SourceKey","TargetKey"
"CDL-1004","CDL1-142"
"CDL-1008","CDL1-141"
"CDL-1009","CDL1-140"
"CDL-1018","CDL1-24"
"CDL-1045","CDL1-89"
"CDL-1064","CDL1-90"
"CDL-1068","CDL1-138"
"CDL-1069","CDL1-137"
"CDL-1075","CDL1-301"
"CDL-1089","CDL1-270"
"CDL-1090","CDL1-268"
"CDL-1091","CDL1-267"
"CDL-1098","CDL1-91"
"CDL-1101","CDL1-264"
"CDL-1124","CDL1-138"
"CDL-1125","CDL1-260"
"CDL-1126","CDL1-138"
"CDL-1130","CDL1-92"
"CDL-1131","CDL1-74"
"CDL-1132","CDL1-93"
"CDL-1138","CDL1-275"
"CDL-1139","CDL1-143"
"CDL-1185","CDL1-72"
"CDL-1186","CDL1-53"
"CDL-1194","CDL1-54"
"CDL-1215","CDL1-55"
"CDL-1216","CDL1-56"
"CDL-1218","CDL1-57"
"CDL-1219","CDL1-58"
"CDL-1234","CDL1-59"
"CDL-1248","CDL1-266"
"CDL-1253","CDL1-281"
"CDL-1257","CDL1-284"
"CDL-1262","CDL1-60"
"CDL-1264","CDL1-61"
"CDL-1265","CDL1-224"
"CDL-1267","CDL1-62"
"CDL-1268","CDL1-63"
"CDL-1269","CDL1-64"
"CDL-1273","CDL1-65"
"CDL-1276","CDL1-222"
"CDL-1278","CDL1-19"
"CDL-1299","CDL1-66"
"CDL-1302","CDL1-67"
"CDL-1308","CDL1-217"
"CDL-1317","CDL1-68"
"CDL-1331","CDL1-214"
"CDL-1332","CDL1-58"
"CDL-1334","CDL1-205"
"CDL-1340","CDL1-204"
"CDL-1341","CDL1-227"
"CDL-1343","CDL1-228"
"CDL-1344","CDL1-229"
"CDL-1345","CDL1-230"
"CDL-1347","CDL1-256"
"CDL-1361","CDL1-255"
"CDL-1362","CDL1-252"
"CDL-1363","CDL1-251"
"CDL-1364","CDL1-250"
"CDL-1365","CDL1-249"
"CDL-1366","CDL1-248"
"CDL-1377","CDL1-150"
"CDL-1388","CDL1-149"
"CDL-1391","CDL1-80"
"CDL-1396","CDL1-148"
"CDL-1412","CDL1-120"
"CDL-1414","CDL1-119"
"CDL-1415","CDL1-118"
"CDL-1420","CDL1-116"
"CDL-1425","CDL1-81"
"CDL-1426","CDL1-115"
"CDL-1430","CDL1-114"
"CDL-1459","CDL1-113"
"CDL-1462","CDL1-112"
"CDL-1471","CDL1-109"
"CDL-1477","CDL1-107"
"CDL-1481","CDL1-103"
"CDL-1486","CDL1-102"
"CDL-1516","CDL1-82"
"CDL-1540","CDL1-83"
"CDL-1543","CDL1-84"
"CDL-1561","CDL1-303"
"CDL-1571","CDL1-85"
"CDL-1595","CDL1-86"
"CDL-2271","CDL1-87"
"CDL-2289","CDL1-88"
"CDL-25","CDL1-20"
"CDL-2546","CDL1-17"
"CDL-2560","CDL1-73"
"CDL-2637","CDL1-52"
"CDL-2708","CDL1-75"
"CDL-2709","CDL1-51"
"CDL-2781","CDL1-259"
"CDL-2885","CDL1-297"
"CDL-2958","CDL1-77"
"CDL-3004","CDL1-78"
"CDL-3062","CDL1-79"
"CDL-3090","CDL1-171"
"CDL-31","CDL1-18"
"CDL-3107","CDL1-289"
"CDL-3108","CDL1-296"
"CDL-3111","CDL1-154"
"CDL-3130","CDL1-152"
"CDL-3131","CDL1-289"
