"Source Issue","Source URL","Target Issue","Target URL","Issue Type","Summary","Missing Parent","Status","Reason","Action Required"
"CDL-1069","https://onemain.atlassian.net/browse/CDL-1069","CDL1-137","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CDL1-137","Task","Snowflake - [Cards][DataLake] - 314a report parallel run","CDL-2","Testing","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CDL-1068","https://onemain.atlassian.net/browse/CDL-1068","CDL1-138","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CDL1-138","Task","Snowflake - [Cards][DataLake] - Acxiom report new logic","CDL-2","Testing","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CDL-1009","https://onemain.atlassian.net/browse/CDL-1009","CDL1-140","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CDL1-140","Task","Migration: Equifax","CDL-937","Testing","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CDL-1008","https://onemain.atlassian.net/browse/CDL-1008","CDL1-141","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CDL1-141","Task","Migration: Telephony","CDL-937","Testing","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CDL-1343","https://onemain.atlassian.net/browse/CDL-1343","CDL1-228","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CDL1-228","Task","BNF - event based trigger","CDL-6","Testing","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CDL-917","https://onemain.atlassian.net/browse/CDL-917","CDL1-231","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CDL1-231","Task","Snowflake - [Cards][DataLake] - Equifax timestamp hotfix","CDL-2","Testing","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CDL-1125","https://onemain.atlassian.net/browse/CDL-1125","CDL1-260","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CDL1-260","Task","Snowflake - [Cards][DataLake] - 314a report file export","CDL-2","Testing","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CDL-1126","https://onemain.atlassian.net/browse/CDL-1126",,"https://onemainfinancial-migrationsandbox.atlassian.net/browse/","Task","Snowflake - [Cards][DataLake] - Acxiom report new logic","CDL-50","Testing","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CDL-1124","https://onemain.atlassian.net/browse/CDL-1124",,"https://onemainfinancial-migrationsandbox.atlassian.net/browse/","Task","Snowflake - [Cards][DataLake] - Acxiom report new logic","CDL-50","Testing","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CDL-1101","https://onemain.atlassian.net/browse/CDL-1101","CDL1-264","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CDL1-264","Task","Snowflake - [Cards][DataLake] - 314a report parallel run SP","CDL-2","Testing","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CDL-1248","https://onemain.atlassian.net/browse/CDL-1248","CDL1-266","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CDL1-266","Task","Snowflake - [Cards][DataLake] - 2022-07-28 release","CDL-2","Testing","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CDL-1090","https://onemain.atlassian.net/browse/CDL-1090","CDL1-268","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CDL1-268","Task","Snowflake - [Cards][DataLake] - 2022-05-26 release hotfix","CDL-2","Testing","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CDL-1089","https://onemain.atlassian.net/browse/CDL-1089","CDL1-270","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CDL1-270","Task","Snowflake - [Cards][DataLake] - 2022-05-26 release","CDL-2","Testing","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CDL-1253","https://onemain.atlassian.net/browse/CDL-1253","CDL1-281","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CDL1-281","Story","Snowflake - Report 314a - Export","CDL-2","Acceptance","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CDL-1257","https://onemain.atlassian.net/browse/CDL-1257","CDL1-284","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CDL1-284","Task","Suspend Adverse Action ETL job","CDL-57","Testing","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
