"Source Issue","Source URL","Target Issue","Target URL","Link Type","Direction","Linked To (Not Migrated)","Linked To URL","Reason","Action Required"
"CDL-6882","https://onemain.atlassian.net/browse/CDL-6882","CDL1-210","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CDL1-210","Cloners","inward","CDL-7742","https://onemain.atlassian.net/browse/CDL-7742","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"CDL-3978","https://onemain.atlassian.net/browse/CDL-3978","CDL1-133","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CDL1-133","Cloners","outward","CDL-3977","https://onemain.atlassian.net/browse/CDL-3977","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"CDL-3436","https://onemain.atlassian.net/browse/CDL-3436","CDL1-188","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CDL1-188","Cloners","inward","CDL-6856","https://onemain.atlassian.net/browse/CDL-6856","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"CDL-3768","https://onemain.atlassian.net/browse/CDL-3768","CDL1-172","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CDL1-172","Cloners","outward","CDL-3767","https://onemain.atlassian.net/browse/CDL-3767","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"CDL-3815","https://onemain.atlassian.net/browse/CDL-3815","CDL1-165","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CDL1-165","Cloners","outward","CDL-3768","https://onemain.atlassian.net/browse/CDL-3768","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"CDL-3130","https://onemain.atlassian.net/browse/CDL-3130","CDL1-152","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CDL1-152","Cloners","inward","CDL-3697","https://onemain.atlassian.net/browse/CDL-3697","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"CDL-1415","https://onemain.atlassian.net/browse/CDL-1415","CDL1-118","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CDL1-118","Cloners","outward","CDL-1388","https://onemain.atlassian.net/browse/CDL-1388","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"CDL-1269","https://onemain.atlassian.net/browse/CDL-1269","CDL1-64","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CDL1-64","Cloners","outward","CDL-1268","https://onemain.atlassian.net/browse/CDL-1268","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"CDL-1278","https://onemain.atlassian.net/browse/CDL-1278","CDL1-19","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CDL1-19","Cloners","inward","CDL-2546","https://onemain.atlassian.net/browse/CDL-2546","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"CDL-1299","https://onemain.atlassian.net/browse/CDL-1299","CDL1-66","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CDL1-66","Cloners","outward","CDL-1248","https://onemain.atlassian.net/browse/CDL-1248","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"CDL-1331","https://onemain.atlassian.net/browse/CDL-1331","CDL1-214","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CDL1-214","Relates","outward","CDL-1302","https://onemain.atlassian.net/browse/CDL-1302","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"CDL-1340","https://onemain.atlassian.net/browse/CDL-1340","CDL1-204","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CDL1-204","Cloners","outward","CDL-1332","https://onemain.atlassian.net/browse/CDL-1332","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"CDL-1341","https://onemain.atlassian.net/browse/CDL-1341","CDL1-227","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CDL1-227","Cloners","outward","CDL-1340","https://onemain.atlassian.net/browse/CDL-1340","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"CDL-1344","https://onemain.atlassian.net/browse/CDL-1344","CDL1-229","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CDL1-229","Cloners","outward","CDL-1334","https://onemain.atlassian.net/browse/CDL-1334","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"CDL-1345","https://onemain.atlassian.net/browse/CDL-1345","CDL1-230","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CDL1-230","Cloners","outward","CDL-1334","https://onemain.atlassian.net/browse/CDL-1334","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"CDL-1347","https://onemain.atlassian.net/browse/CDL-1347","CDL1-256","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CDL1-256","Cloners","outward","CDL-1341","https://onemain.atlassian.net/browse/CDL-1341","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"CDL-1366","https://onemain.atlassian.net/browse/CDL-1366","CDL1-248","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CDL1-248","Cloners","outward","CDL-1365","https://onemain.atlassian.net/browse/CDL-1365","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
