"SourceKey","TargetKey"
"CE-10","CE1-12"
"CE-106","CE1-72"
"CE-108","CE1-22"
"CE-109","CE1-71"
"CE-11","CE1-11"
"CE-112","CE1-69"
"CE-113","CE1-23"
"CE-12","CE1-17"
"CE-120","CE1-27"
"CE-121","CE1-21"
"CE-123","CE1-20"
"CE-13","CE1-9"
"CE-135","CE1-19"
"CE-136","CE1-26"
"CE-137","CE1-28"
"CE-138","CE1-40"
"CE-14","CE1-8"
"CE-140","CE1-30"
"CE-143","CE1-61"
"CE-144","CE1-50"
"CE-147","CE1-32"
"CE-148","CE1-33"
"CE-149","CE1-34"
"CE-15","CE1-7"
"CE-150","CE1-35"
"CE-151","CE1-54"
"CE-154","CE1-29"
"CE-156","CE1-56"
"CE-157","CE1-57"
"CE-159","CE1-37"
"CE-16","CE1-6"
"CE-160","CE1-38"
"CE-161","CE1-39"
"CE-163","CE1-76"
"CE-17","CE1-10"
"CE-18","CE1-5"
"CE-19","CE1-4"
"CE-20","CE1-3"
"CE-22","CE1-59"
"CE-3","CE1-1"
"CE-30","CE1-58"
"CE-33","CE1-45"
"CE-34","CE1-55"
"CE-38","CE1-60"
"CE-39","CE1-2"
"CE-40","CE1-53"
"CE-41","CE1-52"
"CE-42","CE1-51"
"CE-43","CE1-75"
"CE-49","CE1-43"
"CE-5","CE1-18"
"CE-53","CE1-44"
"CE-6","CE1-16"
"CE-60","CE1-64"
"CE-61","CE1-66"
"CE-62","CE1-67"
"CE-67","CE1-68"
"CE-68","CE1-47"
"CE-7","CE1-15"
"CE-70","CE1-70"
"CE-72","CE1-46"
"CE-73","CE1-42"
"CE-79","CE1-74"
"CE-8","CE1-14"
"CE-80","CE1-48"
"CE-9","CE1-13"
"CE-90","CE1-41"
"CE-92","CE1-49"
"CE-99","CE1-36"
