"SourceKey","TargetKey"
"CIA-100","CIA1-38"
"CIA-1008","CIA1-43"
"CIA-101","CIA1-35"
"CIA-1010","CIA1-42"
"CIA-1011","CIA1-41"
"CIA-1012","CIA1-40"
"CIA-1017","CIA1-258"
"CIA-1019","CIA1-95"
"CIA-1020","CIA1-98"
"CIA-1024","CIA1-78"
"CIA-105","CIA1-252"
"CIA-1056","CIA1-260"
"CIA-1083","CIA1-113"
"CIA-1087","CIA1-112"
"CIA-110","CIA1-226"
"CIA-111","CIA1-225"
"CIA-1112","CIA1-262"
"CIA-112","CIA1-224"
"CIA-1132","CIA1-91"
"CIA-118","CIA1-231"
"CIA-1187","CIA1-96"
"CIA-119","CIA1-230"
"CIA-122","CIA1-227"
"CIA-1241","CIA1-107"
"CIA-1268","CIA1-108"
"CIA-1271","CIA1-259"
"CIA-1275","CIA1-259"
"CIA-1300","CIA1-105"
"CIA-1333","CIA1-93"
"CIA-1334","CIA1-257"
"CIA-1335","CIA1-271"
"CIA-1349","CIA1-46"
"CIA-1356","CIA1-103"
"CIA-1358","CIA1-104"
"CIA-1387","CIA1-49"
"CIA-1391","CIA1-50"
"CIA-1438","CIA1-261"
"CIA-1442","CIA1-140"
"CIA-1445","CIA1-259"
"CIA-1448","CIA1-141"
"CIA-1449","CIA1-257"
"CIA-1450","CIA1-259"
"CIA-1451","CIA1-114"
"CIA-1452","CIA1-257"
"CIA-1453","CIA1-259"
"CIA-146","CIA1-255"
"CIA-1465","CIA1-144"
"CIA-1466","CIA1-145"
"CIA-1467","CIA1-146"
"CIA-1468","CIA1-147"
"CIA-1469","CIA1-148"
"CIA-1471","CIA1-257"
"CIA-1472","CIA1-259"
"CIA-1473","CIA1-261"
"CIA-1474","CIA1-264"
"CIA-1475","CIA1-285"
"CIA-1476","CIA1-152"
"CIA-1477","CIA1-257"
"CIA-1478","CIA1-259"
"CIA-1479","CIA1-261"
"CIA-1480","CIA1-264"
"CIA-1481","CIA1-285"
"CIA-1482","CIA1-154"
"CIA-1483","CIA1-257"
"CIA-1484","CIA1-259"
"CIA-1485","CIA1-261"
"CIA-1486","CIA1-264"
"CIA-1487","CIA1-285"
"CIA-1488","CIA1-157"
"CIA-1489","CIA1-257"
"CIA-1490","CIA1-259"
"CIA-1491","CIA1-261"
"CIA-1492","CIA1-264"
"CIA-1493","CIA1-285"
"CIA-1494","CIA1-136"
"CIA-1495","CIA1-257"
"CIA-1496","CIA1-259"
"CIA-1497","CIA1-261"
"CIA-1498","CIA1-264"
"CIA-1499","CIA1-285"
"CIA-1500","CIA1-116"
"CIA-1501","CIA1-117"
"CIA-1502","CIA1-118"
"CIA-1526","CIA1-119"
"CIA-1527","CIA1-120"
"CIA-1528","CIA1-121"
"CIA-1529","CIA1-122"
"CIA-1530","CIA1-123"
"CIA-1531","CIA1-124"
"CIA-1532","CIA1-125"
"CIA-1533","CIA1-126"
"CIA-1534","CIA1-127"
"CIA-1535","CIA1-128"
"CIA-1536","CIA1-129"
"CIA-1537","CIA1-130"
"CIA-1538","CIA1-131"
"CIA-1540","CIA1-27"
"CIA-155","CIA1-48"
"CIA-1551","CIA1-133"
"CIA-1553","CIA1-28"
"CIA-1554","CIA1-135"
"CIA-1555","CIA1-29"
"CIA-1557","CIA1-30"
"CIA-1558","CIA1-33"
"CIA-1559","CIA1-52"
"CIA-156","CIA1-44"
"CIA-1572","CIA1-143"
"CIA-1573","CIA1-158"
"CIA-1574","CIA1-179"
"CIA-1575","CIA1-180"
"CIA-1576","CIA1-181"
"CIA-1578","CIA1-182"
"CIA-1579","CIA1-183"
"CIA-1580","CIA1-184"
"CIA-1581","CIA1-185"
"CIA-1582","CIA1-186"
"CIA-1583","CIA1-187"
"CIA-1584","CIA1-205"
"CIA-160","CIA1-253"
"CIA-1625","CIA1-239"
"CIA-1626","CIA1-240"
"CIA-1627","CIA1-241"
"CIA-1628","CIA1-242"
"CIA-1629","CIA1-243"
"CIA-1630","CIA1-244"
"CIA-1631","CIA1-245"
"CIA-1633","CIA1-178"
"CIA-1638","CIA1-246"
"CIA-1648","CIA1-248"
"CIA-1649","CIA1-249"
"CIA-1665","CIA1-254"
"CIA-1666","CIA1-256"
"CIA-1667","CIA1-247"
"CIA-1672","CIA1-236"
"CIA-1673","CIA1-235"
"CIA-1675","CIA1-223"
"CIA-1678","CIA1-257"
"CIA-1679","CIA1-271"
"CIA-1692","CIA1-257"
"CIA-1693","CIA1-270"
"CIA-1694","CIA1-261"
"CIA-1695","CIA1-257"
"CIA-1696","CIA1-259"
"CIA-1697","CIA1-261"
"CIA-1715","CIA1-90"
"CIA-1716","CIA1-89"
"CIA-1722","CIA1-251"
"CIA-1724","CIA1-234"
"CIA-1733","CIA1-233"
"CIA-1744","CIA1-229"
"CIA-1745","CIA1-257"
"CIA-1746","CIA1-259"
"CIA-1747","CIA1-261"
"CIA-1750","CIA1-159"
"CIA-1751","CIA1-237"
"CIA-1752","CIA1-238"
"CIA-1757","CIA1-287"
"CIA-1758","CIA1-261"
"CIA-1764","CIA1-85"
"CIA-1771","CIA1-250"
"CIA-1774","CIA1-160"
"CIA-1775","CIA1-174"
"CIA-1776","CIA1-54"
"CIA-1777","CIA1-138"
"CIA-1788","CIA1-37"
"CIA-1796","CIA1-257"
"CIA-1797","CIA1-277"
"CIA-1798","CIA1-276"
"CIA-1799","CIA1-261"
"CIA-1800","CIA1-257"
"CIA-1801","CIA1-277"
"CIA-1802","CIA1-276"
"CIA-1803","CIA1-261"
"CIA-1804","CIA1-257"
"CIA-1805","CIA1-290"
"CIA-1806","CIA1-257"
"CIA-1807","CIA1-271"
"CIA-1809","CIA1-257"
"CIA-1810","CIA1-271"
"CIA-1813","CIA1-289"
"CIA-1814","CIA1-288"
"CIA-1834","CIA1-192"
"CIA-1835","CIA1-257"
"CIA-1836","CIA1-277"
"CIA-1837","CIA1-276"
"CIA-1838","CIA1-261"
"CIA-1839","CIA1-193"
"CIA-1840","CIA1-66"
"CIA-1841","CIA1-194"
"CIA-1842","CIA1-257"
"CIA-1843","CIA1-275"
"CIA-1844","CIA1-261"
"CIA-1846","CIA1-196"
"CIA-1848","CIA1-197"
"CIA-1853","CIA1-198"
"CIA-1855","CIA1-199"
"CIA-1859","CIA1-86"
"CIA-1860","CIA1-82"
"CIA-1866","CIA1-200"
"CIA-1867","CIA1-201"
"CIA-1868","CIA1-202"
"CIA-1869","CIA1-203"
"CIA-1870","CIA1-79"
"CIA-1871","CIA1-204"
"CIA-1872","CIA1-267"
"CIA-1873","CIA1-266"
"CIA-1883","CIA1-274"
"CIA-1884","CIA1-273"
"CIA-1885","CIA1-272"
"CIA-1886","CIA1-278"
"CIA-1887","CIA1-279"
"CIA-1888","CIA1-284"
"CIA-1889","CIA1-220"
"CIA-1891","CIA1-267"
"CIA-1892","CIA1-266"
"CIA-1893","CIA1-208"
"CIA-1894","CIA1-209"
"CIA-1895","CIA1-210"
"CIA-1896","CIA1-211"
"CIA-1901","CIA1-213"
"CIA-1902","CIA1-214"
"CIA-1903","CIA1-283"
"CIA-1904","CIA1-282"
"CIA-1906","CIA1-257"
"CIA-1907","CIA1-269"
"CIA-1908","CIA1-281"
"CIA-1909","CIA1-280"
"CIA-1912","CIA1-218"
"CIA-1920","CIA1-257"
"CIA-1921","CIA1-259"
"CIA-1922","CIA1-261"
"CIA-1923","CIA1-188"
"CIA-1924","CIA1-257"
"CIA-1925","CIA1-259"
"CIA-1926","CIA1-261"
"CIA-1927","CIA1-162"
"CIA-1928","CIA1-257"
"CIA-1929","CIA1-259"
"CIA-1930","CIA1-163"
"CIA-1931","CIA1-87"
"CIA-1934","CIA1-164"
"CIA-1936","CIA1-259"
"CIA-1938","CIA1-165"
"CIA-1939","CIA1-257"
"CIA-1940","CIA1-259"
"CIA-1941","CIA1-261"
"CIA-1947","CIA1-169"
"CIA-1948","CIA1-257"
"CIA-1949","CIA1-268"
"CIA-195","CIA1-228"
"CIA-1954","CIA1-267"
"CIA-1955","CIA1-266"
"CIA-1956","CIA1-257"
"CIA-1957","CIA1-269"
"CIA-1958","CIA1-267"
"CIA-1959","CIA1-266"
"CIA-1960","CIA1-222"
"CIA-1961","CIA1-175"
"CIA-1962","CIA1-176"
"CIA-200","CIA1-221"
"CIA-284","CIA1-257"
"CIA-317","CIA1-75"
"CIA-340","CIA1-173"
"CIA-341","CIA1-172"
"CIA-342","CIA1-171"
"CIA-343","CIA1-170"
"CIA-344","CIA1-168"
"CIA-347","CIA1-167"
"CIA-381","CIA1-166"
"CIA-383","CIA1-257"
"CIA-384","CIA1-259"
"CIA-385","CIA1-261"
"CIA-386","CIA1-263"
"CIA-424","CIA1-259"
"CIA-425","CIA1-263"
"CIA-426","CIA1-161"
"CIA-428","CIA1-189"
"CIA-434","CIA1-190"
"CIA-435","CIA1-257"
"CIA-436","CIA1-259"
"CIA-437","CIA1-261"
"CIA-438","CIA1-263"
"CIA-502","CIA1-191"
"CIA-505","CIA1-219"
"CIA-511","CIA1-257"
"CIA-512","CIA1-257"
"CIA-540","CIA1-217"
"CIA-552","CIA1-216"
"CIA-558","CIA1-215"
"CIA-575","CIA1-177"
"CIA-576","CIA1-65"
"CIA-577","CIA1-64"
"CIA-578","CIA1-63"
"CIA-579","CIA1-62"
"CIA-580","CIA1-61"
"CIA-581","CIA1-60"
"CIA-583","CIA1-68"
"CIA-592","CIA1-59"
"CIA-607","CIA1-206"
"CIA-612","CIA1-257"
"CIA-613","CIA1-259"
"CIA-614","CIA1-261"
"CIA-615","CIA1-263"
"CIA-620","CIA1-195"
"CIA-621","CIA1-257"
"CIA-622","CIA1-259"
"CIA-623","CIA1-261"
"CIA-624","CIA1-263"
"CIA-647","CIA1-67"
"CIA-649","CIA1-70"
"CIA-650","CIA1-69"
"CIA-651","CIA1-74"
"CIA-652","CIA1-32"
"CIA-653","CIA1-53"
"CIA-654","CIA1-71"
"CIA-655","CIA1-72"
"CIA-656","CIA1-73"
"CIA-664","CIA1-134"
"CIA-665","CIA1-132"
"CIA-666","CIA1-115"
"CIA-667","CIA1-137"
"CIA-673","CIA1-156"
"CIA-674","CIA1-155"
"CIA-680","CIA1-58"
"CIA-729","CIA1-286"
"CIA-75","CIA1-84"
"CIA-76","CIA1-47"
"CIA-771","CIA1-153"
"CIA-778","CIA1-57"
"CIA-804","CIA1-56"
"CIA-825","CIA1-102"
"CIA-826","CIA1-101"
"CIA-828","CIA1-99"
"CIA-834","CIA1-97"
"CIA-835","CIA1-111"
"CIA-838","CIA1-88"
"CIA-839","CIA1-92"
"CIA-841","CIA1-100"
"CIA-848","CIA1-257"
"CIA-849","CIA1-259"
"CIA-850","CIA1-265"
"CIA-851","CIA1-259"
"CIA-857","CIA1-259"
"CIA-858","CIA1-259"
"CIA-875","CIA1-109"
"CIA-888","CIA1-142"
"CIA-892","CIA1-55"
"CIA-893","CIA1-19"
"CIA-894","CIA1-16"
"CIA-895","CIA1-5"
"CIA-896","CIA1-7"
"CIA-897","CIA1-22"
"CIA-898","CIA1-21"
"CIA-899","CIA1-20"
"CIA-900","CIA1-18"
"CIA-901","CIA1-17"
"CIA-902","CIA1-23"
"CIA-903","CIA1-14"
"CIA-904","CIA1-11"
"CIA-905","CIA1-10"
"CIA-906","CIA1-6"
"CIA-907","CIA1-9"
"CIA-909","CIA1-25"
"CIA-910","CIA1-26"
"CIA-911","CIA1-8"
"CIA-913","CIA1-31"
"CIA-914","CIA1-12"
"CIA-915","CIA1-13"
"CIA-916","CIA1-15"
"CIA-917","CIA1-51"
"CIA-933","CIA1-151"
"CIA-952","CIA1-150"
"CIA-953","CIA1-149"
"CIA-954","CIA1-1"
"CIA-955","CIA1-2"
"CIA-956","CIA1-3"
"CIA-957","CIA1-4"
"CIA-958","CIA1-83"
"CIA-963","CIA1-139"
"CIA-97","CIA1-34"
"CIA-971","CIA1-45"
"CIA-973","CIA1-94"
"CIA-974","CIA1-106"
"CIA-978","CIA1-110"
"CIA-979","CIA1-24"
"CIA-98","CIA1-39"
"CIA-980","CIA1-81"
"CIA-981","CIA1-80"
"CIA-982","CIA1-77"
"CIA-983","CIA1-76"
"CIA-99","CIA1-36"
