"SourceKey","TargetKey"
"CISRE-1007","CISRE1-48"
"CISRE-1017","CISRE1-52"
"CISRE-1055","CISRE1-50"
"CISRE-1057","CISRE1-55"
"CISRE-1064","CISRE1-53"
"CISRE-108","CISRE1-38"
"CISRE-1084","CISRE1-54"
"CISRE-1107","CISRE1-69"
"CISRE-1112","CISRE1-51"
"CISRE-1132","CISRE1-57"
"CISRE-1141","CISRE1-36"
"CISRE-1153","CISRE1-70"
"CISRE-1155","CISRE1-21"
"CISRE-1159","CISRE1-17"
"CISRE-1161","CISRE1-16"
"CISRE-1162","CISRE1-2"
"CISRE-1166","CISRE1-67"
"CISRE-1170","CISRE1-66"
"CISRE-1176","CISRE1-15"
"CISRE-1177","CISRE1-14"
"CISRE-1179","CISRE1-12"
"CISRE-1187","CISRE1-13"
"CISRE-1190","CISRE1-18"
"CISRE-1193","CISRE1-11"
"CISRE-1196","CISRE1-59"
"CISRE-1198","CISRE1-10"
"CISRE-1200","CISRE1-9"
"CISRE-1201","CISRE1-8"
"CISRE-1202","CISRE1-34"
"CISRE-1203","CISRE1-20"
"CISRE-1204","CISRE1-22"
"CISRE-1206","CISRE1-23"
"CISRE-1210","CISRE1-24"
"CISRE-1215","CISRE1-25"
"CISRE-1218","CISRE1-63"
"CISRE-1221","CISRE1-26"
"CISRE-1222","CISRE1-27"
"CISRE-1224","CISRE1-28"
"CISRE-1228","CISRE1-29"
"CISRE-1229","CISRE1-30"
"CISRE-1231","CISRE1-31"
"CISRE-1233","CISRE1-32"
"CISRE-1235","CISRE1-65"
"CISRE-1237","CISRE1-33"
"CISRE-1238","CISRE1-35"
"CISRE-1239","CISRE1-49"
"CISRE-277","CISRE1-39"
"CISRE-315","CISRE1-3"
"CISRE-39","CISRE1-19"
"CISRE-536","CISRE1-4"
"CISRE-588","CISRE1-60"
"CISRE-639","CISRE1-40"
"CISRE-711","CISRE1-61"
"CISRE-731","CISRE1-62"
"CISRE-833","CISRE1-41"
"CISRE-834","CISRE1-42"
"CISRE-857","CISRE1-43"
"CISRE-871","CISRE1-7"
"CISRE-889","CISRE1-5"
"CISRE-892","CISRE1-44"
"CISRE-913","CISRE1-45"
"CISRE-921","CISRE1-56"
"CISRE-925","CISRE1-37"
"CISRE-926","CISRE1-58"
"CISRE-928","CISRE1-1"
"CISRE-929","CISRE1-6"
"CISRE-951","CISRE1-64"
"CISRE-964","CISRE1-46"
"CISRE-965","CISRE1-47"
"CISRE-967","CISRE1-68"
