"Source Issue","Source URL","Target Issue","Target URL","Issue Type","Summary","Missing Parent","Status","Reason","Action Required"
"CITM-115","https://onemain.atlassian.net/browse/CITM-115","CITM1-12","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CITM1-12","Epic","Application Access Project - Networking","CITM-109","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CITM-114","https://onemain.atlassian.net/browse/CITM-114","CITM1-13","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CITM1-13","Epic","Application Access Project - IAM Engineering & Ops","CITM-109","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CITM-154","https://onemain.atlassian.net/browse/CITM-154","CITM1-88","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CITM1-88","Story","Camunda","CITM-110","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CITM-141","https://onemain.atlassian.net/browse/CITM-141","CITM1-89","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CITM1-89","Story","Periscope","CITM-110","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CITM-139","https://onemain.atlassian.net/browse/CITM-139","CITM1-90","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CITM1-90","Story","Exterro Legal Hold","CITM-110","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CITM-138","https://onemain.atlassian.net/browse/CITM-138","CITM1-91","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CITM1-91","Story","DataDog","CITM-110","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CITM-137","https://onemain.atlassian.net/browse/CITM-137","CITM1-92","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CITM1-92","Story","Truv","CITM-110","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CITM-136","https://onemain.atlassian.net/browse/CITM-136","CITM1-93","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CITM1-93","Story","Qualtrics","CITM-110","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CITM-135","https://onemain.atlassian.net/browse/CITM-135","CITM1-94","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CITM1-94","Story","Peregrin","CITM-110","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CITM-134","https://onemain.atlassian.net/browse/CITM-134","CITM1-95","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CITM1-95","Story","Lending Tree","CITM-110","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CITM-133","https://onemain.atlassian.net/browse/CITM-133","CITM1-96","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CITM1-96","Story","CSI Watchdog Elit","CITM-110","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CITM-132","https://onemain.atlassian.net/browse/CITM-132","CITM1-97","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CITM1-97","Story","Akamai","CITM-110","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CITM-131","https://onemain.atlassian.net/browse/CITM-131","CITM1-98","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CITM1-98","Story","Bankruptcy Notification Center (BNC)","CITM-110","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CITM-130","https://onemain.atlassian.net/browse/CITM-130","CITM1-99","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CITM1-99","Story","Bedrock","CITM-110","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CITM-129","https://onemain.atlassian.net/browse/CITM-129","CITM1-100","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CITM1-100","Story","AtData","CITM-110","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CITM-128","https://onemain.atlassian.net/browse/CITM-128","CITM1-101","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CITM1-101","Story","Central Account Lookup (CAL)","CITM-110","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CITM-127","https://onemain.atlassian.net/browse/CITM-127","CITM1-102","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CITM1-102","Story","Branch Kiosk","CITM-110","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CITM-126","https://onemain.atlassian.net/browse/CITM-126","CITM1-103","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CITM1-103","Story","DataStage","CITM-110","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CITM-125","https://onemain.atlassian.net/browse/CITM-125","CITM1-104","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CITM1-104","Story","Venture (A/K/A Taylor Communications)","CITM-110","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CITM-124","https://onemain.atlassian.net/browse/CITM-124","CITM1-105","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CITM1-105","Story","Paymentech Online","CITM-110","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CITM-123","https://onemain.atlassian.net/browse/CITM-123","CITM1-106","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CITM1-106","Story","Adobe Campaign Standard (ACS)","CITM-110","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CITM-122","https://onemain.atlassian.net/browse/CITM-122","CITM1-107","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CITM1-107","Story","Acxiom","CITM-110","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CITM-121","https://onemain.atlassian.net/browse/CITM-121","CITM1-108","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CITM1-108","Story","Symantec Enterprise Vault Discovery Accelerator Client 10.0.4.1121","CITM-110","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CITM-120","https://onemain.atlassian.net/browse/CITM-120","CITM1-109","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CITM1-109","Story","TransUnion","CITM-110","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CITM-119","https://onemain.atlassian.net/browse/CITM-119","CITM1-110","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CITM1-110","Story","Plaid","CITM-110","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CITM-118","https://onemain.atlassian.net/browse/CITM-118","CITM1-111","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CITM1-111","Story","Experian Strategy Manager","CITM-110","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
