"SourceKey","TargetKey"
"CNE-1291","CNE1-123"
"CNE-1402","CNE1-13"
"CNE-1409","CNE1-124"
"CNE-1434","CNE1-8"
"CNE-1632","CNE1-11"
"CNE-1643","CNE1-125"
"CNE-1651","CNE1-92"
"CNE-1654","CNE1-126"
"CNE-1658","CNE1-250"
"CNE-1659","CNE1-251"
"CNE-1660","CNE1-252"
"CNE-1697","CNE1-269"
"CNE-1698","CNE1-253"
"CNE-1754","CNE1-127"
"CNE-1756","CNE1-128"
"CNE-1757","CNE1-129"
"CNE-1759","CNE1-131"
"CNE-1760","CNE1-254"
"CNE-1761","CNE1-255"
"CNE-1762","CNE1-256"
"CNE-1763","CNE1-257"
"CNE-1764","CNE1-142"
"CNE-1765","CNE1-258"
"CNE-1766","CNE1-259"
"CNE-1767","CNE1-260"
"CNE-1768","CNE1-261"
"CNE-1775","CNE1-132"
"CNE-1776","CNE1-133"
"CNE-1779","CNE1-134"
"CNE-1780","CNE1-268"
"CNE-1781","CNE1-262"
"CNE-1782","CNE1-263"
"CNE-1783","CNE1-264"
"CNE-1784","CNE1-135"
"CNE-1826","CNE1-137"
"CNE-1870","CNE1-138"
"CNE-1958","CNE1-139"
"CNE-2066","CNE1-23"
"CNE-2201","CNE1-51"
"CNE-2221","CNE1-140"
"CNE-2226","CNE1-141"
"CNE-2384","CNE1-18"
"CNE-2392","CNE1-119"
"CNE-2393","CNE1-130"
"CNE-2394","CNE1-118"
"CNE-2395","CNE1-104"
"CNE-2396","CNE1-94"
"CNE-2397","CNE1-95"
"CNE-2398","CNE1-96"
"CNE-2399","CNE1-97"
"CNE-2400","CNE1-98"
"CNE-2401","CNE1-99"
"CNE-2402","CNE1-100"
"CNE-2403","CNE1-101"
"CNE-2404","CNE1-102"
"CNE-2405","CNE1-103"
"CNE-2406","CNE1-105"
"CNE-2407","CNE1-116"
"CNE-2454","CNE1-2"
"CNE-2457","CNE1-106"
"CNE-2470","CNE1-136"
"CNE-2487","CNE1-107"
"CNE-2608","CNE1-7"
"CNE-2628","CNE1-108"
"CNE-2647","CNE1-109"
"CNE-2668","CNE1-110"
"CNE-2670","CNE1-17"
"CNE-2672","CNE1-54"
"CNE-2681","CNE1-111"
"CNE-2702","CNE1-53"
"CNE-2707","CNE1-52"
"CNE-2731","CNE1-4"
"CNE-2734","CNE1-19"
"CNE-2737","CNE1-112"
"CNE-2738","CNE1-113"
"CNE-2739","CNE1-114"
"CNE-2741","CNE1-115"
"CNE-2743","CNE1-232"
"CNE-2762","CNE1-204"
"CNE-2764","CNE1-214"
"CNE-2782","CNE1-216"
"CNE-2783","CNE1-226"
"CNE-2852","CNE1-227"
"CNE-2856","CNE1-238"
"CNE-2874","CNE1-225"
"CNE-2875","CNE1-21"
"CNE-2878","CNE1-224"
"CNE-2934","CNE1-223"
"CNE-2995","CNE1-222"
"CNE-3003","CNE1-221"
"CNE-3004","CNE1-220"
"CNE-3005","CNE1-219"
"CNE-3012","CNE1-217"
"CNE-3021","CNE1-213"
"CNE-3062","CNE1-212"
"CNE-3070","CNE1-211"
"CNE-3071","CNE1-209"
"CNE-3072","CNE1-208"
"CNE-3103","CNE1-207"
"CNE-3104","CNE1-247"
"CNE-3105","CNE1-249"
"CNE-3106","CNE1-248"
"CNE-3107","CNE1-244"
"CNE-3108","CNE1-6"
"CNE-3109","CNE1-246"
"CNE-3110","CNE1-245"
"CNE-3111","CNE1-242"
"CNE-3112","CNE1-241"
"CNE-3113","CNE1-236"
"CNE-3115","CNE1-235"
"CNE-3116","CNE1-234"
"CNE-3117","CNE1-233"
"CNE-3119","CNE1-144"
"CNE-3120","CNE1-145"
"CNE-3122","CNE1-168"
"CNE-3123","CNE1-143"
"CNE-3134","CNE1-34"
"CNE-3145","CNE1-68"
"CNE-3158","CNE1-67"
"CNE-3159","CNE1-66"
"CNE-3166","CNE1-65"
"CNE-3167","CNE1-64"
"CNE-3168","CNE1-62"
"CNE-3173","CNE1-63"
"CNE-3175","CNE1-69"
"CNE-3189","CNE1-61"
"CNE-3197","CNE1-56"
"CNE-3204","CNE1-5"
"CNE-3205","CNE1-59"
"CNE-3206","CNE1-58"
"CNE-3207","CNE1-70"
"CNE-3208","CNE1-90"
"CNE-3209","CNE1-72"
"CNE-3210","CNE1-86"
"CNE-3211","CNE1-85"
"CNE-3212","CNE1-84"
"CNE-3213","CNE1-83"
"CNE-3214","CNE1-82"
"CNE-3215","CNE1-81"
"CNE-3216","CNE1-80"
"CNE-3223","CNE1-78"
"CNE-3227","CNE1-77"
"CNE-3228","CNE1-76"
"CNE-3230","CNE1-73"
"CNE-3235","CNE1-74"
"CNE-3238","CNE1-75"
"CNE-3246","CNE1-35"
"CNE-3254","CNE1-31"
"CNE-3256","CNE1-29"
"CNE-3258","CNE1-79"
"CNE-3262","CNE1-30"
"CNE-3263","CNE1-45"
"CNE-3269","CNE1-87"
"CNE-3277","CNE1-88"
"CNE-3280","CNE1-89"
"CNE-3283","CNE1-33"
"CNE-3286","CNE1-71"
"CNE-3290","CNE1-57"
"CNE-3297","CNE1-60"
"CNE-3298","CNE1-36"
"CNE-3303","CNE1-41"
"CNE-3304","CNE1-44"
"CNE-3314","CNE1-47"
"CNE-3321","CNE1-117"
"CNE-3322","CNE1-93"
"CNE-3323","CNE1-120"
"CNE-3324","CNE1-121"
"CNE-3326","CNE1-122"
"CNE-3327","CNE1-1"
"CNE-3328","CNE1-15"
"CNE-3329","CNE1-14"
"CNE-3330","CNE1-22"
