"SourceKey","TargetKey"
"CNSS-1749","CNSS1-6"
"CNSS-1968","CNSS1-5"
"CNSS-1969","CNSS1-1"
"CNSS-1974","CNSS1-4"
"CNSS-1975","CNSS1-3"
"CNSS-1976","CNSS1-2"
"CNSS-1981","CNSS1-18"
"CNSS-1983","CNSS1-23"
"CNSS-2005","CNSS1-13"
"CNSS-2093","CNSS1-15"
"CNSS-2094","CNSS1-25"
"CNSS-2095","CNSS1-19"
"CNSS-2096","CNSS1-16"
"CNSS-2097","CNSS1-24"
"CNSS-2098","CNSS1-33"
"CNSS-2099","CNSS1-45"
"CNSS-2100","CNSS1-36"
"CNSS-2101","CNSS1-35"
"CNSS-2102","CNSS1-34"
"CNSS-2103","CNSS1-40"
"CNSS-2104","CNSS1-31"
"CNSS-2105","CNSS1-32"
"CNSS-2106","CNSS1-29"
"CNSS-2107","CNSS1-30"
"CNSS-2108","CNSS1-28"
"CNSS-2218","CNSS1-7"
"CNSS-2220","CNSS1-8"
"CNSS-2228","CNSS1-10"
"CNSS-2229","CNSS1-78"
"CNSS-2230","CNSS1-83"
"CNSS-2231","CNSS1-90"
"CNSS-2232","CNSS1-86"
"CNSS-2233","CNSS1-91"
"CNSS-2234","CNSS1-81"
"CNSS-2235","CNSS1-79"
"CNSS-2236","CNSS1-87"
"CNSS-2237","CNSS1-84"
"CNSS-2238","CNSS1-88"
"CNSS-2239","CNSS1-85"
"CNSS-2240","CNSS1-89"
"CNSS-2241","CNSS1-37"
"CNSS-2243","CNSS1-38"
"CNSS-2247","CNSS1-27"
"CNSS-2248","CNSS1-82"
"CNSS-2249","CNSS1-93"
"CNSS-2251","CNSS1-17"
"CNSS-2252","CNSS1-92"
"CNSS-2254","CNSS1-39"
"CNSS-2255","CNSS1-50"
"CNSS-2256","CNSS1-42"
"CNSS-2257","CNSS1-49"
"CNSS-2258","CNSS1-41"
"CNSS-2259","CNSS1-48"
"CNSS-2260","CNSS1-47"
"CNSS-2261","CNSS1-46"
"CNSS-2262","CNSS1-44"
"CNSS-2263","CNSS1-11"
"CNSS-2269","CNSS1-9"
"CNSS-2280","CNSS1-43"
"CNSS-2285","CNSS1-77"
"CNSS-2286","CNSS1-26"
"CNSS-2287","CNSS1-76"
"CNSS-2288","CNSS1-75"
"CNSS-2289","CNSS1-74"
"CNSS-2290","CNSS1-73"
"CNSS-2291","CNSS1-14"
"CNSS-2292","CNSS1-72"
"CNSS-2293","CNSS1-71"
"CNSS-2294","CNSS1-70"
"CNSS-2295","CNSS1-69"
"CNSS-2296","CNSS1-68"
"CNSS-2297","CNSS1-80"
"CNSS-2298","CNSS1-95"
"CNSS-2299","CNSS1-109"
"CNSS-2300","CNSS1-96"
"CNSS-2301","CNSS1-122"
"CNSS-2302","CNSS1-121"
"CNSS-2303","CNSS1-120"
"CNSS-2304","CNSS1-119"
"CNSS-2305","CNSS1-118"
"CNSS-2306","CNSS1-117"
"CNSS-2307","CNSS1-116"
"CNSS-2308","CNSS1-115"
"CNSS-2309","CNSS1-20"
"CNSS-2310","CNSS1-114"
"CNSS-2311","CNSS1-113"
"CNSS-2312","CNSS1-112"
"CNSS-2313","CNSS1-111"
"CNSS-2314","CNSS1-123"
"CNSS-2315","CNSS1-110"
"CNSS-2316","CNSS1-108"
"CNSS-2317","CNSS1-107"
"CNSS-2318","CNSS1-106"
"CNSS-2319","CNSS1-66"
"CNSS-2320","CNSS1-105"
"CNSS-2321","CNSS1-104"
"CNSS-2322","CNSS1-103"
"CNSS-2323","CNSS1-102"
"CNSS-2324","CNSS1-101"
"CNSS-2325","CNSS1-100"
"CNSS-2326","CNSS1-99"
"CNSS-2327","CNSS1-98"
"CNSS-2328","CNSS1-97"
"CNSS-2329","CNSS1-67"
"CNSS-2330","CNSS1-94"
"CNSS-2331","CNSS1-65"
"CNSS-2332","CNSS1-58"
"CNSS-2333","CNSS1-57"
"CNSS-2334","CNSS1-51"
"CNSS-2335","CNSS1-52"
"CNSS-2336","CNSS1-53"
"CNSS-2337","CNSS1-54"
"CNSS-2338","CNSS1-55"
"CNSS-2339","CNSS1-56"
"CNSS-2340","CNSS1-22"
"CNSS-2341","CNSS1-64"
"CNSS-2342","CNSS1-60"
"CNSS-2343","CNSS1-61"
"CNSS-2344","CNSS1-59"
"CNSS-2345","CNSS1-62"
"CNSS-2346","CNSS1-63"
"CNSS-2347","CNSS1-12"
"CNSS-2348","CNSS1-21"
