"Source Issue","Source URL","Target Issue","Target URL","Issue Type","Summary","Missing Parent","Status","Reason","Action Required"
"CNSS-2269","https://onemain.atlassian.net/browse/CNSS-2269","CNSS1-9","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CNSS1-9","Epic","Baltimore Site Migration","CNSS-2268","In Progress","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CNSS-2347","https://onemain.atlassian.net/browse/CNSS-2347","CNSS1-12","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CNSS1-12","Epic","Change Management","CNSS-2268","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CNSS-2005","https://onemain.atlassian.net/browse/CNSS-2005","CNSS1-13","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CNSS1-13","Epic","Operationalize AWS firewall creation with VPC creation to reduce technical debt","CNSS-1712","In Progress","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CNSS-2093","https://onemain.atlassian.net/browse/CNSS-2093","CNSS1-15","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CNSS1-15","Story","Identify and Mitigate Project Risks","CNSS-2067","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CNSS-2096","https://onemain.atlassian.net/browse/CNSS-2096","CNSS1-16","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CNSS1-16","Story","Document and Implement Change Orders","CNSS-2067","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CNSS-2095","https://onemain.atlassian.net/browse/CNSS-2095","CNSS1-19","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CNSS1-19","Story","Monitor and Report on Project Progress","CNSS-2067","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CNSS-2097","https://onemain.atlassian.net/browse/CNSS-2097","CNSS1-24","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CNSS1-24","Story","Handle Change Requests via Change Orders","CNSS-2067","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CNSS-2094","https://onemain.atlassian.net/browse/CNSS-2094","CNSS1-25","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CNSS1-25","Story","Ensure Adherence to Project Schedule and Milestones","CNSS-2067","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CNSS-2108","https://onemain.atlassian.net/browse/CNSS-2108","CNSS1-28","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CNSS1-28","Story","Post-Closure Support Handover","CNSS-2068","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CNSS-2106","https://onemain.atlassian.net/browse/CNSS-2106","CNSS1-29","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CNSS1-29","Story","Conduct Formal Project Closure Meeting","CNSS-2068","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CNSS-2107","https://onemain.atlassian.net/browse/CNSS-2107","CNSS1-30","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CNSS1-30","Story","Milestone Sign-Off Documentation","CNSS-2068","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CNSS-2104","https://onemain.atlassian.net/browse/CNSS-2104","CNSS1-31","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CNSS1-31","Story","Finalize Project Deliverables","CNSS-2068","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CNSS-2105","https://onemain.atlassian.net/browse/CNSS-2105","CNSS1-32","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CNSS1-32","Story","Invoice Preparation for Each Milestone","CNSS-2068","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CNSS-2098","https://onemain.atlassian.net/browse/CNSS-2098","CNSS1-33","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CNSS1-33","Story","Develop and Deliver Regular Project Status Reports","CNSS-2067","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CNSS-2102","https://onemain.atlassian.net/browse/CNSS-2102","CNSS1-34","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CNSS1-34","Story","Track and Report on Project Risks","CNSS-2067","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
