"SourceKey","TargetKey"
"COMMS-1001","COMMS1-12"
"COMMS-1005","COMMS1-58"
"COMMS-1031","COMMS1-109"
"COMMS-1035","COMMS1-57"
"COMMS-1040","COMMS1-125"
"COMMS-1045","COMMS1-8"
"COMMS-1047","COMMS1-7"
"COMMS-1061","COMMS1-5"
"COMMS-1073","COMMS1-52"
"COMMS-1076","COMMS1-53"
"COMMS-1085","COMMS1-251"
"COMMS-1109","COMMS1-32"
"COMMS-1111","COMMS1-23"
"COMMS-1116","COMMS1-59"
"COMMS-1118","COMMS1-40"
"COMMS-1120","COMMS1-2"
"COMMS-1141","COMMS1-241"
"COMMS-1142","COMMS1-240"
"COMMS-1146","COMMS1-3"
"COMMS-1152","COMMS1-81"
"COMMS-1177","COMMS1-341"
"COMMS-1187","COMMS1-239"
"COMMS-1188","COMMS1-54"
"COMMS-1191","COMMS1-50"
"COMMS-1194","COMMS1-43"
"COMMS-1211","COMMS1-238"
"COMMS-1212","COMMS1-44"
"COMMS-1213","COMMS1-49"
"COMMS-1214","COMMS1-237"
"COMMS-1219","COMMS1-46"
"COMMS-1240","COMMS1-90"
"COMMS-1241","COMMS1-91"
"COMMS-1242","COMMS1-92"
"COMMS-1280","COMMS1-93"
"COMMS-1297","COMMS1-4"
"COMMS-1300","COMMS1-236"
"COMMS-1335","COMMS1-45"
"COMMS-1464","COMMS1-56"
"COMMS-1465","COMMS1-252"
"COMMS-1479","COMMS1-10"
"COMMS-1493","COMMS1-87"
"COMMS-1557","COMMS1-20"
"COMMS-1576","COMMS1-16"
"COMMS-1599","COMMS1-61"
"COMMS-1630","COMMS1-258"
"COMMS-1681","COMMS1-21"
"COMMS-1884","COMMS1-350"
"COMMS-208","COMMS1-80"
"COMMS-2115","COMMS1-249"
"COMMS-2224","COMMS1-248"
"COMMS-2290","COMMS1-230"
"COMMS-2291","COMMS1-229"
"COMMS-2292","COMMS1-228"
"COMMS-2293","COMMS1-227"
"COMMS-2296","COMMS1-226"
"COMMS-2297","COMMS1-225"
"COMMS-2300","COMMS1-231"
"COMMS-2301","COMMS1-224"
"COMMS-2326","COMMS1-222"
"COMMS-2355","COMMS1-221"
"COMMS-236","COMMS1-121"
"COMMS-2397","COMMS1-220"
"COMMS-241","COMMS1-122"
"COMMS-242","COMMS1-97"
"COMMS-2424","COMMS1-219"
"COMMS-2427","COMMS1-218"
"COMMS-2428","COMMS1-223"
"COMMS-2431","COMMS1-232"
"COMMS-2446","COMMS1-233"
"COMMS-2475","COMMS1-259"
"COMMS-258","COMMS1-345"
"COMMS-2598","COMMS1-247"
"COMMS-2604","COMMS1-246"
"COMMS-2626","COMMS1-245"
"COMMS-2627","COMMS1-244"
"COMMS-2634","COMMS1-243"
"COMMS-2637","COMMS1-242"
"COMMS-2668","COMMS1-321"
"COMMS-2669","COMMS1-322"
"COMMS-2682","COMMS1-349"
"COMMS-2684","COMMS1-325"
"COMMS-2685","COMMS1-324"
"COMMS-2686","COMMS1-328"
"COMMS-2688","COMMS1-261"
"COMMS-2691","COMMS1-303"
"COMMS-2731","COMMS1-260"
"COMMS-2757","COMMS1-234"
"COMMS-2763","COMMS1-197"
"COMMS-2768","COMMS1-195"
"COMMS-2771","COMMS1-194"
"COMMS-2773","COMMS1-193"
"COMMS-2789","COMMS1-192"
"COMMS-2808","COMMS1-191"
"COMMS-2809","COMMS1-190"
"COMMS-283","COMMS1-113"
"COMMS-284","COMMS1-112"
"COMMS-285","COMMS1-111"
"COMMS-286","COMMS1-117"
"COMMS-287","COMMS1-119"
"COMMS-288","COMMS1-116"
"COMMS-289","COMMS1-118"
"COMMS-290","COMMS1-115"
"COMMS-2901","COMMS1-198"
"COMMS-2907","COMMS1-320"
"COMMS-291","COMMS1-114"
"COMMS-293","COMMS1-120"
"COMMS-2947","COMMS1-189"
"COMMS-295","COMMS1-70"
"COMMS-2958","COMMS1-188"
"COMMS-2965","COMMS1-348"
"COMMS-2967","COMMS1-187"
"COMMS-297","COMMS1-82"
"COMMS-298","COMMS1-94"
"COMMS-2983","COMMS1-196"
"COMMS-299","COMMS1-69"
"COMMS-3","COMMS1-39"
"COMMS-300","COMMS1-68"
"COMMS-3012","COMMS1-186"
"COMMS-3027","COMMS1-185"
"COMMS-3028","COMMS1-184"
"COMMS-3029","COMMS1-183"
"COMMS-3030","COMMS1-182"
"COMMS-3031","COMMS1-181"
"COMMS-3032","COMMS1-181"
"COMMS-3033","COMMS1-185"
"COMMS-3034","COMMS1-209"
"COMMS-3037","COMMS1-200"
"COMMS-3038","COMMS1-215"
"COMMS-3045","COMMS1-214"
"COMMS-3054","COMMS1-213"
"COMMS-3056","COMMS1-213"
"COMMS-3058","COMMS1-209"
"COMMS-3059","COMMS1-212"
"COMMS-313","COMMS1-88"
"COMMS-319","COMMS1-79"
"COMMS-320","COMMS1-75"
"COMMS-321","COMMS1-76"
"COMMS-3210","COMMS1-211"
"COMMS-3218","COMMS1-83"
"COMMS-3219","COMMS1-84"
"COMMS-3222","COMMS1-210"
"COMMS-3232","COMMS1-207"
"COMMS-3244","COMMS1-206"
"COMMS-3246","COMMS1-205"
"COMMS-3249","COMMS1-204"
"COMMS-3255","COMMS1-203"
"COMMS-3261","COMMS1-179"
"COMMS-3268","COMMS1-202"
"COMMS-3269","COMMS1-201"
"COMMS-3272","COMMS1-180"
"COMMS-3279","COMMS1-199"
"COMMS-3284","COMMS1-26"
"COMMS-3294","COMMS1-158"
"COMMS-3298","COMMS1-28"
"COMMS-3306","COMMS1-157"
"COMMS-3319","COMMS1-155"
"COMMS-3331","COMMS1-208"
"COMMS-3332","COMMS1-208"
"COMMS-3333","COMMS1-208"
"COMMS-3334","COMMS1-154"
"COMMS-3367","COMMS1-29"
"COMMS-3386","COMMS1-30"
"COMMS-3390","COMMS1-151"
"COMMS-3391","COMMS1-149"
"COMMS-3392","COMMS1-160"
"COMMS-3393","COMMS1-169"
"COMMS-3394","COMMS1-161"
"COMMS-3395","COMMS1-162"
"COMMS-3396","COMMS1-176"
"COMMS-3399","COMMS1-175"
"COMMS-3400","COMMS1-174"
"COMMS-3402","COMMS1-172"
"COMMS-3403","COMMS1-171"
"COMMS-3415","COMMS1-177"
"COMMS-3416","COMMS1-351"
"COMMS-3479","COMMS1-167"
"COMMS-3484","COMMS1-166"
"COMMS-3488","COMMS1-165"
"COMMS-3495","COMMS1-163"
"COMMS-3499","COMMS1-152"
"COMMS-3511","COMMS1-164"
"COMMS-3516","COMMS1-173"
"COMMS-3520","COMMS1-150"
"COMMS-3524","COMMS1-153"
"COMMS-3525","COMMS1-216"
"COMMS-3526","COMMS1-257"
"COMMS-3528","COMMS1-217"
