"Source Issue","Source URL","Target Issue","Target URL","Issue Type","Summary","Missing Parent","Status","Reason","Action Required"
"COMMS-1194","https://onemain.atlassian.net/browse/COMMS-1194","COMMS1-43","https://onemainfinancial-migrationsandbox.atlassian.net/browse/COMMS1-43","Epic","Legal/CA Privacy Policy Page - Migration to Contentful","COMMS-1024","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"COMMS-1212","https://onemain.atlassian.net/browse/COMMS-1212","COMMS1-44","https://onemainfinancial-migrationsandbox.atlassian.net/browse/COMMS1-44","Epic","Legal/e-consent Page - Migration to Contentful","COMMS-1024","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"COMMS-1335","https://onemain.atlassian.net/browse/COMMS-1335","COMMS1-45","https://onemainfinancial-migrationsandbox.atlassian.net/browse/COMMS1-45","Epic","Building initial foundation for Brand Refresh Initiative","COMMS-1223","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"COMMS-1219","https://onemain.atlassian.net/browse/COMMS-1219","COMMS1-46","https://onemainfinancial-migrationsandbox.atlassian.net/browse/COMMS1-46","Epic","Moving 7day Page to Contentful","COMMS-1024","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"COMMS-760","https://onemain.atlassian.net/browse/COMMS-760","COMMS1-47","https://onemainfinancial-migrationsandbox.atlassian.net/browse/COMMS1-47","Epic","Move leadership page to Contentful","COMMS-1024","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"COMMS-939","https://onemain.atlassian.net/browse/COMMS-939","COMMS1-48","https://onemainfinancial-migrationsandbox.atlassian.net/browse/COMMS1-48","Epic","Inform customers of latest mobile app features","COMMS-1025","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"COMMS-1213","https://onemain.atlassian.net/browse/COMMS-1213","COMMS1-49","https://onemainfinancial-migrationsandbox.atlassian.net/browse/COMMS1-49","Epic","Legal/loan fees Page - Migration to Contentful","COMMS-1024","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"COMMS-1191","https://onemain.atlassian.net/browse/COMMS-1191","COMMS1-50","https://onemainfinancial-migrationsandbox.atlassian.net/browse/COMMS1-50","Epic","Legal Home Page - Migration to Contentful","COMMS-1024","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"COMMS-967","https://onemain.atlassian.net/browse/COMMS-967","COMMS1-51","https://onemainfinancial-migrationsandbox.atlassian.net/browse/COMMS1-51","Epic","Legal/Disclosures - Webpage Update","COMMS-1025","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"COMMS-1073","https://onemain.atlassian.net/browse/COMMS-1073","COMMS1-52","https://onemainfinancial-migrationsandbox.atlassian.net/browse/COMMS1-52","Epic","Redesign Home Page based on New Brand guidelines","COMMS-1223","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
