"Source Issue","Source URL","Target Issue","Target URL","Link Type","Direction","Linked To (Not Migrated)","Linked To URL","Reason","Action Required"
"COMMS-3732","https://onemain.atlassian.net/browse/COMMS-3732","COMMS1-327","https://onemainfinancial-migrationsandbox.atlassian.net/browse/COMMS1-327","Cloners","inward","COMMS-3996","https://onemain.atlassian.net/browse/COMMS-3996","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"COMMS-3740","https://onemain.atlassian.net/browse/COMMS-3740","COMMS1-335","https://onemainfinancial-migrationsandbox.atlassian.net/browse/COMMS1-335","Cloners","outward","COMMS-3739","https://onemain.atlassian.net/browse/COMMS-3739","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"COMMS-3391","https://onemain.atlassian.net/browse/COMMS-3391","COMMS1-149","https://onemainfinancial-migrationsandbox.atlassian.net/browse/COMMS1-149","Cloners","outward","COMMS-3390","https://onemain.atlassian.net/browse/COMMS-3390","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"COMMS-3392","https://onemain.atlassian.net/browse/COMMS-3392","COMMS1-160","https://onemainfinancial-migrationsandbox.atlassian.net/browse/COMMS1-160","Cloners","outward","COMMS-3391","https://onemain.atlassian.net/browse/COMMS-3391","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"COMMS-3393","https://onemain.atlassian.net/browse/COMMS-3393","COMMS1-169","https://onemainfinancial-migrationsandbox.atlassian.net/browse/COMMS1-169","Cloners","outward","COMMS-3392","https://onemain.atlassian.net/browse/COMMS-3392","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"COMMS-3394","https://onemain.atlassian.net/browse/COMMS-3394","COMMS1-161","https://onemainfinancial-migrationsandbox.atlassian.net/browse/COMMS1-161","Cloners","outward","COMMS-3393","https://onemain.atlassian.net/browse/COMMS-3393","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"COMMS-3395","https://onemain.atlassian.net/browse/COMMS-3395","COMMS1-162","https://onemainfinancial-migrationsandbox.atlassian.net/browse/COMMS1-162","Cloners","outward","COMMS-3394","https://onemain.atlassian.net/browse/COMMS-3394","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"COMMS-3396","https://onemain.atlassian.net/browse/COMMS-3396","COMMS1-176","https://onemainfinancial-migrationsandbox.atlassian.net/browse/COMMS1-176","Cloners","outward","COMMS-3390","https://onemain.atlassian.net/browse/COMMS-3390","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"COMMS-3484","https://onemain.atlassian.net/browse/COMMS-3484","COMMS1-166","https://onemainfinancial-migrationsandbox.atlassian.net/browse/COMMS1-166","Relates","outward","COMMS-3726","https://onemain.atlassian.net/browse/COMMS-3726","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"COMMS-1681","https://onemain.atlassian.net/browse/COMMS-1681","COMMS1-21","https://onemainfinancial-migrationsandbox.atlassian.net/browse/COMMS1-21","Cloners","outward","COMMS-1557","https://onemain.atlassian.net/browse/COMMS-1557","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"COMMS-1241","https://onemain.atlassian.net/browse/COMMS-1241","COMMS1-91","https://onemainfinancial-migrationsandbox.atlassian.net/browse/COMMS1-91","Cloners","outward","COMMS-1240","https://onemain.atlassian.net/browse/COMMS-1240","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"COMMS-1242","https://onemain.atlassian.net/browse/COMMS-1242","COMMS1-92","https://onemainfinancial-migrationsandbox.atlassian.net/browse/COMMS1-92","Cloners","outward","COMMS-1241","https://onemain.atlassian.net/browse/COMMS-1241","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"COMMS-425","https://onemain.atlassian.net/browse/COMMS-425","COMMS1-148","https://onemainfinancial-migrationsandbox.atlassian.net/browse/COMMS1-148","Cloners","outward","COMMS-298","https://onemain.atlassian.net/browse/COMMS-298","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"COMMS-433","https://onemain.atlassian.net/browse/COMMS-433","COMMS1-129","https://onemainfinancial-migrationsandbox.atlassian.net/browse/COMMS1-129","Cloners","outward","COMMS-366","https://onemain.atlassian.net/browse/COMMS-366","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"COMMS-446","https://onemain.atlassian.net/browse/COMMS-446","COMMS1-147","https://onemainfinancial-migrationsandbox.atlassian.net/browse/COMMS1-147","Cloners","outward","COMMS-391","https://onemain.atlassian.net/browse/COMMS-391","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"COMMS-774","https://onemain.atlassian.net/browse/COMMS-774","COMMS1-99","https://onemainfinancial-migrationsandbox.atlassian.net/browse/COMMS1-99","Cloners","outward","COMMS-767","https://onemain.atlassian.net/browse/COMMS-767","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"COMMS-775","https://onemain.atlassian.net/browse/COMMS-775","COMMS1-100","https://onemainfinancial-migrationsandbox.atlassian.net/browse/COMMS1-100","Cloners","outward","COMMS-768","https://onemain.atlassian.net/browse/COMMS-768","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"COMMS-783","https://onemain.atlassian.net/browse/COMMS-783","COMMS1-102","https://onemainfinancial-migrationsandbox.atlassian.net/browse/COMMS1-102","Cloners","outward","COMMS-782","https://onemain.atlassian.net/browse/COMMS-782","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"COMMS-827","https://onemain.atlassian.net/browse/COMMS-827","COMMS1-106","https://onemainfinancial-migrationsandbox.atlassian.net/browse/COMMS1-106","Cloners","outward","COMMS-823","https://onemain.atlassian.net/browse/COMMS-823","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"COMMS-1035","https://onemain.atlassian.net/browse/COMMS-1035","COMMS1-57","https://onemainfinancial-migrationsandbox.atlassian.net/browse/COMMS1-57","Cloners","inward","COMMS-1219","https://onemain.atlassian.net/browse/COMMS-1219","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"COMMS-285","https://onemain.atlassian.net/browse/COMMS-285","COMMS1-111","https://onemainfinancial-migrationsandbox.atlassian.net/browse/COMMS1-111","Cloners","inward","COMMS-424","https://onemain.atlassian.net/browse/COMMS-424","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"COMMS-284","https://onemain.atlassian.net/browse/COMMS-284","COMMS1-112","https://onemainfinancial-migrationsandbox.atlassian.net/browse/COMMS1-112","Cloners","inward","COMMS-423","https://onemain.atlassian.net/browse/COMMS-423","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"COMMS-283","https://onemain.atlassian.net/browse/COMMS-283","COMMS1-113","https://onemainfinancial-migrationsandbox.atlassian.net/browse/COMMS1-113","Cloners","inward","COMMS-421","https://onemain.atlassian.net/browse/COMMS-421","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"COMMS-291","https://onemain.atlassian.net/browse/COMMS-291","COMMS1-114","https://onemainfinancial-migrationsandbox.atlassian.net/browse/COMMS1-114","Cloners","inward","COMMS-422","https://onemain.atlassian.net/browse/COMMS-422","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"COMMS-290","https://onemain.atlassian.net/browse/COMMS-290","COMMS1-115","https://onemainfinancial-migrationsandbox.atlassian.net/browse/COMMS1-115","Cloners","inward","COMMS-420","https://onemain.atlassian.net/browse/COMMS-420","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"COMMS-288","https://onemain.atlassian.net/browse/COMMS-288","COMMS1-116","https://onemainfinancial-migrationsandbox.atlassian.net/browse/COMMS1-116","Cloners","inward","COMMS-419","https://onemain.atlassian.net/browse/COMMS-419","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"COMMS-287","https://onemain.atlassian.net/browse/COMMS-287","COMMS1-119","https://onemainfinancial-migrationsandbox.atlassian.net/browse/COMMS1-119","Cloners","inward","COMMS-430","https://onemain.atlassian.net/browse/COMMS-430","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"COMMS-293","https://onemain.atlassian.net/browse/COMMS-293","COMMS1-120","https://onemainfinancial-migrationsandbox.atlassian.net/browse/COMMS1-120","Cloners","inward","COMMS-434","https://onemain.atlassian.net/browse/COMMS-434","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
