"SourceKey","TargetKey"
"COMP-1","COMP1-25"
"COMP-139","COMP1-34"
"COMP-140","COMP1-12"
"COMP-158","COMP1-11"
"COMP-178","COMP1-10"
"COMP-179","COMP1-13"
"COMP-18","COMP1-18"
"COMP-2","COMP1-31"
"COMP-20","COMP1-17"
"COMP-216","COMP1-8"
"COMP-22","COMP1-59"
"COMP-237","COMP1-7"
"COMP-239","COMP1-22"
"COMP-240","COMP1-30"
"COMP-244","COMP1-21"
"COMP-245","COMP1-21"
"COMP-283","COMP1-2"
"COMP-310","COMP1-29"
"COMP-318","COMP1-24"
"COMP-320","COMP1-33"
"COMP-351","COMP1-9"
"COMP-362","COMP1-14"
"COMP-363","COMP1-46"
"COMP-369","COMP1-36"
"COMP-370","COMP1-1"
"COMP-373","COMP1-56"
"COMP-374","COMP1-23"
"COMP-375","COMP1-3"
"COMP-378","COMP1-4"
"COMP-379","COMP1-55"
"COMP-414","COMP1-5"
"COMP-416","COMP1-6"
"COMP-417","COMP1-54"
"COMP-434","COMP1-10"
"COMP-441","COMP1-53"
"COMP-447","COMP1-26"
"COMP-491","COMP1-37"
"COMP-492","COMP1-20"
"COMP-493","COMP1-20"
"COMP-496","COMP1-16"
"COMP-499","COMP1-38"
"COMP-500","COMP1-40"
"COMP-501","COMP1-39"
"COMP-502","COMP1-52"
"COMP-503","COMP1-51"
"COMP-504","COMP1-50"
"COMP-505","COMP1-49"
"COMP-506","COMP1-48"
"COMP-507","COMP1-57"
"COMP-508","COMP1-47"
"COMP-509","COMP1-45"
"COMP-510","COMP1-44"
"COMP-511","COMP1-43"
"COMP-512","COMP1-42"
"COMP-513","COMP1-41"
"COMP-514","COMP1-35"
"COMP-515","COMP1-35"
"COMP-516","COMP1-84"
"COMP-517","COMP1-85"
"COMP-518","COMP1-86"
"COMP-519","COMP1-88"
"COMP-520","COMP1-89"
"COMP-521","COMP1-90"
"COMP-522","COMP1-91"
"COMP-523","COMP1-92"
"COMP-524","COMP1-94"
"COMP-525","COMP1-95"
"COMP-526","COMP1-95"
"COMP-527","COMP1-95"
"COMP-528","COMP1-95"
"COMP-529","COMP1-95"
"COMP-530","COMP1-96"
"COMP-531","COMP1-97"
"COMP-532","COMP1-97"
"COMP-533","COMP1-98"
"COMP-534","COMP1-83"
"COMP-535","COMP1-93"
"COMP-536","COMP1-81"
"COMP-537","COMP1-82"
"COMP-538","COMP1-61"
"COMP-55","COMP1-32"
"COMP-557","COMP1-72"
"COMP-558","COMP1-70"
"COMP-559","COMP1-71"
"COMP-56","COMP1-110"
"COMP-560","COMP1-69"
"COMP-561","COMP1-68"
"COMP-562","COMP1-67"
"COMP-563","COMP1-66"
"COMP-564","COMP1-73"
"COMP-565","COMP1-65"
"COMP-566","COMP1-64"
"COMP-567","COMP1-63"
"COMP-568","COMP1-60"
"COMP-569","COMP1-62"
"COMP-57","COMP1-109"
"COMP-58","COMP1-108"
"COMP-586","COMP1-74"
"COMP-589","COMP1-102"
"COMP-59","COMP1-107"
"COMP-60","COMP1-106"
"COMP-600","COMP1-75"
"COMP-603","COMP1-76"
"COMP-604","COMP1-77"
"COMP-605","COMP1-78"
"COMP-606","COMP1-79"
"COMP-608","COMP1-99"
"COMP-609","COMP1-104"
"COMP-610","COMP1-100"
"COMP-611","COMP1-101"
"COMP-612","COMP1-103"
"COMP-613","COMP1-105"
"COMP-619","COMP1-104"
"COMP-620","COMP1-100"
"COMP-621","COMP1-101"
"COMP-622","COMP1-103"
"COMP-623","COMP1-105"
"COMP-624","COMP1-104"
"COMP-625","COMP1-100"
"COMP-626","COMP1-101"
"COMP-627","COMP1-103"
"COMP-628","COMP1-105"
"COMP-629","COMP1-87"
"COMP-630","COMP1-104"
"COMP-631","COMP1-100"
"COMP-632","COMP1-101"
"COMP-633","COMP1-103"
"COMP-634","COMP1-105"
"COMP-635","COMP1-58"
"COMP-636","COMP1-28"
"COMP-637","COMP1-28"
"COMP-638","COMP1-104"
"COMP-639","COMP1-100"
"COMP-640","COMP1-101"
"COMP-641","COMP1-103"
"COMP-642","COMP1-105"
"COMP-648","COMP1-104"
"COMP-649","COMP1-100"
"COMP-650","COMP1-101"
"COMP-651","COMP1-103"
"COMP-652","COMP1-105"
"COMP-653","COMP1-104"
"COMP-654","COMP1-100"
"COMP-655","COMP1-101"
"COMP-656","COMP1-103"
"COMP-657","COMP1-105"
"COMP-658","COMP1-104"
"COMP-659","COMP1-100"
"COMP-660","COMP1-101"
"COMP-661","COMP1-103"
"COMP-662","COMP1-105"
"COMP-663","COMP1-104"
"COMP-664","COMP1-100"
"COMP-665","COMP1-101"
"COMP-666","COMP1-103"
"COMP-667","COMP1-105"
"COMP-82","COMP1-15"
"COMP-85","COMP1-19"
