"SourceKey","TargetKey"
"COPS-10","COPS1-39"
"COPS-100","COPS1-281"
"COPS-101","COPS1-230"
"COPS-1019","COPS1-145"
"COPS-102","COPS1-91"
"COPS-103","COPS1-28"
"COPS-1066","COPS1-155"
"COPS-108","COPS1-247"
"COPS-109","COPS1-228"
"COPS-11","COPS1-40"
"COPS-110","COPS1-168"
"COPS-111","COPS1-166"
"COPS-112","COPS1-169"
"COPS-1132","COPS1-153"
"COPS-12","COPS1-196"
"COPS-122","COPS1-84"
"COPS-123","COPS1-174"
"COPS-124","COPS1-178"
"COPS-13","COPS1-41"
"COPS-132","COPS1-72"
"COPS-133","COPS1-70"
"COPS-1356","COPS1-164"
"COPS-14","COPS1-43"
"COPS-141","COPS1-58"
"COPS-142","COPS1-68"
"COPS-146","COPS1-50"
"COPS-1555","COPS1-157"
"COPS-16","COPS1-44"
"COPS-17","COPS1-194"
"COPS-174","COPS1-55"
"COPS-175","COPS1-184"
"COPS-1757","COPS1-158"
"COPS-1759","COPS1-160"
"COPS-176","COPS1-182"
"COPS-1765","COPS1-161"
"COPS-177","COPS1-181"
"COPS-178","COPS1-177"
"COPS-179","COPS1-172"
"COPS-1790","COPS1-162"
"COPS-1796","COPS1-163"
"COPS-18","COPS1-206"
"COPS-180","COPS1-176"
"COPS-181","COPS1-175"
"COPS-182","COPS1-173"
"COPS-183","COPS1-185"
"COPS-1832","COPS1-143"
"COPS-1834","COPS1-141"
"COPS-1839","COPS1-63"
"COPS-1840","COPS1-62"
"COPS-1841","COPS1-61"
"COPS-1842","COPS1-60"
"COPS-1843","COPS1-59"
"COPS-1846","COPS1-114"
"COPS-1849","COPS1-115"
"COPS-1872","COPS1-116"
"COPS-1875","COPS1-319"
"COPS-1876","COPS1-311"
"COPS-1877","COPS1-317"
"COPS-1887","COPS1-127"
"COPS-1891","COPS1-128"
"COPS-1892","COPS1-129"
"COPS-1893","COPS1-316"
"COPS-1894","COPS1-315"
"COPS-1895","COPS1-314"
"COPS-1896","COPS1-313"
"COPS-1897","COPS1-312"
"COPS-19","COPS1-4"
"COPS-1902","COPS1-142"
"COPS-1927","COPS1-118"
"COPS-193","COPS1-90"
"COPS-1931","COPS1-139"
"COPS-1932","COPS1-138"
"COPS-1939","COPS1-137"
"COPS-194","COPS1-21"
"COPS-1943","COPS1-136"
"COPS-1946","COPS1-135"
"COPS-1948","COPS1-310"
"COPS-1949","COPS1-309"
"COPS-195","COPS1-20"
"COPS-1950","COPS1-308"
"COPS-1951","COPS1-307"
"COPS-1952","COPS1-134"
"COPS-1955","COPS1-133"
"COPS-1958","COPS1-132"
"COPS-1959","COPS1-131"
"COPS-196","COPS1-188"
"COPS-1960","COPS1-130"
"COPS-1961","COPS1-306"
"COPS-1962","COPS1-305"
"COPS-1963","COPS1-304"
"COPS-1964","COPS1-318"
"COPS-1968","COPS1-321"
"COPS-197","COPS1-210"
"COPS-1970","COPS1-324"
