"SourceKey","TargetKey"
"COR-10","COR1-10"
"COR-100","COR1-85"
"COR-13","COR1-29"
"COR-136","COR1-84"
"COR-137","COR1-82"
"COR-139","COR1-80"
"COR-14","COR1-23"
"COR-15","COR1-22"
"COR-16","COR1-21"
"COR-166","COR1-7"
"COR-19","COR1-78"
"COR-194","COR1-32"
"COR-195","COR1-33"
"COR-196","COR1-34"
"COR-198","COR1-87"
"COR-199","COR1-88"
"COR-2","COR1-11"
"COR-20","COR1-72"
"COR-201","COR1-89"
"COR-204","COR1-104"
"COR-209","COR1-103"
"COR-210","COR1-102"
"COR-211","COR1-101"
"COR-212","COR1-100"
"COR-213","COR1-99"
"COR-214","COR1-90"
"COR-215","COR1-71"
"COR-216","COR1-48"
"COR-217","COR1-63"
"COR-221","COR1-62"
"COR-222","COR1-68"
"COR-224","COR1-61"
"COR-229","COR1-41"
"COR-23","COR1-73"
"COR-231","COR1-30"
"COR-24","COR1-74"
"COR-252","COR1-122"
"COR-254","COR1-121"
"COR-257","COR1-119"
"COR-259","COR1-118"
"COR-26","COR1-75"
"COR-264","COR1-9"
"COR-270","COR1-107"
"COR-271","COR1-108"
"COR-273","COR1-4"
"COR-274","COR1-54"
"COR-275","COR1-55"
"COR-279","COR1-56"
"COR-28","COR1-76"
"COR-280","COR1-57"
"COR-281","COR1-58"
"COR-284","COR1-59"
"COR-287","COR1-15"
"COR-288","COR1-16"
"COR-289","COR1-17"
"COR-291","COR1-18"
"COR-298","COR1-64"
"COR-300","COR1-65"
"COR-301","COR1-66"
"COR-303","COR1-67"
"COR-304","COR1-52"
"COR-308","COR1-53"
"COR-31","COR1-20"
"COR-310","COR1-60"
"COR-313","COR1-51"
"COR-314","COR1-43"
"COR-315","COR1-37"
"COR-316","COR1-38"
"COR-317","COR1-39"
"COR-318","COR1-40"
"COR-319","COR1-50"
"COR-32","COR1-77"
"COR-320","COR1-50"
"COR-321","COR1-42"
"COR-322","COR1-44"
"COR-325","COR1-35"
"COR-33","COR1-79"
"COR-39","COR1-8"
"COR-4","COR1-13"
"COR-455","COR1-45"
"COR-456","COR1-46"
"COR-458","COR1-47"
"COR-459","COR1-2"
"COR-465","COR1-69"
"COR-47","COR1-19"
"COR-470","COR1-105"
"COR-481","COR1-27"
"COR-488","COR1-70"
"COR-49","COR1-86"
"COR-490","COR1-24"
"COR-491","COR1-91"
"COR-492","COR1-92"
"COR-493","COR1-93"
"COR-495","COR1-94"
"COR-496","COR1-95"
"COR-497","COR1-96"
"COR-50","COR1-6"
"COR-52","COR1-81"
"COR-56","COR1-5"
"COR-564","COR1-98"
"COR-62","COR1-83"
"COR-628","COR1-120"
"COR-634","COR1-12"
"COR-635","COR1-116"
"COR-636","COR1-115"
"COR-637","COR1-114"
"COR-638","COR1-113"
"COR-639","COR1-112"
"COR-640","COR1-111"
"COR-670","COR1-117"
"COR-7","COR1-3"
"COR-701","COR1-36"
"COR-71","COR1-1"
"COR-75","COR1-14"
"COR-760","COR1-110"
"COR-8","COR1-26"
"COR-84","COR1-25"
"COR-90","COR1-28"
"COR-97","COR1-31"
"COR-99","COR1-106"
