"SourceKey","TargetKey"
"CRSK-1014","CRSK1-13"
"CRSK-1015","CRSK1-207"
"CRSK-102","CRSK1-187"
"CRSK-1029","CRSK1-140"
"CRSK-1030","CRSK1-194"
"CRSK-1036","CRSK1-143"
"CRSK-1037","CRSK1-193"
"CRSK-1049","CRSK1-10"
"CRSK-1050","CRSK1-10"
"CRSK-106","CRSK1-208"
"CRSK-1064","CRSK1-17"
"CRSK-1065","CRSK1-17"
"CRSK-1071","CRSK1-16"
"CRSK-1072","CRSK1-279"
"CRSK-1073","CRSK1-14"
"CRSK-1074","CRSK1-14"
"CRSK-1077","CRSK1-12"
"CRSK-1078","CRSK1-12"
"CRSK-111","CRSK1-209"
"CRSK-1115","CRSK1-93"
"CRSK-1134","CRSK1-73"
"CRSK-1137","CRSK1-11"
"CRSK-1140","CRSK1-8"
"CRSK-115","CRSK1-184"
"CRSK-1160","CRSK1-7"
"CRSK-1161","CRSK1-7"
"CRSK-117","CRSK1-188"
"CRSK-1170","CRSK1-78"
"CRSK-1192","CRSK1-4"
"CRSK-1193","CRSK1-4"
"CRSK-1253","CRSK1-79"
"CRSK-1308","CRSK1-80"
"CRSK-1309","CRSK1-275"
"CRSK-1321","CRSK1-83"
"CRSK-1322","CRSK1-83"
"CRSK-1330","CRSK1-86"
"CRSK-1331","CRSK1-86"
"CRSK-1335","CRSK1-276"
"CRSK-1339","CRSK1-277"
"CRSK-1358","CRSK1-278"
"CRSK-1359","CRSK1-91"
"CRSK-1361","CRSK1-91"
"CRSK-1376","CRSK1-51"
"CRSK-1377","CRSK1-51"
"CRSK-1399","CRSK1-213"
"CRSK-1400","CRSK1-158"
"CRSK-1404","CRSK1-159"
"CRSK-1448","CRSK1-160"
"CRSK-1449","CRSK1-90"
"CRSK-1454","CRSK1-87"
"CRSK-1466","CRSK1-164"
"CRSK-1467","CRSK1-166"
"CRSK-1491","CRSK1-169"
"CRSK-1506","CRSK1-171"
"CRSK-1529","CRSK1-172"
"CRSK-1550","CRSK1-175"
"CRSK-1565","CRSK1-148"
"CRSK-159","CRSK1-134"
"CRSK-1598","CRSK1-107"
"CRSK-160","CRSK1-133"
"CRSK-161","CRSK1-132"
"CRSK-162","CRSK1-131"
"CRSK-163","CRSK1-130"
"CRSK-164","CRSK1-137"
"CRSK-1657","CRSK1-145"
"CRSK-168","CRSK1-202"
"CRSK-1702","CRSK1-107"
"CRSK-1705","CRSK1-100"
"CRSK-172","CRSK1-191"
"CRSK-1732","CRSK1-150"
"CRSK-1733","CRSK1-151"
"CRSK-1734","CRSK1-152"
