"Source Issue","Source URL","Target Issue","Target URL","Issue Type","Summary","Missing Parent","Status","Reason","Action Required"
"CRSK-1036","https://onemain.atlassian.net/browse/CRSK-1036","CRSK1-143","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CRSK1-143","Task","2023 Credit Risk Support February","CRSK-873","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CRSK-810","https://onemain.atlassian.net/browse/CRSK-810","CRSK1-144","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CRSK1-144","Task","2022 Credit Risk Support November","CRSK-33","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CRSK-1668","https://onemain.atlassian.net/browse/CRSK-1668",,"https://onemainfinancial-migrationsandbox.atlassian.net/browse/","Task","Brightway Affiliates to go through Weathervane Credit box","CRSK-1667","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CRSK-1670","https://onemain.atlassian.net/browse/CRSK-1670",,"https://onemainfinancial-migrationsandbox.atlassian.net/browse/","Task","creating new IPQ attributes in SF and copying to DB2","CRSK-1669","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CRSK-1732","https://onemain.atlassian.net/browse/CRSK-1732","CRSK1-150","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CRSK1-150","Task","Assess data formats involved (JSON/Java Objects/Bytestream)","CRSK-1698","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CRSK-1733","https://onemain.atlassian.net/browse/CRSK-1733","CRSK1-151","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CRSK1-151","Task","Wrapper Architecture","CRSK-1698","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CRSK-1734","https://onemain.atlassian.net/browse/CRSK-1734","CRSK1-152","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CRSK1-152","Task","Development of JSON to Java Object Conversion Module","CRSK-1698","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CRSK-1735","https://onemain.atlassian.net/browse/CRSK-1735","CRSK1-153","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CRSK1-153","Task","SM Sandbox version - Test adding Object PDMs ","CRSK-1698","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CRSK-1400","https://onemain.atlassian.net/browse/CRSK-1400","CRSK1-158","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CRSK1-158","Task","2023 Credit Risk Support August","CRSK-1398","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CRSK-1466","https://onemain.atlassian.net/browse/CRSK-1466","CRSK1-164","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CRSK1-164","Task","2023 Credit Risk Testing Support September","CRSK-1398","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CRSK-1467","https://onemain.atlassian.net/browse/CRSK-1467","CRSK1-166","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CRSK1-166","Task","2023 Credit Risk Support September","CRSK-1398","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CRSK-1736","https://onemain.atlassian.net/browse/CRSK-1736","CRSK1-167","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CRSK1-167","Task","Wrapper - Integrate with ACAPS and SM in sandbox capacity","CRSK-1698","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CRSK-1491","https://onemain.atlassian.net/browse/CRSK-1491","CRSK1-169","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CRSK1-169","Task","2023 Credit Risk Testing October","CRSK-1398","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
