"SourceKey","TargetKey"
"CTGR-125","CTGR1-13"
"CTGR-139","CTGR1-15"
"CTGR-140","CTGR1-23"
"CTGR-154","CTGR1-1"
"CTGR-155","CTGR1-53"
"CTGR-159","CTGR1-84"
"CTGR-182","CTGR1-20"
"CTGR-183","CTGR1-83"
"CTGR-184","CTGR1-82"
"CTGR-185","CTGR1-44"
"CTGR-187","CTGR1-41"
"CTGR-193","CTGR1-18"
"CTGR-199","CTGR1-6"
"CTGR-200","CTGR1-184"
"CTGR-201","CTGR1-27"
"CTGR-203","CTGR1-73"
"CTGR-204","CTGR1-157"
"CTGR-205","CTGR1-65"
"CTGR-206","CTGR1-158"
"CTGR-207","CTGR1-67"
"CTGR-211","CTGR1-159"
"CTGR-212","CTGR1-160"
"CTGR-215","CTGR1-25"
"CTGR-216","CTGR1-161"
"CTGR-217","CTGR1-73"
"CTGR-218","CTGR1-162"
"CTGR-219","CTGR1-163"
"CTGR-22","CTGR1-59"
"CTGR-220","CTGR1-65"
"CTGR-221","CTGR1-66"
"CTGR-222","CTGR1-67"
"CTGR-223","CTGR1-64"
"CTGR-226","CTGR1-54"
"CTGR-231","CTGR1-73"
"CTGR-232","CTGR1-164"
"CTGR-233","CTGR1-165"
"CTGR-234","CTGR1-65"
"CTGR-235","CTGR1-113"
"CTGR-236","CTGR1-123"
"CTGR-237","CTGR1-67"
"CTGR-238","CTGR1-24"
"CTGR-239","CTGR1-72"
"CTGR-240","CTGR1-73"
"CTGR-241","CTGR1-74"
"CTGR-242","CTGR1-75"
"CTGR-243","CTGR1-65"
"CTGR-244","CTGR1-66"
"CTGR-245","CTGR1-67"
"CTGR-246","CTGR1-64"
"CTGR-247","CTGR1-61"
"CTGR-248","CTGR1-76"
"CTGR-249","CTGR1-73"
"CTGR-250","CTGR1-70"
"CTGR-251","CTGR1-77"
"CTGR-252","CTGR1-65"
"CTGR-253","CTGR1-66"
"CTGR-254","CTGR1-67"
"CTGR-255","CTGR1-78"
"CTGR-256","CTGR1-40"
"CTGR-257","CTGR1-71"
"CTGR-258","CTGR1-79"
"CTGR-259","CTGR1-69"
"CTGR-26","CTGR1-5"
"CTGR-260","CTGR1-68"
"CTGR-261","CTGR1-65"
"CTGR-262","CTGR1-66"
