"Source Issue","Source URL","Target Issue","Target URL","Issue Type","Summary","Missing Parent","Status","Reason","Action Required"
"CTGR-238","https://onemain.atlassian.net/browse/CTGR-238","CTGR1-24","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CTGR1-24","Epic","Create the View Allocation Screen (Admin)","CTGR-122","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CTGR-215","https://onemain.atlassian.net/browse/CTGR-215","CTGR1-25","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CTGR1-25","Epic","Create the Assign Accounts Screen (Admin)","CTGR-122","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CTGR-627","https://onemain.atlassian.net/browse/CTGR-627","CTGR1-26","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CTGR1-26","Epic","Offer Management (Strategy)","CTGR-122","In Progress","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CTGR-201","https://onemain.atlassian.net/browse/CTGR-201","CTGR1-27","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CTGR1-27","Epic","Create the Home Screen ","CTGR-122","In Progress","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CTGR-684","https://onemain.atlassian.net/browse/CTGR-684","CTGR1-28","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CTGR1-28","Epic","DSA - POC - To connect Score Online directly from Digital Application","CTGR-122","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CTGR-361","https://onemain.atlassian.net/browse/CTGR-361","CTGR1-29","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CTGR1-29","Epic","DSA - Strategy/Offer Flexibility","CTGR-122","In Progress","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CTGR-265","https://onemain.atlassian.net/browse/CTGR-265","CTGR1-30","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CTGR1-30","Epic","Events for reporting and analytics","CTGR-122","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CTGR-374","https://onemain.atlassian.net/browse/CTGR-374","CTGR1-31","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CTGR1-31","Epic","DSA - miscellaneous requirements","CTGR-122","In Progress","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CTGR-208","https://onemain.atlassian.net/browse/CTGR-208",,"https://onemainfinancial-migrationsandbox.atlassian.net/browse/","Epic","Uploading POA Documents ","CTGR-122","In Progress","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CTGR-344","https://onemain.atlassian.net/browse/CTGR-344","CTGR1-33","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CTGR1-33","Epic","Create Alerts ","CTGR-122","In Progress","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CTGR-348","https://onemain.atlassian.net/browse/CTGR-348","CTGR1-35","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CTGR1-35","Epic","Adding History of Settlement offers and decisions","CTGR-122","In Progress","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CTGR-352","https://onemain.atlassian.net/browse/CTGR-352","CTGR1-36","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CTGR1-36","Epic","Enhance the Settlement/Account Summary screen","CTGR-122","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CTGR-677","https://onemain.atlassian.net/browse/CTGR-677","CTGR1-37","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CTGR1-37","Epic","DSA - Portal Cleanup Activity","CTGR-122","In Progress","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CTGR-405","https://onemain.atlassian.net/browse/CTGR-405","CTGR1-38","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CTGR1-38","Epic","Create the new DSA Agency Modal","CTGR-122","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CTGR-285","https://onemain.atlassian.net/browse/CTGR-285","CTGR1-39","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CTGR1-39","Epic","UX DSA Portal ","CTGR-122","In Progress","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CTGR-256","https://onemain.atlassian.net/browse/CTGR-256","CTGR1-40","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CTGR1-40","Epic","Create the Team Member Listing Screen (Admin)","CTGR-122","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CTGR-187","https://onemain.atlassian.net/browse/CTGR-187","CTGR1-41","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CTGR1-41","Epic","Create the new ""Create Schedule"" Modal","CTGR-122","In Progress","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CTGR-415","https://onemain.atlassian.net/browse/CTGR-415","CTGR1-42","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CTGR1-42","Epic","DSA - Build the Account Info section and its Modal screens","CTGR-122","In Progress","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CTGR-185","https://onemain.atlassian.net/browse/CTGR-185","CTGR1-44","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CTGR1-44","Epic","DSA - Monitoring ","CTGR-122","In Progress","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CTGR-703","https://onemain.atlassian.net/browse/CTGR-703","CTGR1-46","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CTGR1-46","Epic","DSAP - Create Reports ","CTGR-122","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CTGR-463","https://onemain.atlassian.net/browse/CTGR-463","CTGR1-47","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CTGR1-47","Epic","DSA - A3P Screen ","CTGR-122","In Progress","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
