"Type","Name","Value","Details","Timestamp"
"Summary","Source Components Found","9","Components found in source project","2025-10-16 16:06:26"
"Summary","Labels Captured","1","Unique labels found in source issues","2025-10-16 16:06:26"
"Summary","Components Created","10","Total components created in target","2025-10-16 16:06:26"
"Summary","Created From Source","9","Components copied from source project","2025-10-16 16:06:26"
"Summary","Created From Labels","1","Components created from label names","2025-10-16 16:06:26"
"Summary","Existing Components","0","Components that already existed","2025-10-16 16:06:26"
"Summary","Failed Components","0","Components that failed to create","2025-10-16 16:06:26"
"Component","Product - Auto-Direct","15724","Created from SourceComponent","2025-10-16 16:06:26"
"Component","Product - Auto-Indirect","15725","Created from SourceComponent","2025-10-16 16:06:26"
"Component","Product - BA/DSA","15726","Created from SourceComponent","2025-10-16 16:06:26"
"Component","Product - Collection","15727","Created from SourceComponent","2025-10-16 16:06:26"
"Component","Product - Core","15728","Created from SourceComponent","2025-10-16 16:06:26"
"Component","Product - Core/Auto-Direct","15729","Created from SourceComponent","2025-10-16 16:06:26"
"Component","Product - Marketing","15730","Created from SourceComponent","2025-10-16 16:06:26"
"Component","Product - Others","15731","Created from SourceComponent","2025-10-16 16:06:26"
"Component","Product - POS","15732","Created from SourceComponent","2025-10-16 16:06:26"
"Component","Pricing_Strategy","15733","Created from Label","2025-10-16 16:06:26"
"Label","Pricing_Strategy","1","Used in 1 issues","2025-10-16 16:06:26"
"Step","Step Start Time","2025-10-16 16:06:15","Step execution started","2025-10-16 16:06:15"
"Step","Step End Time","2025-10-16 16:06:26","Step execution completed","2025-10-16 16:06:26"
