"Type","Name","Value","Details","Timestamp"
"Summary","Export Scope","UNRESOLVED","Scope of issues exported","2025-10-16 16:06:59"
"Summary","Total Issues Exported","6","Total number of issues exported","2025-10-16 16:06:59"
"Summary","Key to ID Mappings","6","Issue key to ID mappings created","2025-10-16 16:06:59"
"Summary","Include Closed Issues","False","Whether closed issues were included","2025-10-16 16:06:59"
"Summary","Include Sub-tasks","True","Whether sub-tasks were included","2025-10-16 16:06:59"
"Issue Type","Task","5","Count of issues by type","2025-10-16 16:06:59"
"Issue Type","Epic","1","Count of issues by type","2025-10-16 16:06:59"
"Status","Ready for Work","2","Count of issues by status","2025-10-16 16:06:59"
"Status","In Progress","4","Count of issues by status","2025-10-16 16:06:59"
"File","Export File","source_issues_export.json","Main export file path","2025-10-16 16:06:59"
"File","Mapping File","key_to_id_mapping.json","Key to ID mapping file path","2025-10-16 16:06:59"
"Step","Step Start Time","2025-10-16 16:06:56","Step execution started","2025-10-16 16:06:56"
"Step","Step End Time","2025-10-16 16:06:59","Step execution completed","2025-10-16 16:06:59"
