"Item","Value","Status","Details","Timestamp"
"Project Key","CWG1","EXISTS","Target project key (already exists)","2025-10-16 16:05:41"
"Project Name","CWGMonitoring Sandbox","EXISTS","Target project name (already exists)","2025-10-16 16:05:41"
"Project ID","10743","EXISTS","Target project ID (already exists)","2025-10-16 16:05:41"
"Configuration Template","STANDARD","APPLIED","Configuration template used","2025-10-16 16:05:41"
"Issue Type","Task","CONFIGURED","Issue type ID: 10035","2025-10-16 16:05:41"
"Issue Type","Sub-task","CONFIGURED","Issue type ID: 10036","2025-10-16 16:05:41"
"Issue Type","Story","CONFIGURED","Issue type ID: 10034","2025-10-16 16:05:41"
"Issue Type","Bug","CONFIGURED","Issue type ID: 10037","2025-10-16 16:05:41"
"Issue Type","Epic","CONFIGURED","Issue type ID: 10000","2025-10-16 16:05:41"
"Issue Type","Theme","CONFIGURED","Issue type ID: 10043","2025-10-16 16:05:41"
"Issue Type","Spike","CONFIGURED","Issue type ID: 10042","2025-10-16 16:05:41"
"Issue Type","Key Result","CONFIGURED","Issue type ID: 10039","2025-10-16 16:05:41"
"Issue Type","Objective","CONFIGURED","Issue type ID: 10041","2025-10-16 16:05:41"
"Issue Type","Initiative","CONFIGURED","Issue type ID: 10038","2025-10-16 16:05:41"
"Step Start Time","2025-10-16 16:05:40","INFO","Step execution started","2025-10-16 16:05:40"
"Step End Time","2025-10-16 16:05:41","INFO","Step execution completed","2025-10-16 16:05:41"
