"Type","Name","Value","Details","Timestamp"
"Summary","Source Components Found","2","Components found in source project","2025-10-16 15:54:16"
"Summary","Labels Captured","6","Unique labels found in source issues","2025-10-16 15:54:16"
"Summary","Components Created","8","Total components created in target","2025-10-16 15:54:16"
"Summary","Created From Source","2","Components copied from source project","2025-10-16 15:54:16"
"Summary","Created From Labels","6","Components created from label names","2025-10-16 15:54:16"
"Summary","Existing Components","0","Components that already existed","2025-10-16 15:54:16"
"Summary","Failed Components","0","Components that failed to create","2025-10-16 15:54:16"
"Component","Default","15716","Created from SourceComponent","2025-10-16 15:54:16"
"Component","z/OS DBA","15717","Created from SourceComponent","2025-10-16 15:54:16"
"Component","Manage_Credit","15718","Created from Label","2025-10-16 15:54:16"
"Component","DBA","15719","Created from Label","2025-10-16 15:54:16"
"Component","Deployment-to-task","15720","Created from Label","2025-10-16 15:54:16"
"Component","DB2_DBA","15721","Created from Label","2025-10-16 15:54:16"
"Component","DB2","15722","Created from Label","2025-10-16 15:54:16"
"Component","iseries","15723","Created from Label","2025-10-16 15:54:16"
"Label","DB2_DBA","32","Used in 32 issues","2025-10-16 15:54:16"
"Label","Manage_Credit","1","Used in 1 issues","2025-10-16 15:54:16"
"Label","DBA","1","Used in 1 issues","2025-10-16 15:54:16"
"Label","Deployment-to-task","1","Used in 1 issues","2025-10-16 15:54:16"
"Label","DB2","1","Used in 1 issues","2025-10-16 15:54:16"
"Label","iseries","1","Used in 1 issues","2025-10-16 15:54:16"
"Step","Step Start Time","2025-10-16 15:53:59","Step execution started","2025-10-16 15:53:59"
"Step","Step End Time","2025-10-16 15:54:16","Step execution completed","2025-10-16 15:54:16"
