"SourceKey","TargetKey","LinkType","Direction","LinkedSourceKey","Error","ErrorDetails","SourceURL","TargetURL"
"DARC-416","DARC1-40","Deployment","inward","DARC-437","Response status code does not indicate success: 404 (Not Found).","Not Found - Resource doesn't exist","https://onemain.atlassian.net/browse/DARC-416","https://onemainfinancial-migrationsandbox.atlassian.net/browse/DARC1-40"
"DARC-417","DARC1-27","Deployment","outward","DARC-442","Response status code does not indicate success: 404 (Not Found).","Not Found - Resource doesn't exist","https://onemain.atlassian.net/browse/DARC-417","https://onemainfinancial-migrationsandbox.atlassian.net/browse/DARC1-27"
"DARC-436","DARC1-32","Deployment","inward","DARC-437","Response status code does not indicate success: 404 (Not Found).","Not Found - Resource doesn't exist","https://onemain.atlassian.net/browse/DARC-436","https://onemainfinancial-migrationsandbox.atlassian.net/browse/DARC1-32"
"DARC-437","DARC1-26","Deployment","outward","DARC-436","Response status code does not indicate success: 404 (Not Found).","Not Found - Resource doesn't exist","https://onemain.atlassian.net/browse/DARC-437","https://onemainfinancial-migrationsandbox.atlassian.net/browse/DARC1-26"
"DARC-437","DARC1-26","Deployment","outward","DARC-439","Response status code does not indicate success: 404 (Not Found).","Not Found - Resource doesn't exist","https://onemain.atlassian.net/browse/DARC-437","https://onemainfinancial-migrationsandbox.atlassian.net/browse/DARC1-26"
"DARC-437","DARC1-26","Deployment","outward","DARC-416","Response status code does not indicate success: 404 (Not Found).","Not Found - Resource doesn't exist","https://onemain.atlassian.net/browse/DARC-437","https://onemainfinancial-migrationsandbox.atlassian.net/browse/DARC1-26"
"DARC-437","DARC1-26","Deployment","outward","DARC-440","Response status code does not indicate success: 404 (Not Found).","Not Found - Resource doesn't exist","https://onemain.atlassian.net/browse/DARC-437","https://onemainfinancial-migrationsandbox.atlassian.net/browse/DARC1-26"
"DARC-437","DARC1-26","Deployment","outward","DARC-438","Response status code does not indicate success: 404 (Not Found).","Not Found - Resource doesn't exist","https://onemain.atlassian.net/browse/DARC-437","https://onemainfinancial-migrationsandbox.atlassian.net/browse/DARC1-26"
"DARC-438","DARC1-31","Deployment","inward","DARC-437","Response status code does not indicate success: 404 (Not Found).","Not Found - Resource doesn't exist","https://onemain.atlassian.net/browse/DARC-438","https://onemainfinancial-migrationsandbox.atlassian.net/browse/DARC1-31"
"DARC-439","DARC1-30","Deployment","inward","DARC-437","Response status code does not indicate success: 404 (Not Found).","Not Found - Resource doesn't exist","https://onemain.atlassian.net/browse/DARC-439","https://onemainfinancial-migrationsandbox.atlassian.net/browse/DARC1-30"
"DARC-440","DARC1-33","Deployment","inward","DARC-437","Response status code does not indicate success: 404 (Not Found).","Not Found - Resource doesn't exist","https://onemain.atlassian.net/browse/DARC-440","https://onemainfinancial-migrationsandbox.atlassian.net/browse/DARC1-33"
"DARC-442","DARC1-28","Deployment","inward","DARC-417","Response status code does not indicate success: 404 (Not Found).","Not Found - Resource doesn't exist","https://onemain.atlassian.net/browse/DARC-442","https://onemainfinancial-migrationsandbox.atlassian.net/browse/DARC1-28"
