"Type","Name","Value","Details","Timestamp"
"Summary","Export Scope","UNRESOLVED","Scope of issues exported","2025-10-16 15:55:15"
"Summary","Total Issues Exported","35","Total number of issues exported","2025-10-16 15:55:15"
"Summary","Key to ID Mappings","35","Issue key to ID mappings created","2025-10-16 15:55:15"
"Summary","Include Closed Issues","False","Whether closed issues were included","2025-10-16 15:55:15"
"Summary","Include Sub-tasks","True","Whether sub-tasks were included","2025-10-16 15:55:15"
"Issue Type","Sub-task","14","Count of issues by type","2025-10-16 15:55:15"
"Issue Type","Task","15","Count of issues by type","2025-10-16 15:55:15"
"Issue Type","Epic","6","Count of issues by type","2025-10-16 15:55:15"
"Status","Testing","7","Count of issues by status","2025-10-16 15:55:15"
"Status","In Progress","10","Count of issues by status","2025-10-16 15:55:15"
"Status","Done","14","Count of issues by status","2025-10-16 15:55:15"
"Status","Ready for Work","1","Count of issues by status","2025-10-16 15:55:15"
"Status","Backlog","3","Count of issues by status","2025-10-16 15:55:15"
"File","Export File","source_issues_export.json","Main export file path","2025-10-16 15:55:15"
"File","Mapping File","key_to_id_mapping.json","Key to ID mapping file path","2025-10-16 15:55:15"
"Step","Step Start Time","2025-10-16 15:55:01","Step execution started","2025-10-16 15:55:01"
"Step","Step End Time","2025-10-16 15:55:15","Step execution completed","2025-10-16 15:55:15"
