"Source Issue","Source URL","Target Issue","Target URL","Issue Type","Summary","Missing Parent","Status","Reason","Action Required"
"DAWA-3355","https://onemain.atlassian.net/browse/DAWA-3355","DAWA1-82","https://onemainfinancial-migrationsandbox.atlassian.net/browse/DAWA1-82","Task","Transfer files located in ""/shared/SAS_DATA/RISK/JDM Table and Names/"" to the ""oedsd-dev-s3-omf-databricks-ue1"" bucket.","DAWA-1473","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"DAWA-3356","https://onemain.atlassian.net/browse/DAWA-3356","DAWA1-83","https://onemainfinancial-migrationsandbox.atlassian.net/browse/DAWA1-83","Task","Transfer files located in shared locations ""BI/Risk Production Reports/"" and ""SAS_DATA/RISK/CRM/""to the ""oedsd-dev-s3-omf-databricks-ue1"" bucket.","DAWA-1473","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"DAWA-3369","https://onemain.atlassian.net/browse/DAWA-3369","DAWA1-84","https://onemainfinancial-migrationsandbox.atlassian.net/browse/DAWA1-84","Task","Datasync tasks to import and export files from shared location ""Compliance\Balt\Compliance\CID""\","DAWA-1473","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"DAWA-3385","https://onemain.atlassian.net/browse/DAWA-3385","DAWA1-85","https://onemainfinancial-migrationsandbox.atlassian.net/browse/DAWA1-85","Task","POS esdl table changes- omf_lender_app_data and omf_lender_applicant","DAWA-1474","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"DAWA-4051","https://onemain.atlassian.net/browse/DAWA-4051","DAWA1-86","https://onemainfinancial-migrationsandbox.atlassian.net/browse/DAWA1-86","Task","Create 3 new agents for datasync tasks.","DAWA-3797","Ready for Work","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"DAWA-4291","https://onemain.atlassian.net/browse/DAWA-4291","DAWA1-87","https://onemainfinancial-migrationsandbox.atlassian.net/browse/DAWA1-87","Task","Datalake service account -Dev keypair testing","DAWA-3796","Blocked","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"DAWA-4308","https://onemain.atlassian.net/browse/DAWA-4308","DAWA1-88","https://onemainfinancial-migrationsandbox.atlassian.net/browse/DAWA1-88","Task","Datasync Task creation for Dialer and Uploads locations in icetst02 path","DAWA-3797","Blocked","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"DAWA-4426","https://onemain.atlassian.net/browse/DAWA-4426",,"https://onemainfinancial-migrationsandbox.atlassian.net/browse/","Task","CardinalGray Data - Create Iceberg table on prep layer data","DAWA-3797","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"DAWA-4427","https://onemain.atlassian.net/browse/DAWA-4427","DAWA1-90","https://onemainfinancial-migrationsandbox.atlassian.net/browse/DAWA1-90","Task","CardinalGray Data - Create Iceberg table on refined layer data","DAWA-3797","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"DAWA-493","https://onemain.atlassian.net/browse/DAWA-493","DAWA1-92","https://onemainfinancial-migrationsandbox.atlassian.net/browse/DAWA1-92","Task","January 2022 CLASS release Database Changes in Snowflake","DAWA-37","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
