"SourceKey","TargetKey"
"DBA-108","DBA1-49"
"DBA-1106","DBA1-30"
"DBA-1122","DBA1-31"
"DBA-1131","DBA1-33"
"DBA-1132","DBA1-38"
"DBA-1133","DBA1-39"
"DBA-1138","DBA1-35"
"DBA-118","DBA1-14"
"DBA-1241","DBA1-34"
"DBA-1242","DBA1-36"
"DBA-1257","DBA1-37"
"DBA-1335","DBA1-23"
"DBA-1418","DBA1-27"
"DBA-1446","DBA1-9"
"DBA-1456","DBA1-10"
"DBA-1543","DBA1-2"
"DBA-1552","DBA1-3"
"DBA-1598","DBA1-113"
"DBA-1614","DBA1-4"
"DBA-1635","DBA1-110"
"DBA-1652","DBA1-5"
"DBA-1653","DBA1-17"
"DBA-169","DBA1-48"
"DBA-170","DBA1-43"
"DBA-1710","DBA1-6"
"DBA-1761","DBA1-7"
"DBA-1765","DBA1-8"
"DBA-1767","DBA1-21"
"DBA-1778","DBA1-60"
"DBA-1779","DBA1-20"
"DBA-1791","DBA1-109"
"DBA-1797","DBA1-119"
"DBA-1798","DBA1-108"
"DBA-1801","DBA1-106"
"DBA-1802","DBA1-101"
"DBA-1803","DBA1-63"
"DBA-1806","DBA1-64"
"DBA-1810","DBA1-65"
"DBA-1815","DBA1-98"
"DBA-1816","DBA1-12"
"DBA-1818","DBA1-120"
"DBA-1820","DBA1-13"
"DBA-1822","DBA1-107"
"DBA-1823","DBA1-96"
"DBA-1824","DBA1-97"
"DBA-1825","DBA1-99"
"DBA-1827","DBA1-1"
"DBA-1829","DBA1-100"
"DBA-1837","DBA1-103"
"DBA-184","DBA1-42"
"DBA-1841","DBA1-70"
"DBA-1842","DBA1-71"
"DBA-1843","DBA1-77"
"DBA-1848","DBA1-73"
"DBA-1850","DBA1-74"
"DBA-1851","DBA1-75"
"DBA-1852","DBA1-65"
"DBA-1853","DBA1-65"
"DBA-1857","DBA1-72"
"DBA-1858","DBA1-78"
"DBA-1859","DBA1-76"
"DBA-1861","DBA1-62"
"DBA-1862","DBA1-69"
"DBA-1863","DBA1-61"
"DBA-1864","DBA1-52"
"DBA-1865","DBA1-46"
"DBA-1866","DBA1-41"
"DBA-1867","DBA1-40"
"DBA-1869","DBA1-94"
"DBA-1871","DBA1-105"
"DBA-1872","DBA1-50"
"DBA-1873","DBA1-45"
"DBA-1874","DBA1-47"
"DBA-1880","DBA1-44"
"DBA-1882","DBA1-15"
"DBA-1883","DBA1-111"
"DBA-1884","DBA1-59"
"DBA-1885","DBA1-112"
"DBA-1886","DBA1-51"
"DBA-1887","DBA1-51"
"DBA-1888","DBA1-51"
"DBA-1889","DBA1-51"
"DBA-1890","DBA1-51"
"DBA-1891","DBA1-114"
"DBA-1892","DBA1-112"
"DBA-1893","DBA1-54"
"DBA-1894","DBA1-55"
"DBA-1895","DBA1-56"
"DBA-1896","DBA1-115"
"DBA-1897","DBA1-116"
"DBA-1898","DBA1-57"
"DBA-1899","DBA1-117"
"DBA-1900","DBA1-58"
"DBA-197","DBA1-92"
"DBA-200","DBA1-91"
"DBA-201","DBA1-121"
"DBA-208","DBA1-90"
"DBA-21","DBA1-88"
"DBA-210","DBA1-87"
"DBA-212","DBA1-123"
"DBA-22","DBA1-80"
"DBA-227","DBA1-68"
"DBA-229","DBA1-18"
"DBA-233","DBA1-67"
"DBA-242","DBA1-66"
"DBA-266","DBA1-11"
"DBA-284","DBA1-83"
"DBA-285","DBA1-82"
"DBA-360","DBA1-16"
"DBA-385","DBA1-81"
"DBA-387","DBA1-79"
"DBA-406","DBA1-84"
"DBA-407","DBA1-85"
"DBA-408","DBA1-86"
"DBA-416","DBA1-104"
"DBA-44","DBA1-53"
"DBA-443","DBA1-95"
"DBA-450","DBA1-122"
"DBA-451","DBA1-124"
"DBA-464","DBA1-102"
"DBA-490","DBA1-32"
"DBA-503","DBA1-22"
"DBA-558","DBA1-24"
"DBA-67","DBA1-19"
"DBA-687","DBA1-25"
"DBA-793","DBA1-26"
"DBA-941","DBA1-28"
"DBA-956","DBA1-29"
"DBA-96","DBA1-93"
"DBA-979","DBA1-118"
"DBA-98","DBA1-89"
