"SourceKey","TargetKey"
"DCI-1006","DCI1-88"
"DCI-1177","DCI1-87"
"DCI-1195","DCI1-28"
"DCI-1205","DCI1-29"
"DCI-1206","DCI1-34"
"DCI-1220","DCI1-84"
"DCI-1241","DCI1-83"
"DCI-1242","DCI1-82"
"DCI-1243","DCI1-81"
"DCI-1245","DCI1-80"
"DCI-1246","DCI1-79"
"DCI-1373","DCI1-78"
"DCI-1395","DCI1-77"
"DCI-1406","DCI1-76"
"DCI-1407","DCI1-75"
"DCI-1408","DCI1-74"
"DCI-1463","DCI1-30"
"DCI-1488","DCI1-72"
"DCI-1545","DCI1-71"
"DCI-1564","DCI1-33"
"DCI-1583","DCI1-69"
"DCI-1619","DCI1-95"
"DCI-1636","DCI1-68"
"DCI-1639","DCI1-148"
"DCI-1682","DCI1-70"
"DCI-1692","DCI1-73"
"DCI-1693","DCI1-86"
"DCI-1694","DCI1-89"
"DCI-1704","DCI1-91"
"DCI-1705","DCI1-92"
"DCI-1706","DCI1-93"
"DCI-1725","DCI1-18"
"DCI-1727","DCI1-125"
"DCI-1732","DCI1-42"
"DCI-1735","DCI1-40"
"DCI-1768","DCI1-39"
"DCI-1769","DCI1-38"
"DCI-1775","DCI1-36"
"DCI-1797","DCI1-41"
"DCI-1811","DCI1-121"
"DCI-1812","DCI1-149"
"DCI-1813","DCI1-147"
"DCI-1814","DCI1-144"
"DCI-1815","DCI1-146"
"DCI-1866","DCI1-37"
"DCI-1878","DCI1-120"
"DCI-1885","DCI1-119"
"DCI-1891","DCI1-43"
"DCI-1892","DCI1-44"
"DCI-1911","DCI1-118"
"DCI-1918","DCI1-117"
"DCI-1929","DCI1-116"
"DCI-1954","DCI1-115"
"DCI-1958","DCI1-24"
"DCI-1959","DCI1-31"
"DCI-1973","DCI1-114"
"DCI-1989","DCI1-113"
"DCI-1995","DCI1-112"
"DCI-1997","DCI1-153"
"DCI-2027","DCI1-111"
"DCI-2028","DCI1-122"
"DCI-2033","DCI1-110"
"DCI-2042","DCI1-155"
"DCI-2047","DCI1-108"
"DCI-2050","DCI1-156"
"DCI-2051","DCI1-157"
"DCI-2053","DCI1-107"
"DCI-2054","DCI1-49"
"DCI-2055","DCI1-106"
"DCI-2061","DCI1-105"
"DCI-2068","DCI1-104"
"DCI-2069","DCI1-103"
"DCI-2072","DCI1-102"
"DCI-2073","DCI1-101"
"DCI-2074","DCI1-100"
"DCI-2075","DCI1-99"
"DCI-2076","DCI1-124"
"DCI-2083","DCI1-109"
"DCI-2084","DCI1-123"
"DCI-2085","DCI1-20"
"DCI-2090","DCI1-160"
"DCI-2091","DCI1-161"
"DCI-2092","DCI1-163"
"DCI-2093","DCI1-129"
"DCI-2095","DCI1-141"
"DCI-2101","DCI1-140"
"DCI-2108","DCI1-139"
"DCI-2115","DCI1-138"
"DCI-2117","DCI1-159"
"DCI-2122","DCI1-136"
"DCI-2123","DCI1-158"
"DCI-2131","DCI1-143"
"DCI-2132","DCI1-134"
"DCI-2145","DCI1-21"
"DCI-2151","DCI1-135"
"DCI-2153","DCI1-133"
"DCI-2155","DCI1-131"
"DCI-2157","DCI1-128"
"DCI-2163","DCI1-19"
"DCI-2167","DCI1-126"
"DCI-2179","DCI1-46"
"DCI-2181","DCI1-127"
"DCI-2182","DCI1-130"
"DCI-2184","DCI1-132"
"DCI-2187","DCI1-32"
"DCI-2188","DCI1-142"
"DCI-2189","DCI1-97"
"DCI-2193","DCI1-35"
"DCI-2194","DCI1-98"
"DCI-2195","DCI1-85"
"DCI-2196","DCI1-65"
"DCI-2199","DCI1-59"
"DCI-2200","DCI1-57"
"DCI-2201","DCI1-64"
"DCI-2202","DCI1-145"
"DCI-2203","DCI1-150"
"DCI-2204","DCI1-162"
"DCI-2205","DCI1-152"
"DCI-2206","DCI1-63"
"DCI-2207","DCI1-47"
"DCI-2208","DCI1-48"
"DCI-2210","DCI1-154"
"DCI-2211","DCI1-151"
"DCI-2213","DCI1-62"
"DCI-2214","DCI1-66"
"DCI-2216","DCI1-60"
"DCI-2217","DCI1-45"
"DCI-2220","DCI1-58"
"DCI-419","DCI1-22"
"DCI-429","DCI1-56"
"DCI-430","DCI1-55"
"DCI-434","DCI1-54"
"DCI-448","DCI1-53"
"DCI-464","DCI1-52"
"DCI-471","DCI1-51"
"DCI-487","DCI1-50"
"DCI-501","DCI1-61"
"DCI-777","DCI1-94"
"DCI-903","DCI1-23"
"DCI-906","DCI1-67"
"DCI-949","DCI1-25"
"DCI-969","DCI1-26"
"DCI-970","DCI1-90"
"DCI-981","DCI1-27"
