"SourceKey","TargetKey"
"DCOM-1000","DCOM1-78"
"DCOM-1002","DCOM1-80"
"DCOM-1003","DCOM1-79"
"DCOM-394","DCOM1-81"
"DCOM-395","DCOM1-61"
"DCOM-399","DCOM1-7"
"DCOM-407","DCOM1-60"
"DCOM-430","DCOM1-59"
"DCOM-449","DCOM1-9"
"DCOM-453","DCOM1-58"
"DCOM-515","DCOM1-57"
"DCOM-526","DCOM1-10"
"DCOM-528","DCOM1-11"
"DCOM-537","DCOM1-12"
"DCOM-566","DCOM1-5"
"DCOM-568","DCOM1-56"
"DCOM-571","DCOM1-2"
"DCOM-606","DCOM1-55"
"DCOM-649","DCOM1-54"
"DCOM-659","DCOM1-53"
"DCOM-660","DCOM1-52"
"DCOM-661","DCOM1-51"
"DCOM-662","DCOM1-50"
"DCOM-663","DCOM1-49"
"DCOM-664","DCOM1-48"
"DCOM-665","DCOM1-64"
"DCOM-666","DCOM1-62"
"DCOM-667","DCOM1-63"
"DCOM-669","DCOM1-71"
"DCOM-670","DCOM1-65"
"DCOM-689","DCOM1-74"
"DCOM-713","DCOM1-3"
"DCOM-727","DCOM1-73"
"DCOM-784","DCOM1-70"
"DCOM-788","DCOM1-69"
"DCOM-817","DCOM1-68"
"DCOM-847","DCOM1-8"
"DCOM-848","DCOM1-67"
"DCOM-849","DCOM1-66"
"DCOM-850","DCOM1-44"
"DCOM-851","DCOM1-47"
"DCOM-852","DCOM1-45"
"DCOM-870","DCOM1-4"
"DCOM-884","DCOM1-1"
"DCOM-890","DCOM1-6"
"DCOM-893","DCOM1-24"
"DCOM-897","DCOM1-23"
"DCOM-899","DCOM1-21"
"DCOM-90","DCOM1-18"
"DCOM-903","DCOM1-20"
"DCOM-904","DCOM1-19"
"DCOM-906","DCOM1-25"
"DCOM-907","DCOM1-17"
"DCOM-908","DCOM1-16"
"DCOM-909","DCOM1-75"
"DCOM-910","DCOM1-76"
"DCOM-911","DCOM1-77"
"DCOM-919","DCOM1-14"
"DCOM-921","DCOM1-15"
"DCOM-922","DCOM1-22"
"DCOM-923","DCOM1-26"
"DCOM-932","DCOM1-35"
"DCOM-955","DCOM1-28"
"DCOM-962","DCOM1-42"
"DCOM-963","DCOM1-41"
"DCOM-964","DCOM1-27"
"DCOM-966","DCOM1-40"
"DCOM-968","DCOM1-39"
"DCOM-974","DCOM1-38"
"DCOM-978","DCOM1-37"
"DCOM-979","DCOM1-43"
"DCOM-983","DCOM1-36"
"DCOM-984","DCOM1-34"
"DCOM-985","DCOM1-13"
"DCOM-988","DCOM1-33"
"DCOM-993","DCOM1-31"
"DCOM-995","DCOM1-30"
"DCOM-996","DCOM1-29"
"DCOM-997","DCOM1-46"
"DCOM-998","DCOM1-72"
"DCOM-999","DCOM1-32"
