"SourceKey","TargetKey"
"DE-1033","DE1-43"
"DE-1034","DE1-39"
"DE-1036","DE1-38"
"DE-111","DE1-149"
"DE-1113","DE1-37"
"DE-1122","DE1-222"
"DE-114","DE1-148"
"DE-115","DE1-147"
"DE-1181","DE1-36"
"DE-1219","DE1-14"
"DE-124","DE1-159"
"DE-126","DE1-109"
"DE-127","DE1-221"
"DE-1278","DE1-16"
"DE-132","DE1-106"
"DE-1322","DE1-249"
"DE-1343","DE1-79"
"DE-139","DE1-108"
"DE-1407","DE1-45"
"DE-1413","DE1-64"
"DE-1416","DE1-10"
"DE-142","DE1-113"
"DE-144","DE1-158"
"DE-1468","DE1-67"
"DE-147","DE1-110"
"DE-1480","DE1-44"
"DE-149","DE1-107"
"DE-1533","DE1-70"
"DE-1534","DE1-71"
"DE-1535","DE1-72"
"DE-1536","DE1-73"
"DE-1538","DE1-74"
"DE-1548","DE1-33"
"DE-155","DE1-144"
"DE-1552","DE1-32"
"DE-1553","DE1-31"
"DE-1554","DE1-245"
"DE-1556","DE1-30"
"DE-1558","DE1-75"
"DE-156","DE1-145"
"DE-1564","DE1-29"
"DE-1565","DE1-164"
"DE-1566","DE1-244"
"DE-1567","DE1-223"
"DE-1568","DE1-224"
"DE-157","DE1-104"
"DE-1573","DE1-12"
"DE-1575","DE1-63"
"DE-1582","DE1-225"
"DE-1584","DE1-226"
"DE-1586","DE1-227"
"DE-1588","DE1-228"
"DE-1590","DE1-229"
"DE-1592","DE1-230"
"DE-1595","DE1-231"
"DE-1596","DE1-246"
"DE-1597","DE1-233"
"DE-1598","DE1-234"
"DE-1599","DE1-235"
"DE-1600","DE1-236"
"DE-1601","DE1-237"
"DE-1643","DE1-238"
"DE-1644","DE1-239"
"DE-1645","DE1-240"
"DE-1648","DE1-241"
"DE-1649","DE1-56"
"DE-1654","DE1-242"
"DE-1664","DE1-13"
"DE-1666","DE1-57"
"DE-1669","DE1-243"
"DE-1670","DE1-165"
"DE-1674","DE1-59"
"DE-1675","DE1-119"
"DE-1681","DE1-1"
"DE-1682","DE1-194"
"DE-1686","DE1-78"
"DE-1698","DE1-77"
"DE-1706","DE1-195"
"DE-1709","DE1-65"
"DE-1713","DE1-9"
"DE-1720","DE1-196"
"DE-1721","DE1-197"
"DE-1722","DE1-198"
"DE-1723","DE1-199"
"DE-1724","DE1-200"
"DE-1725","DE1-201"
"DE-1726","DE1-202"
"DE-1731","DE1-203"
"DE-1732","DE1-204"
"DE-1733","DE1-205"
"DE-1734","DE1-206"
"DE-1735","DE1-207"
"DE-1736","DE1-208"
"DE-1737","DE1-209"
"DE-1739","DE1-27"
"DE-1756","DE1-210"
"DE-1764","DE1-80"
"DE-1772","DE1-24"
"DE-1773","DE1-4"
"DE-1782","DE1-23"
"DE-1783","DE1-211"
"DE-1784","DE1-212"
"DE-1785","DE1-213"
"DE-1786","DE1-214"
"DE-1787","DE1-215"
"DE-1788","DE1-216"
"DE-1790","DE1-20"
"DE-1791","DE1-19"
"DE-1795","DE1-105"
"DE-1804","DE1-103"
"DE-1805","DE1-102"
"DE-1812","DE1-217"
"DE-1817","DE1-218"
"DE-1818","DE1-193"
"DE-1819","DE1-219"
"DE-1820","DE1-192"
"DE-1823","DE1-99"
"DE-1824","DE1-98"
"DE-1827","DE1-190"
"DE-1828","DE1-166"
"DE-1829","DE1-167"
"DE-1830","DE1-168"
"DE-1836","DE1-111"
"DE-1837","DE1-97"
"DE-1838","DE1-95"
"DE-1839","DE1-94"
"DE-1840","DE1-93"
