"SourceKey","TargetKey","LinkType","Direction","LinkedSourceKey","Error","ErrorDetails","SourceURL","TargetURL"
"DEP-1048","DEP1-5032","Work item split","outward","DEP-1092","Response status code does not indicate success: 404 (Not Found).","Not Found - Resource doesn't exist","https://onemain.atlassian.net/browse/DEP-1048","https://onemainfinancial-migrationsandbox.atlassian.net/browse/DEP1-5032"
"DEP-1048","DEP1-5032","Dependency","inward","DEP-1149","Response status code does not indicate success: 404 (Not Found).","Not Found - Resource doesn't exist","https://onemain.atlassian.net/browse/DEP-1048","https://onemainfinancial-migrationsandbox.atlassian.net/browse/DEP1-5032"
"DEP-1048","DEP1-5032","Dependency","inward","DEP-1150","Response status code does not indicate success: 404 (Not Found).","Not Found - Resource doesn't exist","https://onemain.atlassian.net/browse/DEP-1048","https://onemainfinancial-migrationsandbox.atlassian.net/browse/DEP1-5032"
"DEP-1048","DEP1-5032","Dependency","inward","DEP-1151","Response status code does not indicate success: 404 (Not Found).","Not Found - Resource doesn't exist","https://onemain.atlassian.net/browse/DEP-1048","https://onemainfinancial-migrationsandbox.atlassian.net/browse/DEP1-5032"
"DEP-1060","DEP1-5006","Dependency","outward","DEP-1133","Response status code does not indicate success: 404 (Not Found).","Not Found - Resource doesn't exist","https://onemain.atlassian.net/browse/DEP-1060","https://onemainfinancial-migrationsandbox.atlassian.net/browse/DEP1-5006"
"DEP-1092","DEP1-5145","Work item split","inward","DEP-1048","Response status code does not indicate success: 404 (Not Found).","Not Found - Resource doesn't exist","https://onemain.atlassian.net/browse/DEP-1092","https://onemainfinancial-migrationsandbox.atlassian.net/browse/DEP1-5145"
"DEP-1092","DEP1-5145","Dependency","inward","DEP-1149","Response status code does not indicate success: 404 (Not Found).","Not Found - Resource doesn't exist","https://onemain.atlassian.net/browse/DEP-1092","https://onemainfinancial-migrationsandbox.atlassian.net/browse/DEP1-5145"
"DEP-1092","DEP1-5145","Dependency","inward","DEP-1150","Response status code does not indicate success: 404 (Not Found).","Not Found - Resource doesn't exist","https://onemain.atlassian.net/browse/DEP-1092","https://onemainfinancial-migrationsandbox.atlassian.net/browse/DEP1-5145"
"DEP-1092","DEP1-5145","Dependency","inward","DEP-1151","Response status code does not indicate success: 404 (Not Found).","Not Found - Resource doesn't exist","https://onemain.atlassian.net/browse/DEP-1092","https://onemainfinancial-migrationsandbox.atlassian.net/browse/DEP1-5145"
"DEP-1102","DEP1-5140","Work item split","inward","DEP-958","Response status code does not indicate success: 404 (Not Found).","Not Found - Resource doesn't exist","https://onemain.atlassian.net/browse/DEP-1102","https://onemainfinancial-migrationsandbox.atlassian.net/browse/DEP1-5140"
"DEP-1124","DEP1-5174","Work item split","inward","DEP-1007","Response status code does not indicate success: 404 (Not Found).","Not Found - Resource doesn't exist","https://onemain.atlassian.net/browse/DEP-1124","https://onemainfinancial-migrationsandbox.atlassian.net/browse/DEP1-5174"
"DEP-1133","DEP1-5158","Dependency","inward","DEP-1060","Response status code does not indicate success: 404 (Not Found).","Not Found - Resource doesn't exist","https://onemain.atlassian.net/browse/DEP-1133","https://onemainfinancial-migrationsandbox.atlassian.net/browse/DEP1-5158"
"DEP-1133","DEP1-5158","Dependency","inward","DEP-1134","Response status code does not indicate success: 404 (Not Found).","Not Found - Resource doesn't exist","https://onemain.atlassian.net/browse/DEP-1133","https://onemainfinancial-migrationsandbox.atlassian.net/browse/DEP1-5158"
"DEP-1134","DEP1-5159","Dependency","outward","DEP-1133","Response status code does not indicate success: 404 (Not Found).","Not Found - Resource doesn't exist","https://onemain.atlassian.net/browse/DEP-1134","https://onemainfinancial-migrationsandbox.atlassian.net/browse/DEP1-5159"
"DEP-1145","DEP1-5172","Dependency","inward","DEP-946","Response status code does not indicate success: 404 (Not Found).","Not Found - Resource doesn't exist","https://onemain.atlassian.net/browse/DEP-1145","https://onemainfinancial-migrationsandbox.atlassian.net/browse/DEP1-5172"
"DEP-1149","DEP1-5173","Dependency","outward","DEP-1092","Response status code does not indicate success: 404 (Not Found).","Not Found - Resource doesn't exist","https://onemain.atlassian.net/browse/DEP-1149","https://onemainfinancial-migrationsandbox.atlassian.net/browse/DEP1-5173"
