"SourceKey","TargetKey"
"DEP-1","DEP1-4873"
"DEP-1001","DEP1-4868"
"DEP-1002","DEP1-4946"
"DEP-1003","DEP1-5163"
"DEP-1004","DEP1-5164"
"DEP-1006","DEP1-5165"
"DEP-1007","DEP1-5166"
"DEP-1008","DEP1-5167"
"DEP-1009","DEP1-5169"
"DEP-1011","DEP1-4920"
"DEP-1012","DEP1-4945"
"DEP-1020","DEP1-4892"
"DEP-1022","DEP1-4944"
"DEP-1023","DEP1-5155"
"DEP-1024","DEP1-5132"
"DEP-1025","DEP1-5133"
"DEP-1026","DEP1-4943"
"DEP-1028","DEP1-4942"
"DEP-1036","DEP1-4941"
"DEP-1037","DEP1-5136"
"DEP-1038","DEP1-5137"
"DEP-1039","DEP1-5138"
"DEP-1040","DEP1-5139"
"DEP-1041","DEP1-4973"
"DEP-1042","DEP1-4894"
"DEP-1048","DEP1-5032"
"DEP-1050","DEP1-4956"
"DEP-1051","DEP1-4968"
"DEP-1052","DEP1-4955"
"DEP-1053","DEP1-4957"
"DEP-1054","DEP1-5031"
"DEP-1058","DEP1-4875"
"DEP-1060","DEP1-5006"
"DEP-1062","DEP1-5004"
"DEP-1063","DEP1-5002"
"DEP-1064","DEP1-5008"
"DEP-1065","DEP1-5003"
"DEP-1066","DEP1-5007"
"DEP-1069","DEP1-4869"
"DEP-1070","DEP1-4958"
"DEP-1075","DEP1-5005"
"DEP-1077","DEP1-4962"
"DEP-1078","DEP1-4961"
"DEP-1081","DEP1-5150"
"DEP-1090","DEP1-4870"
"DEP-1092","DEP1-5145"
"DEP-1093","DEP1-5144"
"DEP-1095","DEP1-5143"
"DEP-1096","DEP1-5142"
"DEP-1098","DEP1-4895"
"DEP-1100","DEP1-5141"
"DEP-1102","DEP1-5140"
"DEP-1104","DEP1-5135"
"DEP-1105","DEP1-5134"
"DEP-1107","DEP1-4977"
"DEP-1108","DEP1-4991"
"DEP-1109","DEP1-4981"
"DEP-1110","DEP1-5157"
"DEP-1120","DEP1-4974"
"DEP-1124","DEP1-5174"
"DEP-1129","DEP1-5170"
"DEP-1130","DEP1-5181"
"DEP-1131","DEP1-4954"
"DEP-1132","DEP1-5162"
"DEP-1133","DEP1-5158"
"DEP-1134","DEP1-5159"
"DEP-1139","DEP1-5168"
"DEP-1140","DEP1-5179"
"DEP-1141","DEP1-5160"
"DEP-1142","DEP1-5178"
"DEP-1144","DEP1-4984"
"DEP-1145","DEP1-5172"
"DEP-1149","DEP1-5173"
"DEP-1150","DEP1-5175"
"DEP-1151","DEP1-5176"
"DEP-1155","DEP1-4967"
"DEP-1157","DEP1-4964"
"DEP-1158","DEP1-4960"
"DEP-1159","DEP1-4959"
"DEP-1160","DEP1-4965"
"DEP-1161","DEP1-4966"
"DEP-1162","DEP1-5065"
"DEP-1167","DEP1-5177"
"DEP-1168","DEP1-5131"
"DEP-1169","DEP1-5156"
"DEP-1170","DEP1-5105"
"DEP-1171","DEP1-5103"
"DEP-1172","DEP1-4975"
"DEP-1174","DEP1-5102"
"DEP-1175","DEP1-5100"
"DEP-1176","DEP1-5130"
"DEP-1177","DEP1-5098"
"DEP-1178","DEP1-5096"
"DEP-1179","DEP1-5093"
"DEP-1180","DEP1-5091"
"DEP-1182","DEP1-5087"
"DEP-1183","DEP1-5085"
"DEP-1184","DEP1-5084"
"DEP-1185","DEP1-5107"
"DEP-1188","DEP1-4871"
"DEP-1189","DEP1-4872"
"DEP-1190","DEP1-4880"
"DEP-1191","DEP1-5125"
"DEP-1192","DEP1-5121"
"DEP-1193","DEP1-5117"
"DEP-1194","DEP1-5000"
"DEP-1197","DEP1-5001"
"DEP-1198","DEP1-4994"
"DEP-1199","DEP1-4993"
"DEP-1200","DEP1-4899"
"DEP-1201","DEP1-4992"
"DEP-1203","DEP1-5113"
"DEP-1204","DEP1-4867"
"DEP-1205","DEP1-4963"
"DEP-1206","DEP1-4990"
"DEP-1207","DEP1-4980"
"DEP-1208","DEP1-4982"
"DEP-1209","DEP1-4983"
"DEP-1210","DEP1-5108"
"DEP-1211","DEP1-5109"
"DEP-1212","DEP1-4896"
"DEP-1213","DEP1-5110"
"DEP-1214","DEP1-4985"
"DEP-1215","DEP1-4986"
"DEP-1216","DEP1-4987"
"DEP-132","DEP1-4890"
"DEP-135","DEP1-4888"
"DEP-136","DEP1-4953"
"DEP-137","DEP1-5053"
"DEP-138","DEP1-5171"
"DEP-139","DEP1-5052"
"DEP-140","DEP1-5051"
"DEP-141","DEP1-5050"
"DEP-142","DEP1-5049"
"DEP-145","DEP1-5048"
"DEP-146","DEP1-5047"
"DEP-147","DEP1-4889"
"DEP-154","DEP1-4922"
"DEP-156","DEP1-4923"
"DEP-158","DEP1-4924"
"DEP-159","DEP1-5041"
"DEP-162","DEP1-5042"
"DEP-187","DEP1-5054"
"DEP-188","DEP1-5044"
"DEP-238","DEP1-5036"
"DEP-240","DEP1-5037"
"DEP-247","DEP1-5038"
"DEP-248","DEP1-5039"
"DEP-250","DEP1-5040"
"DEP-254","DEP1-5045"
"DEP-256","DEP1-5046"
"DEP-258","DEP1-5149"
"DEP-295","DEP1-5148"
"DEP-299","DEP1-4882"
"DEP-303","DEP1-4940"
"DEP-306","DEP1-4939"
"DEP-496","DEP1-4881"
"DEP-499","DEP1-4995"
"DEP-504","DEP1-5146"
"DEP-506","DEP1-4999"
"DEP-508","DEP1-5147"
"DEP-510","DEP1-4877"
"DEP-530","DEP1-4876"
"DEP-534","DEP1-5080"
"DEP-541","DEP1-4898"
