"Source Issue","Source URL","Target Issue","Target URL","Link Type","Direction","Linked To (Not Migrated)","Linked To URL","Reason","Action Required"
"DEP-1168","https://onemain.atlassian.net/browse/DEP-1168","DEP1-5131","https://onemainfinancial-migrationsandbox.atlassian.net/browse/DEP1-5131","Relates","inward","DEP-1150","https://onemain.atlassian.net/browse/DEP-1150","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"DEP-1211","https://onemain.atlassian.net/browse/DEP-1211","DEP1-5109","https://onemainfinancial-migrationsandbox.atlassian.net/browse/DEP1-5109","Cloners","outward","DEP-1179","https://onemain.atlassian.net/browse/DEP-1179","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"DEP-940","https://onemain.atlassian.net/browse/DEP-940","DEP1-5089","https://onemainfinancial-migrationsandbox.atlassian.net/browse/DEP1-5089","Cloners","outward","DEP-939","https://onemain.atlassian.net/browse/DEP-939","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"DEP-941","https://onemain.atlassian.net/browse/DEP-941","DEP1-5090","https://onemainfinancial-migrationsandbox.atlassian.net/browse/DEP1-5090","Cloners","outward","DEP-940","https://onemain.atlassian.net/browse/DEP-940","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"DEP-572","https://onemain.atlassian.net/browse/DEP-572","DEP1-5154","https://onemainfinancial-migrationsandbox.atlassian.net/browse/DEP1-5154","Cloners","outward","DEP-534","https://onemain.atlassian.net/browse/DEP-534","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"DEP-573","https://onemain.atlassian.net/browse/DEP-573","DEP1-5081","https://onemainfinancial-migrationsandbox.atlassian.net/browse/DEP1-5081","Cloners","outward","DEP-534","https://onemain.atlassian.net/browse/DEP-534","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"DEP-603","https://onemain.atlassian.net/browse/DEP-603","DEP1-5009","https://onemainfinancial-migrationsandbox.atlassian.net/browse/DEP1-5009","Cloners","outward","DEP-590","https://onemain.atlassian.net/browse/DEP-590","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"DEP-733","https://onemain.atlassian.net/browse/DEP-733","DEP1-4979","https://onemainfinancial-migrationsandbox.atlassian.net/browse/DEP1-4979","Cloners","inward","DEP-951","https://onemain.atlassian.net/browse/DEP-951","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"DEP-735","https://onemain.atlassian.net/browse/DEP-735","DEP1-5033","https://onemainfinancial-migrationsandbox.atlassian.net/browse/DEP1-5033","Cloners","outward","DEP-726","https://onemain.atlassian.net/browse/DEP-726","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"DEP-739","https://onemain.atlassian.net/browse/DEP-739","DEP1-4878","https://onemainfinancial-migrationsandbox.atlassian.net/browse/DEP1-4878","Relates","outward","DEP-1090","https://onemain.atlassian.net/browse/DEP-1090","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"DEP-159","https://onemain.atlassian.net/browse/DEP-159","DEP1-5041","https://onemainfinancial-migrationsandbox.atlassian.net/browse/DEP1-5041","Blocks","inward","DEP-956","https://onemain.atlassian.net/browse/DEP-956","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"DEP-145","https://onemain.atlassian.net/browse/DEP-145","DEP1-5048","https://onemainfinancial-migrationsandbox.atlassian.net/browse/DEP1-5048","Relates","outward","DEP-146","https://onemain.atlassian.net/browse/DEP-146","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"DEP-139","https://onemain.atlassian.net/browse/DEP-139","DEP1-5052","https://onemainfinancial-migrationsandbox.atlassian.net/browse/DEP1-5052","Cloners","outward","DEP-140","https://onemain.atlassian.net/browse/DEP-140","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"DEP-137","https://onemain.atlassian.net/browse/DEP-137","DEP1-5053","https://onemainfinancial-migrationsandbox.atlassian.net/browse/DEP1-5053","Cloners","outward","DEP-141","https://onemain.atlassian.net/browse/DEP-141","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"DEP-138","https://onemain.atlassian.net/browse/DEP-138","DEP1-5171","https://onemainfinancial-migrationsandbox.atlassian.net/browse/DEP1-5171","Cloners","outward","DEP-142","https://onemain.atlassian.net/browse/DEP-142","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
