"Source Issue","Source URL","Target Issue","Target URL","Issue Type","Summary","Missing Parent","Status","Reason","Action Required"
"DPSS-649","https://onemain.atlassian.net/browse/DPSS-649","DPSS1-12","https://onemainfinancial-migrationsandbox.atlassian.net/browse/DPSS1-12","Epic","[Post Prod QA] Proxied ELF QA & Regression Testing in prod","DPSS-71","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"DPSS-650","https://onemain.atlassian.net/browse/DPSS-650","DPSS1-13","https://onemainfinancial-migrationsandbox.atlassian.net/browse/DPSS1-13","Epic","[API] Observability and Metrics","DPSS-71","In Progress","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"DPSS-1823","https://onemain.atlassian.net/browse/DPSS-1823","DPSS1-14","https://onemainfinancial-migrationsandbox.atlassian.net/browse/DPSS1-14","Epic","[GEN] Run DocGen with actual data","DPSS-70","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"DPSS-2149","https://onemain.atlassian.net/browse/DPSS-2149","DPSS1-16","https://onemainfinancial-migrationsandbox.atlassian.net/browse/DPSS1-16","Epic","[GEN] Test and Harden Closing Package Forms for MD E00","DPSS-2","In Progress","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"DPSS-651","https://onemain.atlassian.net/browse/DPSS-651","DPSS1-17","https://onemainfinancial-migrationsandbox.atlassian.net/browse/DPSS1-17","Epic","[Post Prod QA] Verify and ensure CLASS is whole in Mobius mode - Post production","DPSS-71","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"DPSS-80","https://onemain.atlassian.net/browse/DPSS-80","DPSS1-18","https://onemainfinancial-migrationsandbox.atlassian.net/browse/DPSS1-18","Epic","[GEN] PDF Merge ","DPSS-70","In Progress","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"DPSS-82","https://onemain.atlassian.net/browse/DPSS-82","DPSS1-19","https://onemainfinancial-migrationsandbox.atlassian.net/browse/DPSS1-19","Epic","Retrieving Origination data from CLASS","DPSS-70","In Progress","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"DPSS-2150","https://onemain.atlassian.net/browse/DPSS-2150","DPSS1-22","https://onemainfinancial-migrationsandbox.atlassian.net/browse/DPSS1-22","Epic","[GEN] Test Catalyst Integration with DocGen","DPSS-2","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"DPSS-652","https://onemain.atlassian.net/browse/DPSS-652","DPSS1-23","https://onemainfinancial-migrationsandbox.atlassian.net/browse/DPSS1-23","Epic","[API] Deploy dss-graph to prod","DPSS-71","In Progress","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"DPSS-1891","https://onemain.atlassian.net/browse/DPSS-1891","DPSS1-25","https://onemainfinancial-migrationsandbox.atlassian.net/browse/DPSS1-25","Epic","[GEN] Drools Rules documentation","DPSS-70","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"DPSS-1976","https://onemain.atlassian.net/browse/DPSS-1976","DPSS1-26","https://onemainfinancial-migrationsandbox.atlassian.net/browse/DPSS1-26","Epic","[GEN] CLASS-specific logic filtered in Data Dictionary processing","DPSS-70","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"DPSS-639","https://onemain.atlassian.net/browse/DPSS-639","DPSS1-27","https://onemainfinancial-migrationsandbox.atlassian.net/browse/DPSS1-27","Epic","[Proxy] Federated View Digital Docs API Proxy","DPSS-71","In Progress","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"DPSS-644","https://onemain.atlassian.net/browse/DPSS-644","DPSS1-28","https://onemainfinancial-migrationsandbox.atlassian.net/browse/DPSS1-28","Epic","[Proxy] ELF Proxy Document View","DPSS-71","In Progress","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"DPSS-1797","https://onemain.atlassian.net/browse/DPSS-1797","DPSS1-29","https://onemainfinancial-migrationsandbox.atlassian.net/browse/DPSS1-29","Epic","[API] 25 CATALYST DMS integration","DPSS-2","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"DPSS-1794","https://onemain.atlassian.net/browse/DPSS-1794","DPSS1-30","https://onemainfinancial-migrationsandbox.atlassian.net/browse/DPSS1-30","Epic","[API] CATALYST e-signature integration","DPSS-2","In Progress","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"DPSS-1764","https://onemain.atlassian.net/browse/DPSS-1764","DPSS1-31","https://onemainfinancial-migrationsandbox.atlassian.net/browse/DPSS1-31","Epic","[GEN] Address Issues with Package Generation seen in Demo","DPSS-70","In Progress","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"DPSS-710","https://onemain.atlassian.net/browse/DPSS-710","DPSS1-34","https://onemainfinancial-migrationsandbox.atlassian.net/browse/DPSS1-34","Epic","[GEN] Hardening and Performance","DPSS-70","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"DPSS-1746","https://onemain.atlassian.net/browse/DPSS-1746","DPSS1-35","https://onemainfinancial-migrationsandbox.atlassian.net/browse/DPSS1-35","Epic","[GEN] Create Kafka message service with initial setup","DPSS-70","In Progress","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"DPSS-770","https://onemain.atlassian.net/browse/DPSS-770","DPSS1-36","https://onemainfinancial-migrationsandbox.atlassian.net/browse/DPSS1-36","Epic","[GEN] Delaware in Drools","DPSS-70","In Progress","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"DPSS-427","https://onemain.atlassian.net/browse/DPSS-427","DPSS1-38","https://onemainfinancial-migrationsandbox.atlassian.net/browse/DPSS1-38","Epic","[GEN] Sending Closing package back to CLASS","DPSS-70","In Progress","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"DPSS-754","https://onemain.atlassian.net/browse/DPSS-754","DPSS1-39","https://onemainfinancial-migrationsandbox.atlassian.net/browse/DPSS1-39","Epic","[GEN] Rollout Strategy - Shadow PDF generation","DPSS-70","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"DPSS-753","https://onemain.atlassian.net/browse/DPSS-753","DPSS1-42","https://onemainfinancial-migrationsandbox.atlassian.net/browse/DPSS1-42","Epic","[GEN] Observability & metrics - OpenTelemetry","DPSS-70","In Progress","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"DPSS-92","https://onemain.atlassian.net/browse/DPSS-92","DPSS1-43","https://onemainfinancial-migrationsandbox.atlassian.net/browse/DPSS1-43","Epic","[DMS] Role-Based Access Control via Okta","DPSS-71","In Progress","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"DPSS-1875","https://onemain.atlassian.net/browse/DPSS-1875","DPSS1-44","https://onemainfinancial-migrationsandbox.atlassian.net/browse/DPSS1-44","Epic","[GEN] Loan Booking","DPSS-70","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"DPSS-1818","https://onemain.atlassian.net/browse/DPSS-1818","DPSS1-46","https://onemainfinancial-migrationsandbox.atlassian.net/browse/DPSS1-46","Epic","[EEB] 25+ CATALYST Enterprise Event Bus integration","DPSS-2","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"DPSS-369","https://onemain.atlassian.net/browse/DPSS-369","DPSS1-48","https://onemainfinancial-migrationsandbox.atlassian.net/browse/DPSS1-48","Epic","[GEN] Populate Universal Fillable PDF templates (Universal)","DPSS-70","In Progress","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"DPSS-371","https://onemain.atlassian.net/browse/DPSS-371","DPSS1-49","https://onemainfinancial-migrationsandbox.atlassian.net/browse/DPSS1-49","Epic","[GEN] Integration with Kafka, Box, Graph etc...","DPSS-70","In Progress","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"DPSS-342","https://onemain.atlassian.net/browse/DPSS-342","DPSS1-50","https://onemainfinancial-migrationsandbox.atlassian.net/browse/DPSS1-50","Epic","[GEN] handOver Doc-Gen to Operations (SARB review, etc)","DPSS-70","In Progress","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"DPSS-324","https://onemain.atlassian.net/browse/DPSS-324","DPSS1-51","https://onemainfinancial-migrationsandbox.atlassian.net/browse/DPSS1-51","Epic","[GEN] [QA] Comprehensive QA Review before Prod- Side by side production and generated DE and MD doc set","DPSS-70","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"DPSS-95","https://onemain.atlassian.net/browse/DPSS-95","DPSS1-52","https://onemainfinancial-migrationsandbox.atlassian.net/browse/DPSS1-52","Epic","[DMS] General house keeping and non Dev tasks Q2/Q3-25","DPSS-71","In Progress","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"DPSS-270","https://onemain.atlassian.net/browse/DPSS-270","DPSS1-53","https://onemainfinancial-migrationsandbox.atlassian.net/browse/DPSS1-53","Epic","[API] dss-graph Feature Parity Development - To review and move open tickets to following initiative ","DPSS-71","In Progress","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"DPSS-234","https://onemain.atlassian.net/browse/DPSS-234","DPSS1-54","https://onemainfinancial-migrationsandbox.atlassian.net/browse/DPSS1-54","Epic","[API] Snowflake Key Metrics","DPSS-71","In Progress","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"DPSS-646","https://onemain.atlassian.net/browse/DPSS-646","DPSS1-55","https://onemainfinancial-migrationsandbox.atlassian.net/browse/DPSS1-55","Epic","[Shadow DMS] Servicing Hand-off","DPSS-71","In Progress","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"DPSS-648","https://onemain.atlassian.net/browse/DPSS-648","DPSS1-56","https://onemainfinancial-migrationsandbox.atlassian.net/browse/DPSS1-56","Epic","[DMS] Ingestion Service Proxy updates","DPSS-71","In Progress","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"DPSS-132","https://onemain.atlassian.net/browse/DPSS-132","DPSS1-59","https://onemainfinancial-migrationsandbox.atlassian.net/browse/DPSS1-59","Epic","[DMS] Audit Trail","DPSS-71","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"DPSS-128","https://onemain.atlassian.net/browse/DPSS-128","DPSS1-60","https://onemainfinancial-migrationsandbox.atlassian.net/browse/DPSS1-60","Epic","[DMS] CATALYST integration and other work","DPSS-2","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"DPSS-370","https://onemain.atlassian.net/browse/DPSS-370","DPSS1-62","https://onemainfinancial-migrationsandbox.atlassian.net/browse/DPSS1-62","Epic","[GEN] Compliance, Audit & Retention","DPSS-70","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"DPSS-114","https://onemain.atlassian.net/browse/DPSS-114","DPSS1-64","https://onemainfinancial-migrationsandbox.atlassian.net/browse/DPSS1-64","Epic","[GEN] Complex PDF composition - multipage, page sequencing, ...","DPSS-70","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"DPSS-96","https://onemain.atlassian.net/browse/DPSS-96","DPSS1-65","https://onemainfinancial-migrationsandbox.atlassian.net/browse/DPSS1-65","Epic","[DMS] Upload documents from IPad to  Shadow, Box Only and Mobius Only mode","DPSS-71","In Progress","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
