"Source Issue","Source URL","Target Issue","Target URL","Link Type","Direction","Linked To (Not Migrated)","Linked To URL","Reason","Action Required"
"DPSS-2036","https://onemain.atlassian.net/browse/DPSS-2036","DPSS1-109","https://onemainfinancial-migrationsandbox.atlassian.net/browse/DPSS1-109","Cloners","outward","DPSS-2035","https://onemain.atlassian.net/browse/DPSS-2035","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"DPSS-2138","https://onemain.atlassian.net/browse/DPSS-2138","DPSS1-94","https://onemainfinancial-migrationsandbox.atlassian.net/browse/DPSS1-94","Relates","inward","DPSS-2082","https://onemain.atlassian.net/browse/DPSS-2082","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"DPSS-2138","https://onemain.atlassian.net/browse/DPSS-2138","DPSS1-94","https://onemainfinancial-migrationsandbox.atlassian.net/browse/DPSS1-94","Relates","inward","DPSS-2083","https://onemain.atlassian.net/browse/DPSS-2083","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"DPSS-2196","https://onemain.atlassian.net/browse/DPSS-2196","DPSS1-308","https://onemainfinancial-migrationsandbox.atlassian.net/browse/DPSS1-308","Cloners","outward","DPSS-2193","https://onemain.atlassian.net/browse/DPSS-2193","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"DPSS-2197","https://onemain.atlassian.net/browse/DPSS-2197","DPSS1-91","https://onemainfinancial-migrationsandbox.atlassian.net/browse/DPSS1-91","Cloners","outward","DPSS-2195","https://onemain.atlassian.net/browse/DPSS-2195","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"DPSS-1816","https://onemain.atlassian.net/browse/DPSS-1816","DPSS1-272","https://onemainfinancial-migrationsandbox.atlassian.net/browse/DPSS1-272","Blocks","inward","DPSS-2146","https://onemain.atlassian.net/browse/DPSS-2146","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"DPSS-1885","https://onemain.atlassian.net/browse/DPSS-1885","DPSS1-370","https://onemainfinancial-migrationsandbox.atlassian.net/browse/DPSS1-370","Cloners","outward","DPSS-1884","https://onemain.atlassian.net/browse/DPSS-1884","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"DPSS-1886","https://onemain.atlassian.net/browse/DPSS-1886","DPSS1-369","https://onemainfinancial-migrationsandbox.atlassian.net/browse/DPSS1-369","Cloners","outward","DPSS-1884","https://onemain.atlassian.net/browse/DPSS-1884","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"DPSS-1946","https://onemain.atlassian.net/browse/DPSS-1946","DPSS1-10","https://onemainfinancial-migrationsandbox.atlassian.net/browse/DPSS1-10","Relates","inward","DPSS-1929","https://onemain.atlassian.net/browse/DPSS-1929","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"DPSS-1422","https://onemain.atlassian.net/browse/DPSS-1422","DPSS1-359","https://onemainfinancial-migrationsandbox.atlassian.net/browse/DPSS1-359","Cloners","outward","DPSS-1415","https://onemain.atlassian.net/browse/DPSS-1415","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"DPSS-1423","https://onemain.atlassian.net/browse/DPSS-1423","DPSS1-358","https://onemainfinancial-migrationsandbox.atlassian.net/browse/DPSS1-358","Relates","inward","DPSS-1422","https://onemain.atlassian.net/browse/DPSS-1422","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"DPSS-1424","https://onemain.atlassian.net/browse/DPSS-1424","DPSS1-357","https://onemainfinancial-migrationsandbox.atlassian.net/browse/DPSS1-357","Relates","outward","DPSS-1423","https://onemain.atlassian.net/browse/DPSS-1423","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"DPSS-1489","https://onemain.atlassian.net/browse/DPSS-1489","DPSS1-139","https://onemainfinancial-migrationsandbox.atlassian.net/browse/DPSS1-139","Cloners","outward","DPSS-1472","https://onemain.atlassian.net/browse/DPSS-1472","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"DPSS-1606","https://onemain.atlassian.net/browse/DPSS-1606","DPSS1-131","https://onemainfinancial-migrationsandbox.atlassian.net/browse/DPSS1-131","Blocks","inward","DPSS-1605","https://onemain.atlassian.net/browse/DPSS-1605","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"DPSS-1612","https://onemain.atlassian.net/browse/DPSS-1612","DPSS1-129","https://onemainfinancial-migrationsandbox.atlassian.net/browse/DPSS1-129","Blocks","inward","DPSS-1605","https://onemain.atlassian.net/browse/DPSS-1605","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"DPSS-628","https://onemain.atlassian.net/browse/DPSS-628","DPSS1-122","https://onemainfinancial-migrationsandbox.atlassian.net/browse/DPSS1-122","Blocks","inward","DPSS-627","https://onemain.atlassian.net/browse/DPSS-627","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"DPSS-753","https://onemain.atlassian.net/browse/DPSS-753","DPSS1-42","https://onemainfinancial-migrationsandbox.atlassian.net/browse/DPSS1-42","Relates","inward","DPSS-1444","https://onemain.atlassian.net/browse/DPSS-1444","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"DPSS-754","https://onemain.atlassian.net/browse/DPSS-754","DPSS1-39","https://onemainfinancial-migrationsandbox.atlassian.net/browse/DPSS1-39","Relates","inward","DPSS-1435","https://onemain.atlassian.net/browse/DPSS-1435","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"DPSS-777","https://onemain.atlassian.net/browse/DPSS-777","DPSS1-209","https://onemainfinancial-migrationsandbox.atlassian.net/browse/DPSS1-209","Relates","inward","DPSS-775","https://onemain.atlassian.net/browse/DPSS-775","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
