"SourceKey","TargetKey"
"EDME-1008","EDME1-136"
"EDME-1083","EDME1-135"
"EDME-1085","EDME1-87"
"EDME-1086","EDME1-156"
"EDME-1087","EDME1-137"
"EDME-1088","EDME1-142"
"EDME-1089","EDME1-143"
"EDME-1090","EDME1-125"
"EDME-1091","EDME1-126"
"EDME-1092","EDME1-127"
"EDME-1108","EDME1-131"
"EDME-1109","EDME1-133"
"EDME-1112","EDME1-180"
"EDME-1114","EDME1-184"
"EDME-1116","EDME1-169"
"EDME-1117","EDME1-185"
"EDME-1121","EDME1-168"
"EDME-1145","EDME1-166"
"EDME-1150","EDME1-151"
"EDME-1151","EDME1-152"
"EDME-1152","EDME1-153"
"EDME-1153","EDME1-63"
"EDME-1160","EDME1-85"
"EDME-1161","EDME1-109"
"EDME-1163","EDME1-110"
"EDME-1167","EDME1-111"
"EDME-1168","EDME1-113"
"EDME-1169","EDME1-119"
"EDME-1170","EDME1-120"
"EDME-1173","EDME1-106"
"EDME-1175","EDME1-105"
"EDME-1178","EDME1-259"
"EDME-1179","EDME1-275"
"EDME-1180","EDME1-272"
"EDME-1181","EDME1-188"
"EDME-1182","EDME1-202"
"EDME-1183","EDME1-186"
"EDME-1186","EDME1-178"
"EDME-1187","EDME1-103"
"EDME-1188","EDME1-102"
"EDME-1190","EDME1-101"
"EDME-1194","EDME1-100"
"EDME-1200","EDME1-99"
"EDME-1206","EDME1-98"
"EDME-1207","EDME1-97"
"EDME-1208","EDME1-96"
"EDME-1209","EDME1-95"
"EDME-1210","EDME1-94"
"EDME-1214","EDME1-93"
"EDME-1215","EDME1-92"
"EDME-1231","EDME1-91"
"EDME-1232","EDME1-90"
"EDME-1233","EDME1-89"
"EDME-124","EDME1-130"
"EDME-1245","EDME1-104"
"EDME-1247","EDME1-107"
"EDME-1248","EDME1-118"
"EDME-1254","EDME1-117"
"EDME-1258","EDME1-116"
"EDME-1259","EDME1-115"
"EDME-1261","EDME1-114"
"EDME-1269","EDME1-121"
"EDME-1329","EDME1-88"
"EDME-1337","EDME1-112"
"EDME-1359","EDME1-27"
"EDME-1455","EDME1-64"
"EDME-1457","EDME1-26"
"EDME-1458","EDME1-72"
"EDME-1459","EDME1-73"
"EDME-1460","EDME1-76"
"EDME-1468","EDME1-77"
"EDME-1469","EDME1-79"
"EDME-1472","EDME1-80"
"EDME-1473","EDME1-86"
"EDME-1504","EDME1-82"
"EDME-1507","EDME1-83"
"EDME-1508","EDME1-70"
"EDME-1509","EDME1-69"
"EDME-1510","EDME1-84"
"EDME-1511","EDME1-81"
"EDME-1517","EDME1-78"
"EDME-1532","EDME1-75"
"EDME-1563","EDME1-74"
"EDME-1596","EDME1-71"
"EDME-1597","EDME1-68"
"EDME-1607","EDME1-67"
"EDME-1609","EDME1-58"
"EDME-1613","EDME1-57"
"EDME-1615","EDME1-66"
"EDME-1636","EDME1-65"
"EDME-1639","EDME1-62"
"EDME-1652","EDME1-61"
"EDME-1699","EDME1-60"
"EDME-1704","EDME1-59"
"EDME-1719","EDME1-108"
"EDME-1726","EDME1-122"
"EDME-1727","EDME1-167"
"EDME-1728","EDME1-124"
"EDME-1729","EDME1-165"
"EDME-1730","EDME1-164"
"EDME-1732","EDME1-163"
"EDME-1750","EDME1-162"
"EDME-1790","EDME1-161"
"EDME-1792","EDME1-160"
"EDME-1793","EDME1-159"
"EDME-1799","EDME1-158"
"EDME-1801","EDME1-157"
"EDME-1823","EDME1-123"
"EDME-1826","EDME1-314"
"EDME-1827","EDME1-338"
"EDME-1835","EDME1-155"
"EDME-2553","EDME1-154"
"EDME-2554","EDME1-183"
"EDME-2555","EDME1-182"
"EDME-2565","EDME1-181"
"EDME-2623","EDME1-179"
"EDME-2665","EDME1-31"
"EDME-2670","EDME1-177"
"EDME-2671","EDME1-176"
"EDME-2688","EDME1-175"
"EDME-2697","EDME1-174"
"EDME-2698","EDME1-173"
"EDME-2699","EDME1-172"
"EDME-2734","EDME1-171"
"EDME-2735","EDME1-150"
"EDME-2736","EDME1-170"
"EDME-2737","EDME1-149"
"EDME-2738","EDME1-148"
"EDME-2739","EDME1-147"
"EDME-2740","EDME1-132"
"EDME-2741","EDME1-201"
"EDME-2742","EDME1-213"
"EDME-2768","EDME1-16"
"EDME-2770","EDME1-243"
"EDME-2775","EDME1-199"
"EDME-2782","EDME1-203"
"EDME-2787","EDME1-204"
"EDME-2794","EDME1-17"
"EDME-2795","EDME1-18"
"EDME-2796","EDME1-29"
"EDME-2797","EDME1-19"
"EDME-2799","EDME1-20"
"EDME-2800","EDME1-21"
