"Source Issue","Source URL","Target Issue","Target URL","Issue Type","Summary","Missing Parent","Status","Reason","Action Required"
"EMC-13","https://onemain.atlassian.net/browse/EMC-13","EMC1-3","https://onemainfinancial-migrationsandbox.atlassian.net/browse/EMC1-3","Initiative","EMC 2024 Deliverables","EMC-12","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"EMC-291","https://onemain.atlassian.net/browse/EMC-291","EMC1-13","https://onemainfinancial-migrationsandbox.atlassian.net/browse/EMC1-13","Epic","Brightway Cards Environment Visibility improvements","EMC-307","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"EMC-401","https://onemain.atlassian.net/browse/EMC-401","EMC1-16","https://onemainfinancial-migrationsandbox.atlassian.net/browse/EMC1-16","Epic","Adaxes Monitoring","EMC-307","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"EMC-546","https://onemain.atlassian.net/browse/EMC-546","EMC1-47","https://onemainfinancial-migrationsandbox.atlassian.net/browse/EMC1-47","Story","Mobile API","EMC-541","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"EMC-572","https://onemain.atlassian.net/browse/EMC-572","EMC1-62","https://onemainfinancial-migrationsandbox.atlassian.net/browse/EMC1-62","Story","Loan Dashboard Health","EMC-541","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"EMC-571","https://onemain.atlassian.net/browse/EMC-571","EMC1-63","https://onemainfinancial-migrationsandbox.atlassian.net/browse/EMC1-63","Story","Palo Firewall","EMC-541","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"EMC-570","https://onemain.atlassian.net/browse/EMC-570","EMC1-64","https://onemainfinancial-migrationsandbox.atlassian.net/browse/EMC1-64","Story","AD Role Group Changes","EMC-541","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"EMC-569","https://onemain.atlassian.net/browse/EMC-569","EMC1-65","https://onemainfinancial-migrationsandbox.atlassian.net/browse/EMC1-65","Story","Esign Transactions By Hour","EMC-541","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"EMC-568","https://onemain.atlassian.net/browse/EMC-568","EMC1-66","https://onemainfinancial-migrationsandbox.atlassian.net/browse/EMC1-66","Story","Payment Posting Tracking","EMC-541","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"EMC-567","https://onemain.atlassian.net/browse/EMC-567","EMC1-67","https://onemainfinancial-migrationsandbox.atlassian.net/browse/EMC1-67","Story","IPQ Monitoring- Event Detail","EMC-541","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"EMC-566","https://onemain.atlassian.net/browse/EMC-566","EMC1-68","https://onemainfinancial-migrationsandbox.atlassian.net/browse/EMC1-68","Story","EMC - Check Capture","EMC-541","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"EMC-565","https://onemain.atlassian.net/browse/EMC-565","EMC1-69","https://onemainfinancial-migrationsandbox.atlassian.net/browse/EMC1-69","Story","Login Metric - Okta","EMC-541","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"EMC-564","https://onemain.atlassian.net/browse/EMC-564","EMC1-70","https://onemainfinancial-migrationsandbox.atlassian.net/browse/EMC1-70","Story","HTTP Traffic","EMC-541","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"EMC-563","https://onemain.atlassian.net/browse/EMC-563","EMC1-71","https://onemainfinancial-migrationsandbox.atlassian.net/browse/EMC1-71","Story","EMC High-Level Customer Comms","EMC-541","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"EMC-562","https://onemain.atlassian.net/browse/EMC-562","EMC1-72","https://onemainfinancial-migrationsandbox.atlassian.net/browse/EMC1-72","Story","Payment Methods Dashboard","EMC-541","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"EMC-561","https://onemain.atlassian.net/browse/EMC-561","EMC1-73","https://onemainfinancial-migrationsandbox.atlassian.net/browse/EMC1-73","Story","MuleSoft – IPQ","EMC-541","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"EMC-560","https://onemain.atlassian.net/browse/EMC-560","EMC1-74","https://onemainfinancial-migrationsandbox.atlassian.net/browse/EMC1-74","Story","Host Overview","EMC-541","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"EMC-559","https://onemain.atlassian.net/browse/EMC-559","EMC1-75","https://onemainfinancial-migrationsandbox.atlassian.net/browse/EMC1-75","Story","EMC- Esig App Dynamics","EMC-541","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"EMC-558","https://onemain.atlassian.net/browse/EMC-558","EMC1-76","https://onemainfinancial-migrationsandbox.atlassian.net/browse/EMC1-76","Story","Payments Dashboard","EMC-541","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"EMC-557","https://onemain.atlassian.net/browse/EMC-557","EMC1-77","https://onemainfinancial-migrationsandbox.atlassian.net/browse/EMC1-77","Story","Credit Bureaus","EMC-541","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"EMC-556","https://onemain.atlassian.net/browse/EMC-556","EMC1-78","https://onemainfinancial-migrationsandbox.atlassian.net/browse/EMC1-78","Story","EMC High Level 3rd Party Originations","EMC-541","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"EMC-555","https://onemain.atlassian.net/browse/EMC-555","EMC1-79","https://onemainfinancial-migrationsandbox.atlassian.net/browse/EMC1-79","Story","IPQ Workload - Character & Trend","EMC-541","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
