"Source Issue","Source URL","Target Issue","Target URL","Link Type","Direction","Linked To (Not Migrated)","Linked To URL","Reason","Action Required"
"EMC-945","https://onemain.atlassian.net/browse/EMC-945","EMC1-93","https://onemainfinancial-migrationsandbox.atlassian.net/browse/EMC1-93","Relates","inward","EMC-820","https://onemain.atlassian.net/browse/EMC-820","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"EMC-1203","https://onemain.atlassian.net/browse/EMC-1203","EMC1-6","https://onemainfinancial-migrationsandbox.atlassian.net/browse/EMC1-6","Relates","inward","EMC-1004","https://onemain.atlassian.net/browse/EMC-1004","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"EMC-1203","https://onemain.atlassian.net/browse/EMC-1203","EMC1-6","https://onemainfinancial-migrationsandbox.atlassian.net/browse/EMC1-6","Relates","inward","EMC-861","https://onemain.atlassian.net/browse/EMC-861","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"EMC-1204","https://onemain.atlassian.net/browse/EMC-1204","EMC1-60","https://onemainfinancial-migrationsandbox.atlassian.net/browse/EMC1-60","Relates","outward","EMC-1202","https://onemain.atlassian.net/browse/EMC-1202","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"EMC-1213","https://onemain.atlassian.net/browse/EMC-1213","EMC1-58","https://onemainfinancial-migrationsandbox.atlassian.net/browse/EMC1-58","Relates","outward","EMC-985","https://onemain.atlassian.net/browse/EMC-985","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"EMC-1230","https://onemain.atlassian.net/browse/EMC-1230","EMC1-25","https://onemainfinancial-migrationsandbox.atlassian.net/browse/EMC1-25","Relates","outward","EMC-1202","https://onemain.atlassian.net/browse/EMC-1202","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"EMC-1230","https://onemain.atlassian.net/browse/EMC-1230","EMC1-25","https://onemainfinancial-migrationsandbox.atlassian.net/browse/EMC1-25","Relates","outward","EMC-1204","https://onemain.atlassian.net/browse/EMC-1204","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"EMC-1254","https://onemain.atlassian.net/browse/EMC-1254","EMC1-24","https://onemainfinancial-migrationsandbox.atlassian.net/browse/EMC1-24","Relates","inward","EMC-1068","https://onemain.atlassian.net/browse/EMC-1068","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"EMC-1255","https://onemain.atlassian.net/browse/EMC-1255","EMC1-23","https://onemainfinancial-migrationsandbox.atlassian.net/browse/EMC1-23","Defect","inward","EMC-1254","https://onemain.atlassian.net/browse/EMC-1254","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"EMC-1255","https://onemain.atlassian.net/browse/EMC-1255","EMC1-23","https://onemainfinancial-migrationsandbox.atlassian.net/browse/EMC1-23","Relates","inward","EMC-1068","https://onemain.atlassian.net/browse/EMC-1068","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"EMC-363","https://onemain.atlassian.net/browse/EMC-363","EMC1-11","https://onemainfinancial-migrationsandbox.atlassian.net/browse/EMC1-11","Relates","outward","EMC-1210","https://onemain.atlassian.net/browse/EMC-1210","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
