"Source Issue","Source URL","Target Issue","Target URL","Link Type","Direction","Linked To (Not Migrated)","Linked To URL","Reason","Action Required"
"ENGOPS-421","https://onemain.atlassian.net/browse/ENGOPS-421","ENGOPS1-1119","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ENGOPS1-1119","Cloners","outward","ENGOPS-418","https://onemain.atlassian.net/browse/ENGOPS-418","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"ENGOPS-422","https://onemain.atlassian.net/browse/ENGOPS-422","ENGOPS1-1118","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ENGOPS1-1118","Cloners","outward","ENGOPS-419","https://onemain.atlassian.net/browse/ENGOPS-419","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"ENGOPS-424","https://onemain.atlassian.net/browse/ENGOPS-424","ENGOPS1-1116","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ENGOPS1-1116","Cloners","outward","ENGOPS-418","https://onemain.atlassian.net/browse/ENGOPS-418","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"ENGOPS-425","https://onemain.atlassian.net/browse/ENGOPS-425","ENGOPS1-1115","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ENGOPS1-1115","Cloners","outward","ENGOPS-419","https://onemain.atlassian.net/browse/ENGOPS-419","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"ENGOPS-427","https://onemain.atlassian.net/browse/ENGOPS-427","ENGOPS1-1123","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ENGOPS1-1123","Cloners","outward","ENGOPS-418","https://onemain.atlassian.net/browse/ENGOPS-418","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"ENGOPS-428","https://onemain.atlassian.net/browse/ENGOPS-428","ENGOPS1-1127","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ENGOPS1-1127","Cloners","outward","ENGOPS-419","https://onemain.atlassian.net/browse/ENGOPS-419","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"ENGOPS-429","https://onemain.atlassian.net/browse/ENGOPS-429","ENGOPS1-1128","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ENGOPS1-1128","Cloners","outward","ENGOPS-426","https://onemain.atlassian.net/browse/ENGOPS-426","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"ENGOPS-430","https://onemain.atlassian.net/browse/ENGOPS-430","ENGOPS1-1129","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ENGOPS1-1129","Cloners","outward","ENGOPS-427","https://onemain.atlassian.net/browse/ENGOPS-427","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"ENGOPS-431","https://onemain.atlassian.net/browse/ENGOPS-431","ENGOPS1-1154","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ENGOPS1-1154","Cloners","outward","ENGOPS-428","https://onemain.atlassian.net/browse/ENGOPS-428","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"ENGOPS-177","https://onemain.atlassian.net/browse/ENGOPS-177","ENGOPS1-825","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ENGOPS1-825","Cloners","outward","ENGOPS-164","https://onemain.atlassian.net/browse/ENGOPS-164","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
