"SourceKey","TargetKey"
"ERC-14","ERC1-11"
"ERC-16","ERC1-19"
"ERC-249","ERC1-5"
"ERC-251","ERC1-6"
"ERC-267","ERC1-7"
"ERC-268","ERC1-8"
"ERC-271","ERC1-2"
"ERC-274","ERC1-23"
"ERC-275","ERC1-24"
"ERC-276","ERC1-25"
"ERC-279","ERC1-26"
"ERC-281","ERC1-27"
"ERC-287","ERC1-32"
"ERC-329","ERC1-9"
"ERC-333","ERC1-4"
"ERC-335","ERC1-31"
"ERC-336","ERC1-30"
"ERC-337","ERC1-33"
"ERC-340","ERC1-21"
"ERC-341","ERC1-29"
"ERC-342","ERC1-28"
"ERC-345","ERC1-34"
"ERC-349","ERC1-1"
"ERC-350","ERC1-3"
"ERC-377","ERC1-10"
"ERC-378","ERC1-16"
"ERC-379","ERC1-12"
"ERC-380","ERC1-13"
"ERC-381","ERC1-14"
"ERC-382","ERC1-15"
"ERC-383","ERC1-17"
"ERC-384","ERC1-18"
"ERC-42","ERC1-22"
"ERC-87","ERC1-20"
