"Type","Name","Value","Details","Timestamp"
"Summary","Source Components Found","0","Components found in source project","2025-10-17 06:28:03"
"Summary","Labels Captured","2","Unique labels found in source issues","2025-10-17 06:28:03"
"Summary","Components Created","2","Total components created in target","2025-10-17 06:28:03"
"Summary","Created From Source","0","Components copied from source project","2025-10-17 06:28:03"
"Summary","Created From Labels","2","Components created from label names","2025-10-17 06:28:03"
"Summary","Existing Components","0","Components that already existed","2025-10-17 06:28:03"
"Summary","Failed Components","0","Components that failed to create","2025-10-17 06:28:03"
"Component","CLASS_Modernization","15746","Created from Label","2025-10-17 06:28:03"
"Component","CLASS","15747","Created from Label","2025-10-17 06:28:03"
"Label","CLASS_Modernization","1","Used in 1 issues","2025-10-17 06:28:03"
"Label","CLASS","1","Used in 1 issues","2025-10-17 06:28:03"
"Step","Step Start Time","2025-10-17 06:28:00","Step execution started","2025-10-17 06:28:00"
"Step","Step End Time","2025-10-17 06:28:03","Step execution completed","2025-10-17 06:28:03"
