"Type","Name","Value","Details","Timestamp"
"Summary","Export Scope","UNRESOLVED","Scope of issues exported","2025-10-17 06:35:05"
"Summary","Total Issues Exported","133","Total number of issues exported","2025-10-17 06:35:05"
"Summary","Key to ID Mappings","133","Issue key to ID mappings created","2025-10-17 06:35:05"
"Summary","Include Closed Issues","False","Whether closed issues were included","2025-10-17 06:35:05"
"Summary","Include Sub-tasks","True","Whether sub-tasks were included","2025-10-17 06:35:05"
"Issue Type","Spike","3","Count of issues by type","2025-10-17 06:35:05"
"Issue Type","Epic","17","Count of issues by type","2025-10-17 06:35:05"
"Issue Type","Task","58","Count of issues by type","2025-10-17 06:35:05"
"Issue Type","Bug","5","Count of issues by type","2025-10-17 06:35:05"
"Issue Type","Story","4","Count of issues by type","2025-10-17 06:35:05"
"Issue Type","Initiative","8","Count of issues by type","2025-10-17 06:35:05"
"Issue Type","Sub-task","38","Count of issues by type","2025-10-17 06:35:05"
"Status","Blocked","10","Count of issues by status","2025-10-17 06:35:05"
"Status","Ready for Work","6","Count of issues by status","2025-10-17 06:35:05"
"Status","In Progress","39","Count of issues by status","2025-10-17 06:35:05"
"Status","Backlog","78","Count of issues by status","2025-10-17 06:35:05"
"File","Export File","source_issues_export.json","Main export file path","2025-10-17 06:35:05"
"File","Mapping File","key_to_id_mapping.json","Key to ID mapping file path","2025-10-17 06:35:05"
"Step","Step Start Time","2025-10-17 06:34:16","Step execution started","2025-10-17 06:34:16"
"Step","Step End Time","2025-10-17 06:35:05","Step execution completed","2025-10-17 06:35:05"
