"Type","Name","Value","Details","Timestamp"
"Summary","Total Source Versions","15","Versions found in source project","2025-10-17 06:29:47"
"Summary","Versions Created","5","New versions created in target","2025-10-17 06:29:47"
"Summary","Existing Versions","0","Versions that already existed","2025-10-17 06:29:47"
"Summary","Failed Versions","10","Versions that failed to create","2025-10-17 06:29:47"
"Version","E-2025.05","12816","Created from source version (ID: 12872)","2025-10-17 06:29:47"
"Version","E-2025.06","12817","Created from source version (ID: 13008)","2025-10-17 06:29:47"
"Version","E-2025.07","12818","Created from source version (ID: 13144)","2025-10-17 06:29:47"
"Version","E-2025.08","12819","Created from source version (ID: 13280)","2025-10-17 06:29:47"
"Version","E-2025.09 - I""m going to change this for an example","12820","Created from source version (ID: 13416)","2025-10-17 06:29:47"
"Version","E-2024.04","FAILED","Failed to create: Response status code does not indicate success: 400 (Bad Request).","2025-10-17 06:29:47"
"Version","E-2024.05","FAILED","Failed to create: Response status code does not indicate success: 400 (Bad Request).","2025-10-17 06:29:47"
"Version","E-2024.06","FAILED","Failed to create: Response status code does not indicate success: 400 (Bad Request).","2025-10-17 06:29:47"
"Version","E-2024.07","FAILED","Failed to create: Response status code does not indicate success: 400 (Bad Request).","2025-10-17 06:29:47"
"Version","E-2024.08","FAILED","Failed to create: Response status code does not indicate success: 400 (Bad Request).","2025-10-17 06:29:47"
"Version","test","FAILED","Failed to create: Response status code does not indicate success: 400 (Bad Request).","2025-10-17 06:29:47"
"Version","E-2025.01","FAILED","Failed to create: Response status code does not indicate success: 400 (Bad Request).","2025-10-17 06:29:47"
"Version","E-2025.02","FAILED","Failed to create: Response status code does not indicate success: 400 (Bad Request).","2025-10-17 06:29:47"
"Version","E-2025.03","FAILED","Failed to create: Response status code does not indicate success: 400 (Bad Request).","2025-10-17 06:29:47"
"Version","E-2025.04","FAILED","Failed to create: Response status code does not indicate success: 400 (Bad Request).","2025-10-17 06:29:47"
"Step","Step Start Time","2025-10-17 06:29:39","Step execution started","2025-10-17 06:29:39"
"Step","Step End Time","2025-10-17 06:29:47","Step execution completed","2025-10-17 06:29:47"
