"SourceKey","TargetKey"
"ESDL-100","ESDL1-11"
"ESDL-106","ESDL1-157"
"ESDL-1072","ESDL1-173"
"ESDL-1074","ESDL1-196"
"ESDL-108","ESDL1-156"
"ESDL-109","ESDL1-155"
"ESDL-1100","ESDL1-197"
"ESDL-111","ESDL1-154"
"ESDL-112","ESDL1-153"
"ESDL-115","ESDL1-131"
"ESDL-116","ESDL1-161"
"ESDL-122","ESDL1-130"
"ESDL-124","ESDL1-119"
"ESDL-125","ESDL1-11"
"ESDL-141","ESDL1-105"
"ESDL-142","ESDL1-100"
"ESDL-143","ESDL1-104"
"ESDL-144","ESDL1-103"
"ESDL-147","ESDL1-94"
"ESDL-148","ESDL1-93"
"ESDL-149","ESDL1-91"
"ESDL-150","ESDL1-90"
"ESDL-151","ESDL1-106"
"ESDL-152","ESDL1-107"
"ESDL-154","ESDL1-102"
"ESDL-156","ESDL1-109"
"ESDL-157","ESDL1-110"
"ESDL-158","ESDL1-128"
"ESDL-159","ESDL1-127"
"ESDL-160","ESDL1-126"
"ESDL-161","ESDL1-125"
"ESDL-163","ESDL1-124"
"ESDL-164","ESDL1-123"
"ESDL-165","ESDL1-122"
"ESDL-166","ESDL1-121"
"ESDL-167","ESDL1-129"
"ESDL-172","ESDL1-120"
"ESDL-173","ESDL1-118"
"ESDL-174","ESDL1-117"
"ESDL-175","ESDL1-116"
"ESDL-178","ESDL1-115"
"ESDL-181","ESDL1-114"
"ESDL-182","ESDL1-113"
"ESDL-183","ESDL1-112"
"ESDL-184","ESDL1-14"
"ESDL-186","ESDL1-111"
"ESDL-187","ESDL1-219"
"ESDL-188","ESDL1-217"
"ESDL-190","ESDL1-225"
"ESDL-191","ESDL1-224"
"ESDL-192","ESDL1-223"
"ESDL-198","ESDL1-222"
"ESDL-200","ESDL1-221"
"ESDL-201","ESDL1-31"
"ESDL-202","ESDL1-253"
"ESDL-203","ESDL1-252"
"ESDL-204","ESDL1-251"
"ESDL-205","ESDL1-250"
"ESDL-206","ESDL1-258"
"ESDL-213","ESDL1-45"
"ESDL-214","ESDL1-39"
"ESDL-215","ESDL1-40"
"ESDL-217","ESDL1-41"
"ESDL-218","ESDL1-247"
"ESDL-219","ESDL1-246"
"ESDL-240","ESDL1-44"
"ESDL-241","ESDL1-30"
"ESDL-242","ESDL1-37"
"ESDL-243","ESDL1-25"
"ESDL-2580","ESDL1-15"
"ESDL-2582","ESDL1-16"
"ESDL-2583","ESDL1-17"
"ESDL-2586","ESDL1-198"
"ESDL-2587","ESDL1-199"
"ESDL-2595","ESDL1-12"
"ESDL-2596","ESDL1-200"
"ESDL-260","ESDL1-19"
"ESDL-261","ESDL1-23"
"ESDL-2618","ESDL1-10"
"ESDL-2654","ESDL1-201"
"ESDL-2657","ESDL1-202"
"ESDL-2709","ESDL1-203"
"ESDL-2711","ESDL1-8"
"ESDL-2722","ESDL1-101"
"ESDL-2727","ESDL1-95"
"ESDL-2728","ESDL1-249"
"ESDL-2735","ESDL1-7"
"ESDL-2737","ESDL1-204"
"ESDL-2751","ESDL1-205"
"ESDL-2763","ESDL1-206"
"ESDL-2767","ESDL1-209"
"ESDL-2768","ESDL1-208"
"ESDL-2769","ESDL1-207"
"ESDL-2770","ESDL1-210"
"ESDL-2771","ESDL1-211"
"ESDL-2772","ESDL1-212"
"ESDL-2784","ESDL1-213"
"ESDL-2794","ESDL1-214"
"ESDL-2804","ESDL1-96"
"ESDL-2808","ESDL1-255"
"ESDL-2809","ESDL1-256"
"ESDL-2810","ESDL1-257"
"ESDL-2824","ESDL1-195"
"ESDL-2826","ESDL1-194"
"ESDL-2827","ESDL1-9"
"ESDL-283","ESDL1-26"
