"Source Issue","Source URL","Target Issue","Target URL","Issue Type","Summary","Missing Parent","Status","Reason","Action Required"
"ESDL-154","https://onemain.atlassian.net/browse/ESDL-154","ESDL1-102","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ESDL1-102","Story","[CLASS | i-series] Convert raw CSV files into parquet in prepared area - Glue","ESDL-93","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"ESDL-144","https://onemain.atlassian.net/browse/ESDL-144","ESDL1-103","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ESDL1-103","Task","Software installation like Python and Pycharm Community Edition","ESDL-93","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"ESDL-143","https://onemain.atlassian.net/browse/ESDL-143","ESDL1-104","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ESDL1-104","Story","New sFTP setup in AWS for EDS","ESDL-61","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"ESDL-141","https://onemain.atlassian.net/browse/ESDL-141","ESDL1-105","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ESDL1-105","Story","Analyze and document data sources","ESDL-93","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"ESDL-151","https://onemain.atlassian.net/browse/ESDL-151","ESDL1-106","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ESDL1-106","Story","[POC] Workflow - step functions","ESDL-94","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"ESDL-152","https://onemain.atlassian.net/browse/ESDL-152","ESDL1-107","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ESDL1-107","Story","[POC] Integrate pipelines with EventBridge","ESDL-93","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"ESDL-156","https://onemain.atlassian.net/browse/ESDL-156","ESDL1-109","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ESDL1-109","Story","[DevOps][POC] Workflow - step functions - ENABLEMENT","ESDL-180","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"ESDL-157","https://onemain.atlassian.net/browse/ESDL-157","ESDL1-110","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ESDL1-110","Story","[DevOps][POC] Integrate pipelines with EventBridge - ENABLEMENT","ESDL-180","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"ESDL-186","https://onemain.atlassian.net/browse/ESDL-186","ESDL1-111","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ESDL1-111","Task","Sathya's code refactoring","ESDL-93","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"ESDL-182","https://onemain.atlassian.net/browse/ESDL-182","ESDL1-113","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ESDL1-113","Task","PROD amendment","ESDL-180","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"ESDL-181","https://onemain.atlassian.net/browse/ESDL-181","ESDL1-114","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ESDL1-114","Task","[DevOps] To research how to manually create/deploy EventBridge and Step functions","ESDL-180","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"ESDL-178","https://onemain.atlassian.net/browse/ESDL-178","ESDL1-115","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ESDL1-115","Task","Networking. Add SSM","ESDL-162","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"ESDL-175","https://onemain.atlassian.net/browse/ESDL-175","ESDL1-116","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ESDL1-116","Task","Create Route53 hosted zone","ESDL-162","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
