"Source Issue","Source URL","Target Issue","Target URL","Link Type","Direction","Linked To (Not Migrated)","Linked To URL","Reason","Action Required"
"ESDL-2657","https://onemain.atlassian.net/browse/ESDL-2657","ESDL1-202","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ESDL1-202","Cloners","outward","ESDL-2586","https://onemain.atlassian.net/browse/ESDL-2586","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"ESDL-2735","https://onemain.atlassian.net/browse/ESDL-2735","ESDL1-7","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ESDL1-7","Cloners","outward","ESDL-2618","https://onemain.atlassian.net/browse/ESDL-2618","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"ESDL-2771","https://onemain.atlassian.net/browse/ESDL-2771","ESDL1-211","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ESDL1-211","Cloners","outward","ESDL-2770","https://onemain.atlassian.net/browse/ESDL-2770","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"ESDL-2772","https://onemain.atlassian.net/browse/ESDL-2772","ESDL1-212","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ESDL1-212","Cloners","outward","ESDL-2586","https://onemain.atlassian.net/browse/ESDL-2586","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"ESDL-2858","https://onemain.atlassian.net/browse/ESDL-2858","ESDL1-1","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ESDL1-1","Cloners","outward","ESDL-2582","https://onemain.atlassian.net/browse/ESDL-2582","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"ESDL-2882","https://onemain.atlassian.net/browse/ESDL-2882","ESDL1-190","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ESDL1-190","Cloners","outward","ESDL-2784","https://onemain.atlassian.net/browse/ESDL-2784","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"ESDL-2883","https://onemain.atlassian.net/browse/ESDL-2883","ESDL1-183","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ESDL1-183","Cloners","outward","ESDL-2882","https://onemain.atlassian.net/browse/ESDL-2882","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"ESDL-2983","https://onemain.atlassian.net/browse/ESDL-2983","ESDL1-227","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ESDL1-227","Cloners","outward","ESDL-2979","https://onemain.atlassian.net/browse/ESDL-2979","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"ESDL-2994","https://onemain.atlassian.net/browse/ESDL-2994","ESDL1-236","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ESDL1-236","Cloners","outward","ESDL-2979","https://onemain.atlassian.net/browse/ESDL-2979","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"ESDL-2995","https://onemain.atlassian.net/browse/ESDL-2995","ESDL1-242","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ESDL1-242","Cloners","outward","ESDL-2994","https://onemain.atlassian.net/browse/ESDL-2994","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
