"SourceKey","TargetKey"
"ETAC-106","ETAC1-31"
"ETAC-119","ETAC1-30"
"ETAC-120","ETAC1-158"
"ETAC-123","ETAC1-52"
"ETAC-179","ETAC1-29"
"ETAC-182","ETAC1-159"
"ETAC-184","ETAC1-23"
"ETAC-251","ETAC1-194"
"ETAC-277","ETAC1-108"
"ETAC-349","ETAC1-179"
"ETAC-350","ETAC1-67"
"ETAC-368","ETAC1-39"
"ETAC-371","ETAC1-66"
"ETAC-447","ETAC1-36"
"ETAC-453","ETAC1-38"
"ETAC-476","ETAC1-40"
"ETAC-479","ETAC1-41"
"ETAC-482","ETAC1-42"
"ETAC-483","ETAC1-65"
"ETAC-485","ETAC1-50"
"ETAC-486","ETAC1-58"
"ETAC-487","ETAC1-64"
"ETAC-488","ETAC1-11"
"ETAC-489","ETAC1-63"
"ETAC-490","ETAC1-62"
"ETAC-491","ETAC1-16"
"ETAC-492","ETAC1-61"
"ETAC-493","ETAC1-60"
"ETAC-499","ETAC1-20"
"ETAC-501","ETAC1-59"
"ETAC-505","ETAC1-68"
"ETAC-507","ETAC1-22"
"ETAC-511","ETAC1-56"
"ETAC-514","ETAC1-17"
"ETAC-515","ETAC1-55"
"ETAC-516","ETAC1-54"
"ETAC-517","ETAC1-53"
"ETAC-518","ETAC1-69"
"ETAC-519","ETAC1-98"
"ETAC-520","ETAC1-71"
"ETAC-521","ETAC1-91"
"ETAC-533","ETAC1-43"
"ETAC-535","ETAC1-1"
"ETAC-537","ETAC1-13"
"ETAC-538","ETAC1-92"
"ETAC-539","ETAC1-93"
"ETAC-540","ETAC1-94"
"ETAC-541","ETAC1-95"
"ETAC-542","ETAC1-21"
"ETAC-543","ETAC1-27"
"ETAC-546","ETAC1-25"
"ETAC-550","ETAC1-70"
"ETAC-551","ETAC1-96"
"ETAC-552","ETAC1-97"
"ETAC-553","ETAC1-99"
"ETAC-554","ETAC1-107"
"ETAC-555","ETAC1-100"
"ETAC-556","ETAC1-101"
"ETAC-557","ETAC1-102"
"ETAC-558","ETAC1-103"
"ETAC-567","ETAC1-15"
"ETAC-568","ETAC1-104"
"ETAC-569","ETAC1-105"
"ETAC-570","ETAC1-106"
"ETAC-571","ETAC1-90"
"ETAC-572","ETAC1-10"
"ETAC-573","ETAC1-89"
"ETAC-574","ETAC1-88"
"ETAC-575","ETAC1-87"
"ETAC-576","ETAC1-7"
"ETAC-577","ETAC1-6"
"ETAC-578","ETAC1-5"
"ETAC-580","ETAC1-4"
"ETAC-581","ETAC1-3"
"ETAC-582","ETAC1-2"
"ETAC-583","ETAC1-26"
"ETAC-584","ETAC1-37"
"ETAC-586","ETAC1-28"
"ETAC-588","ETAC1-72"
"ETAC-589","ETAC1-73"
"ETAC-601","ETAC1-74"
"ETAC-602","ETAC1-75"
"ETAC-603","ETAC1-76"
"ETAC-607","ETAC1-77"
"ETAC-615","ETAC1-78"
"ETAC-616","ETAC1-79"
"ETAC-619","ETAC1-34"
"ETAC-621","ETAC1-33"
"ETAC-629","ETAC1-80"
"ETAC-630","ETAC1-81"
"ETAC-631","ETAC1-82"
"ETAC-632","ETAC1-83"
"ETAC-633","ETAC1-84"
"ETAC-634","ETAC1-85"
"ETAC-635","ETAC1-86"
"ETAC-636","ETAC1-156"
"ETAC-637","ETAC1-109"
"ETAC-638","ETAC1-57"
"ETAC-639","ETAC1-157"
"ETAC-640","ETAC1-146"
"ETAC-641","ETAC1-152"
"ETAC-642","ETAC1-162"
"ETAC-643","ETAC1-170"
"ETAC-644","ETAC1-163"
"ETAC-645","ETAC1-176"
"ETAC-648","ETAC1-175"
"ETAC-649","ETAC1-172"
"ETAC-658","ETAC1-35"
"ETAC-659","ETAC1-178"
"ETAC-660","ETAC1-115"
"ETAC-661","ETAC1-116"
"ETAC-666","ETAC1-117"
"ETAC-667","ETAC1-118"
"ETAC-668","ETAC1-122"
"ETAC-669","ETAC1-125"
"ETAC-670","ETAC1-44"
"ETAC-672","ETAC1-46"
"ETAC-673","ETAC1-47"
"ETAC-674","ETAC1-48"
"ETAC-675","ETAC1-49"
"ETAC-678","ETAC1-144"
"ETAC-681","ETAC1-161"
"ETAC-683","ETAC1-128"
"ETAC-684","ETAC1-129"
"ETAC-685","ETAC1-130"
"ETAC-687","ETAC1-131"
"ETAC-688","ETAC1-132"
"ETAC-689","ETAC1-133"
"ETAC-692","ETAC1-135"
"ETAC-693","ETAC1-142"
"ETAC-694","ETAC1-136"
"ETAC-695","ETAC1-137"
"ETAC-696","ETAC1-138"
"ETAC-697","ETAC1-139"
"ETAC-698","ETAC1-140"
"ETAC-699","ETAC1-141"
"ETAC-700","ETAC1-127"
"ETAC-701","ETAC1-126"
"ETAC-702","ETAC1-14"
"ETAC-703","ETAC1-188"
"ETAC-709","ETAC1-124"
"ETAC-710","ETAC1-123"
"ETAC-713","ETAC1-181"
"ETAC-714","ETAC1-121"
"ETAC-718","ETAC1-19"
"ETAC-720","ETAC1-120"
"ETAC-729","ETAC1-119"
"ETAC-732","ETAC1-195"
"ETAC-733","ETAC1-180"
"ETAC-735","ETAC1-193"
"ETAC-737","ETAC1-24"
"ETAC-744","ETAC1-192"
"ETAC-748","ETAC1-114"
"ETAC-749","ETAC1-113"
"ETAC-750","ETAC1-112"
"ETAC-751","ETAC1-111"
"ETAC-752","ETAC1-134"
"ETAC-760","ETAC1-143"
"ETAC-761","ETAC1-110"
"ETAC-765","ETAC1-145"
"ETAC-766","ETAC1-164"
"ETAC-767","ETAC1-32"
"ETAC-768","ETAC1-165"
"ETAC-769","ETAC1-8"
"ETAC-770","ETAC1-166"
"ETAC-771","ETAC1-167"
"ETAC-772","ETAC1-168"
"ETAC-773","ETAC1-169"
"ETAC-774","ETAC1-171"
"ETAC-775","ETAC1-191"
"ETAC-776","ETAC1-190"
