"Type","Name","Value","Details","Timestamp"
"Summary","Source Components Found","2","Components found in source project","2025-10-16 16:07:39"
"Summary","Labels Captured","3","Unique labels found in source issues","2025-10-16 16:07:39"
"Summary","Components Created","5","Total components created in target","2025-10-16 16:07:39"
"Summary","Created From Source","2","Components copied from source project","2025-10-16 16:07:39"
"Summary","Created From Labels","3","Components created from label names","2025-10-16 16:07:39"
"Summary","Existing Components","0","Components that already existed","2025-10-16 16:07:39"
"Summary","Failed Components","0","Components that failed to create","2025-10-16 16:07:39"
"Component","Default","15734","Created from SourceComponent","2025-10-16 16:07:39"
"Component","Field Reporting","15735","Created from SourceComponent","2025-10-16 16:07:39"
"Component","HoursReviewCompleted","15736","Created from Label","2025-10-16 16:07:39"
"Component","Risk","15737","Created from Label","2025-10-16 16:07:39"
"Component","ops","15738","Created from Label","2025-10-16 16:07:39"
"Label","HoursReviewCompleted","1","Used in 1 issues","2025-10-16 16:07:39"
"Label","Risk","1","Used in 1 issues","2025-10-16 16:07:39"
"Label","ops","1","Used in 1 issues","2025-10-16 16:07:39"
"Step","Step Start Time","2025-10-16 16:07:30","Step execution started","2025-10-16 16:07:30"
"Step","Step End Time","2025-10-16 16:07:39","Step execution completed","2025-10-16 16:07:39"
