"Type","Name","Value","Details","Timestamp"
"Summary","Export Scope","UNRESOLVED","Scope of issues exported","2025-10-16 16:08:41"
"Summary","Total Issues Exported","42","Total number of issues exported","2025-10-16 16:08:41"
"Summary","Key to ID Mappings","42","Issue key to ID mappings created","2025-10-16 16:08:41"
"Summary","Include Closed Issues","False","Whether closed issues were included","2025-10-16 16:08:41"
"Summary","Include Sub-tasks","True","Whether sub-tasks were included","2025-10-16 16:08:41"
"Issue Type","Bug","3","Count of issues by type","2025-10-16 16:08:41"
"Issue Type","Epic","15","Count of issues by type","2025-10-16 16:08:41"
"Issue Type","Task","24","Count of issues by type","2025-10-16 16:08:41"
"Status","Backlog","18","Count of issues by status","2025-10-16 16:08:41"
"Status","In Progress","13","Count of issues by status","2025-10-16 16:08:41"
"Status","Testing","11","Count of issues by status","2025-10-16 16:08:41"
"File","Export File","source_issues_export.json","Main export file path","2025-10-16 16:08:41"
"File","Mapping File","key_to_id_mapping.json","Key to ID mapping file path","2025-10-16 16:08:41"
"Step","Step Start Time","2025-10-16 16:08:24","Step execution started","2025-10-16 16:08:24"
"Step","Step End Time","2025-10-16 16:08:41","Step execution completed","2025-10-16 16:08:41"
