"Type","Name","Value","Details","Timestamp"
"Summary","Total Source Versions","46","Versions found in source project","2025-10-16 16:08:03"
"Summary","Versions Created","1","New versions created in target","2025-10-16 16:08:03"
"Summary","Existing Versions","0","Versions that already existed","2025-10-16 16:08:03"
"Summary","Failed Versions","45","Versions that failed to create","2025-10-16 16:08:03"
"Version","FR-20251015","12788","Created from source version (ID: 15627)","2025-10-16 16:08:03"
"Version","E-2024.04","FAILED","Failed to create: Response status code does not indicate success: 400 (Bad Request).","2025-10-16 16:08:03"
"Version","E-2024.05","FAILED","Failed to create: Response status code does not indicate success: 400 (Bad Request).","2025-10-16 16:08:03"
"Version","E-2024.06","FAILED","Failed to create: Response status code does not indicate success: 400 (Bad Request).","2025-10-16 16:08:03"
"Version","E-2024.07","FAILED","Failed to create: Response status code does not indicate success: 400 (Bad Request).","2025-10-16 16:08:03"
"Version","E-2024.08","FAILED","Failed to create: Response status code does not indicate success: 400 (Bad Request).","2025-10-16 16:08:03"
"Version","test release","FAILED","Failed to create: Response status code does not indicate success: 400 (Bad Request).","2025-10-16 16:08:03"
"Version","E-2025.01","FAILED","Failed to create: Response status code does not indicate success: 400 (Bad Request).","2025-10-16 16:08:03"
"Version","E-2025.02","FAILED","Failed to create: Response status code does not indicate success: 400 (Bad Request).","2025-10-16 16:08:03"
"Version","E-2025.03","FAILED","Failed to create: Response status code does not indicate success: 400 (Bad Request).","2025-10-16 16:08:03"
"Version","E-2025.04","FAILED","Failed to create: Response status code does not indicate success: 400 (Bad Request).","2025-10-16 16:08:03"
"Version","E-2025.05","FAILED","Failed to create: Response status code does not indicate success: 400 (Bad Request).","2025-10-16 16:08:03"
"Version","E-2025.06","FAILED","Failed to create: Response status code does not indicate success: 400 (Bad Request).","2025-10-16 16:08:03"
"Version","E-2025.07","FAILED","Failed to create: Response status code does not indicate success: 400 (Bad Request).","2025-10-16 16:08:03"
"Version","E-2025.08","FAILED","Failed to create: Response status code does not indicate success: 400 (Bad Request).","2025-10-16 16:08:03"
"Version","E-2025.09","FAILED","Failed to create: Response status code does not indicate success: 400 (Bad Request).","2025-10-16 16:08:03"
"Version","FR-20250710","FAILED","Failed to create: Response status code does not indicate success: 400 (Bad Request).","2025-10-16 16:08:03"
"Version","FR-20250711","FAILED","Failed to create: Response status code does not indicate success: 400 (Bad Request).","2025-10-16 16:08:03"
"Version","FR-20250715","FAILED","Failed to create: Response status code does not indicate success: 400 (Bad Request).","2025-10-16 16:08:03"
"Version","FR-20250717","FAILED","Failed to create: Response status code does not indicate success: 400 (Bad Request).","2025-10-16 16:08:03"
"Version","FR-20250722","FAILED","Failed to create: Response status code does not indicate success: 400 (Bad Request).","2025-10-16 16:08:03"
"Version","FR-20250725","FAILED","Failed to create: Response status code does not indicate success: 400 (Bad Request).","2025-10-16 16:08:03"
"Version","FR-20250805","FAILED","Failed to create: Response status code does not indicate success: 400 (Bad Request).","2025-10-16 16:08:03"
"Version","FR-20250728","FAILED","Failed to create: Response status code does not indicate success: 400 (Bad Request).","2025-10-16 16:08:03"
"Version","FR-20250730","FAILED","Failed to create: Response status code does not indicate success: 400 (Bad Request).","2025-10-16 16:08:03"
"Version","FR-20250801","FAILED","Failed to create: Response status code does not indicate success: 400 (Bad Request).","2025-10-16 16:08:03"
"Version","FR-20250806","FAILED","Failed to create: Response status code does not indicate success: 400 (Bad Request).","2025-10-16 16:08:03"
"Version","FR-20250812","FAILED","Failed to create: Response status code does not indicate success: 400 (Bad Request).","2025-10-16 16:08:03"
"Version","FR-20250813","FAILED","Failed to create: Response status code does not indicate success: 400 (Bad Request).","2025-10-16 16:08:03"
"Version","FR-20250818","FAILED","Failed to create: Response status code does not indicate success: 400 (Bad Request).","2025-10-16 16:08:03"
"Version","FR-20250822","FAILED","Failed to create: Response status code does not indicate success: 400 (Bad Request).","2025-10-16 16:08:03"
"Version","FR-20250902","FAILED","Failed to create: Response status code does not indicate success: 400 (Bad Request).","2025-10-16 16:08:03"
"Version","FR-20250904","FAILED","Failed to create: Response status code does not indicate success: 400 (Bad Request).","2025-10-16 16:08:03"
"Version","FR-20250905","FAILED","Failed to create: Response status code does not indicate success: 400 (Bad Request).","2025-10-16 16:08:03"
"Version","FR-20250910","FAILED","Failed to create: Response status code does not indicate success: 400 (Bad Request).","2025-10-16 16:08:03"
"Version","FR-20250911","FAILED","Failed to create: Response status code does not indicate success: 400 (Bad Request).","2025-10-16 16:08:03"
"Version","FR-20250916","FAILED","Failed to create: Response status code does not indicate success: 400 (Bad Request).","2025-10-16 16:08:03"
"Version","FR-20250922","FAILED","Failed to create: Response status code does not indicate success: 400 (Bad Request).","2025-10-16 16:08:03"
"Version","FR-20250919","FAILED","Failed to create: Response status code does not indicate success: 400 (Bad Request).","2025-10-16 16:08:03"
"Version","FR-20250924","FAILED","Failed to create: Response status code does not indicate success: 400 (Bad Request).","2025-10-16 16:08:03"
"Version","FR-20250925","FAILED","Failed to create: Response status code does not indicate success: 400 (Bad Request).","2025-10-16 16:08:03"
"Version","FR-20251006","FAILED","Failed to create: Response status code does not indicate success: 400 (Bad Request).","2025-10-16 16:08:03"
"Version","FR-20251007","FAILED","Failed to create: Response status code does not indicate success: 400 (Bad Request).","2025-10-16 16:08:03"
"Version","FR-20251002","FAILED","Failed to create: Response status code does not indicate success: 400 (Bad Request).","2025-10-16 16:08:03"
"Version","FR-20251009","FAILED","Failed to create: Response status code does not indicate success: 400 (Bad Request).","2025-10-16 16:08:03"
"Version","FR-20251014","FAILED","Failed to create: Response status code does not indicate success: 400 (Bad Request).","2025-10-16 16:08:03"
"Step","Step Start Time","2025-10-16 16:07:41","Step execution started","2025-10-16 16:07:41"
"Step","Step End Time","2025-10-16 16:08:03","Step execution completed","2025-10-16 16:08:03"
