"SourceKey","TargetKey"
"HRES-129","HRES1-4"
"HRES-174","HRES1-5"
"HRES-178","HRES1-5"
"HRES-185","HRES1-22"
"HRES-201","HRES1-6"
"HRES-228","HRES1-21"
"HRES-233","HRES1-20"
"HRES-236","HRES1-2"
"HRES-237","HRES1-3"
"HRES-238","HRES1-19"
"HRES-249","HRES1-18"
"HRES-251","HRES1-16"
"HRES-253","HRES1-8"
"HRES-258","HRES1-23"
"HRES-261","HRES1-1"
"HRES-266","HRES1-9"
"HRES-286","HRES1-15"
"HRES-292","HRES1-7"
"HRES-293","HRES1-14"
"HRES-298","HRES1-13"
"HRES-299","HRES1-12"
"HRES-302","HRES1-11"
"HRES-303","HRES1-10"
"HRES-307","HRES1-17"
